id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes,bron_artikelcode
6fbf77ca-43db-4cf9-ba5c-a3ca2e5f4be8,Courant,Phoenix 8mm Hitch Cord 0.65 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL65C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 8mm Hitch Cord 0.70 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL07C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,referentie gezien op productpagina
,Courant,Phoenix 8mm Hitch Cord 0.75 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL75C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,referentie gezien op productpagina
,Courant,Phoenix 8mm Hitch Cord 0.80 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL08C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,referentie gezien op productpagina
,Courant,Phoenix 8mm Hitch Cord 0.85 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL85C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 8mm Hitch Cord 0.90 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL09C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 8mm Hitch Cord 1.00 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL10C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,referentie gezien op productpagina
,Courant,Phoenix 8mm Hitch Cord 1.10 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MNKNL11C,10,,,,,8,8,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-8mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,lengtecode opgegeven door Jos
,Courant,Phoenix 10mm Hitch Cord 0.65 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL65C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,referentie gezien op productpagina
,Courant,Phoenix 10mm Hitch Cord 0.70 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL07C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,referentie gezien op productpagina
,Courant,Phoenix 10mm Hitch Cord 0.75 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL75C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 10mm Hitch Cord 0.80 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL08C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 10mm Hitch Cord 0.85 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL85C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 10mm Hitch Cord 0.90 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL09C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 10mm Hitch Cord 1.00 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL10C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,afgeleid van het bevestigde patroon
,Courant,Phoenix 10mm Hitch Cord 1.10 m,ppe,Hitch Cords,Aramid/polyester blended sheath,,MPKNL11C,10,,,,,10,10,,,,https://vertical-living.mycourant.com/en/tree-care-material/hitch-cords-and-slings/phoenix-10mm-hitch-cord,,,Lanyard met 2 gestikte ogen.,lengtecode opgegeven door Jos
