brand,name,product_type,category,material,standard,max_age_mfr_years,max_age_use_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,inspection_interval_years,manufacturer_code,manual_url,product_page_url,recall_url,inspection_notice_url
ART,SpiderJack 3,ppe,Ascenders & Descenders,"Stainless steel, Aluminium",CE EN 358,,10,22 kN,200 kg,100,11,14,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-SpiderJack-3.pdf,https://climb-art.de/en/products/spiderjack-3/,,
ART,Positioner 2 Basic,ppe,Work Positioning Devices,Aluminium,CE EN 567,,10,23 kN,,100,11,13,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Positioner-2.pdf,https://climb-art.de/en/products/positioner-2/,,
ART,Positioner 2 Swivel,ppe,Work Positioning Devices,Aluminium,CE EN 567,,10,23 kN,,100,11,13,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Positioner-2.pdf,https://climb-art.de/en/products/positioner-2/,,
ART,LockJack 2 Swivel,ppe,Ascenders & Descenders,Aluminium,"CE EN 12841 Type B, CE EN 567",,10,,,100,11,13,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-LockJack-2-Sport.pdf,https://climb-art.de/en/products/lockjack-2/,,
ART,BlackBird 2.2,ppe,Ascenders & Descenders,Aluminium,"CE EN 12841 Type B, CE EN 567",,10,,,100,10,13,,,,https://climb-art.de/wp-content/uploads/2025/06/BB_Blackbird_2025.pdf,https://climb-art.de/en/products/blackbird-2-2/,,
ART,RopeGuide 2010 Cocoon 150cm,ppe,Friction Savers,"Aluminium, Polyester/Dyneema rope",CE EN 795 B,,10,24 kN,,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,,
ART,RopeGuide 2010 Cocoon 300cm,ppe,Friction Savers,"Aluminium, Polyester/Dyneema rope",CE EN 795 B,,10,24 kN,,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,,
ART,RopeGuide 2010 Link 150cm,ppe,Friction Savers,"Aluminium, Polyester/Dyneema rope",CE EN 795 B,,10,24 kN,,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,,
ART,RopeGuide 2010 Link 300cm,ppe,Friction Savers,"Aluminium, Polyester/Dyneema rope",CE EN 795 B,,10,24 kN,,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,,
ART,RopeGuide 2010 rope sling 150cm,ppe,Friction Savers,Polyester/Dyneema,,,5,,,,,,,,,,https://climb-art.de/en/replacement-parts/,,
ART,RopeGuide 2010 rope sling 300cm,ppe,Friction Savers,Polyester/Dyneema,,,5,,,,,,,,,,https://climb-art.de/en/replacement-parts/,,
ART,ZipAbsorber 1,ppe,Friction Savers,Textile / Plastic,CE EN 355,,5,,,,,,,,,,https://climb-art.de/en/replacement-parts/,,
ART,SpliceAnchor 125cm,ppe,Friction Savers,Polyester/Dyneema,,,5,,,,12,12,,,,,https://climb-art.de/en/replacement-parts/,,
ART,SpliceAnchor 250cm,ppe,Friction Savers,Polyester/Dyneema,,,5,,,,12,12,,,,,https://climb-art.de/en/replacement-parts/,,
ART,SpliceAnchor 450cm,ppe,Friction Savers,Polyester/Dyneema,,,5,,,,12,12,,,,,https://climb-art.de/en/replacement-parts/,,
ART,Trapeze 5,no ppe,Anchor Devices,"Aluminium, Stainless steel",,,,,,,,,,,,,https://climb-art.de/en/products/trapeze-5/,,
ART,DoubleSnapper 3,no ppe,Anchor Devices,Aluminium,,,,,,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-DoubleSnapper 3.pdf,https://climb-art.de/en/products/doublesnapper-3/,,
ART,Link 2,no ppe,Friction Savers,Aluminium,,,,,,,,,,,,,https://climb-art.de/en/products/link-2/,,
ART,LockJack Dyneema sling,ppe,Ascenders & Descenders,Dyneema,,,5,,,,,,,,,,https://climb-art.de/en/replacement-parts/,,
ART,BlackBird,ppe,Ascenders & Descenders,Aluminium / Stainless Steel,EN 12841 B/C,,7,,,,11.2,13,13,,,https://climb-art.de/shared-assets/manuals/Manual-blackbird.pdf,https://climb-art.de/en/products/blackbird-2-2/,,
ART,SpiderJack 3,ppe,Ascenders & Descenders,Aluminium / Stainless Steel,EN 358,,10,22 kN,200 kg,200,11,14,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-SpiderJack-3.pdf,https://climb-art.de/wp-content/uploads/2020/10/Manual-SpiderJack-3.pdf,https://climb-art.de/en/products/spiderjack-3/,,
ART,SpiderJack 2.1,ppe,Ascenders & Descenders,Aluminium / Dyneema,EN 358,,7,25 kN,,,11,13,13,,,https://climb-art.de/shared-assets/manuals/Manual-SpiderJack-2.pdf,https://climb-art.de/en/products/spiderjack-2-1/,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
ART,LockJack 2,ppe,Ascenders & Descenders,Aluminium / Textile,EN 358,,7,23 kN,,,11,13,13,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-LockJack-2-Sport.pdf,https://climb-art.de/en/products/lockjack-2/,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
ART,Positioner 2,ppe,Work Positioning Devices,Aluminium,EN 567,,7,24 kN,,,11,13,13,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Positioner-2.pdf,https://climb-art.de/en/products/positioner-2/,,
ART,RopeGuide 2010,ppe,Friction Savers,Aluminium / Polyester rope,EN 795 B,,10,24 kN,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
ART,RopeGuide TwinLine,ppe,Friction Savers,Aluminium / Polyester rope,"EN 795 B, CEN/TS 16415:2013, EN 355",,10,18 kN,,,10,12,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-TwinLine.pdf,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-TwinLine.pdf,https://climb-art.de/en/products/ropeguide-twinline/,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
ART,Cocoon 5,ppe,Pulleys,Aluminium,EN 12278,,10,28 kN,,,,14,14,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Cocoon-5.pdf,https://climb-art.de/en/products/cocoon-5/,,
ART,TurnBase,ppe,Pulleys,Aluminium,EN 12278,,10,24 kN,,,,14,14,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-TurnBase.pdf,https://climb-art.de/en/products/turnbase/,,
ART,SnakeAnchor 250 cm,Anchor Sling,Anchor Devices,Polyester rope (8 mm parallel sewn),,,5,,4 kN,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-SnakeAnchor.pdf,https://climb-art.de/wp-content/uploads/2020/10/Manual-SnakeAnchor.pdf,https://climb-art.de/en/products/snakeanchor/,,
ART,SnakeAnchor 500 cm,Anchor Sling,Anchor Devices,Polyester rope (8 mm parallel sewn),,,5,,4 kN,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-SnakeAnchor.pdf,https://climb-art.de/wp-content/uploads/2020/10/Manual-SnakeAnchor.pdf,https://climb-art.de/en/products/snakeanchor/,,
ART,SnakeTail,ppe,Anchor Devices,Dyneema / Polyester rope (8 mm),"EN 795 B, EN 354",,5,25 kN,4 kN,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-SnakeTail.pdf,https://climb-art.de/en/products/snaketail/,,
At Height,K01 Mini Accessory Karabiner - straight gate,no ppe,Karabiner,Aluminium,,,,8 kN,,,,,,,K01SA,,,,
At Height,K01 Mini Accessory Karabiner - screwgate,no ppe,Karabiner,Aluminium,,,,8 kN,,,,,,,K01SG,,,,
At Height,K10 Steel Oval Karabiner - screwgate,ppe,Karabiner,Steel,EN 362:2004/B,UNL,UNL,25 kN,,,,,,,K10SG,https://atheightuk.com/wp-content/uploads/2020/08/Karabiner-UIM-Final.pdf,https://atheightuk.com/product/steel-karabiner-screwgate-2/,,
At Height,K10 Steel Oval Karabiner - double action,ppe,Karabiner,Steel,EN 362:2004/B,UNL,UNL,25 kN,,,,,,,K10DA,https://atheightuk.com/wp-content/uploads/2020/08/Karabiner-UIM-Final.pdf,https://atheightuk.com/product/steel-karabiner-screwgate-2/,,
