brand,name,product_type,category,material,standard,max_age_mfr_years,max_age_use_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,inspection_interval_years,manufacturer_code,manual_url,product_page_url,recall_url,inspection_notice_url
Tractel,HT22 mtM harness,ppe,Harnesses,"Lightweight webbing, adjustable straps",EN 361,999,,,,,,,,,,,https://www.tractel.com/global/product/harness-ht22/42834,,
Tractel,HT22 mtXL harness,ppe,Harnesses,"Lightweight webbing, adjustable straps",EN 361,999,,,,,,,,,,,https://www.tractel.com/global/product/harness-ht22/42834,,
Tractel,HT22R Fall Arrest Harness,ppe,Harnesses,"Lightweight webbing, adjustable straps, rescue strap",EN 361,999,,,,,,,,,,,https://www.tractel.com/global/product/ht22r-fall-arrest-harness/43827,,
Tractel,Blocfor 1.8m (with steigerhaak),ppe,Self-Retracting Lifeline,Webbing or cable,"EN 360, ESD system (impact <600 daN)",999,,,,150,,,,,,,https://www.tractel.com/global/product-applications/blocfor,,
Tractel,Blocfor 1.8m ESD 150kg,ppe,Self-Retracting Lifeline,Webbing,"EN 360, ESD system (impact <600 daN even at full extension)",999,,,,150,,,,,,,https://www.tractel.com/global/product/blocfor-1.8a-esd-150kg/202213,,
Tractel,Blocfor 6 ESD 150kg,ppe,Self-Retracting Lifeline,Webbing or cable,"EN 360, ESD system (impact <600 daN)",999,,,,150,,,,,,,https://www.tractel.com/global/product/blocfor-6-esd-150-kg/6223,,
Tractel,Blocfor 10m staalkabel ESD,ppe,Self-Retracting Lifeline,Galvanized steel cable,"EN 360, ESD system (impact <600 daN)",999,,,,150,,,,,,,https://www.tractel.com/global/product/blocfor-10r-evo-esd-150-kg/176218,,
Tractel,Blocfor 10m synthetische kabel ESD,ppe,Self-Retracting Lifeline,Synthetic rope,"EN 360, ESD system (impact <600 daN)",999,,,,150,,,,,,,https://www.tractel.com/global/product-applications/blocfor,,
Tractel,Blocfor 20 ESD 150kg,ppe,Self-Retracting Lifeline,Galvanized steel cable or webbing,"EN 360, ESD system (impact <600 daN)",999,,,,150,,,,,,,https://www.tractel.com/global/product-applications/blocfor,,
Tractel,Blocfor 30R ESD 150kg,ppe,Self-Retracting Lifeline with Rescue Winch,Galvanized steel cable,"EN 360, EN 1496 (rescue), ESD system",999,,,,150,,,,,,,https://www.tractel.com/global/product/blocfor-30r-esd-150kg/10591,,
