brand,name,product_type,category,material,standard,max_age_mfr_years,max_age_use_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,inspection_interval_years,manufacturer_code,manual_url,product_page_url,recall_url,inspection_notice_url
Ellersafe,ELLERsafe H110 harness,ppe,Work Harnesses,,EN361,,,,,,,,,,H110,,https://www.ellersafe.com/product/harness-h110/,,
Ellersafe,ELLERsafe H115 harness - quick release buckles,ppe,Work Harnesses,,EN361,,,,,,,,,,H115,,https://www.ellersafe.com/product/harness-quick-release-buckles-h115/,,
Ellersafe,ELLERsafe H120 harness - rescue loops,ppe,Work Harnesses,,EN361,,,,,,,,,,H120,,https://www.ellersafe.com/product/harness-rescue-loops-h120/,,
Ellersafe,ELLERsafe H130 positioning harness,ppe,Work Harnesses,,"EN361, EN358",,,,,,,,,,H130,,https://www.ellersafe.com/product/positioning-harness-h130/,,
Ellersafe,ELLERsafe H210 PRO harness,ppe,Work Harnesses,,EN361,,,,,,,,,,H210,,https://www.ellersafe.com/product/pro-harness-h210/,,
Ellersafe,ELLERsafe H230 PRO positioning harness (M-XL),ppe,Work Harnesses,,"EN361, EN358",,,,,,,,,,H230,,https://www.ellersafe.com/product/positioning-harness-h230-pro/,,
Ellersafe,ELLERsafe H230 PRO positioning harness (XXL),ppe,Work Harnesses,,"EN361, EN358",,,,,,,,,,H230,,https://www.ellersafe.com/product/positioning-harness-h230-pro/,,
Ellersafe,ELLERsafe H280 PRO positioning harness (M-XL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,H280,,https://www.ellersafe.com/product/ellersafe-h280-pro-positioning-harness/,,
Ellersafe,ELLERsafe H280 PRO positioning harness (XXL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,H280,,https://www.ellersafe.com/product/ellersafe-h280-pro-positioning-harness/,,
Ellersafe,ELLERsafe H310 rope access harness (M-XL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,H310,,https://www.ellersafe.com/product-category/harnesses/rope-access/,,
Ellersafe,ELLERsafe H310 rope access harness (XXL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,H310,,https://www.ellersafe.com/product-category/harnesses/rope-access/,,
Ellersafe,ELLERsafe H330 rope access harness with ascender (M-XL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,H330,,https://www.ellersafe.com/product-category/harnesses/rope-access/,,
Ellersafe,ELLERsafe H330 rope access harness with ascender (XXL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,H330,,https://www.ellersafe.com/product-category/harnesses/rope-access/,,
Ellersafe,ELLERsafe harness P-81C (S),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,140,,,,,P-81C,,https://www.licht-produktiv.de/en/ellersafe-harness-p-81c-s,,
Ellersafe,ELLERsafe P81 Safety Harness,ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,P81,,https://sos-shop.com/products/safety-harness-p81-new,,
Ellersafe,ELLERsafe P-10 Harness (M-XL),ppe,Work Harnesses,,"EN361, EN358, EN813",,,,,,,,,,P-10,,https://prolight.co.uk/product/rigg130,,
Ellersafe,ELLERsafe harness P32PRO,ppe,Work Harnesses,,EN361,,,,,,,,,,P-32PRO,,https://www.riggersworld.eu/ellersafe-harness-p-32pro.html,,
Ellersafe,"ELLERsafe FAR-I vanglijn (kernmantel, snaphook)",ppe,Lanyards & Energy Absorbers,"44mm polyester webbing absorber, 11mm static rope",EN355,,,,,120,,,,,FAR-I,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe FAR-Y double vanglijn (kernmantel, MGO)",ppe,Lanyards & Energy Absorbers,"44mm polyester webbing absorber, 11mm static rope",EN355,,,,,120,,,,,FAR-Y,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,ELLERsafe FAE-I elastic vanglijn (snaphook),ppe,Lanyards & Energy Absorbers,"44mm polyester webbing absorber, 28mm elastic polyester webbing",EN355,,,,,120,,,,,FAE-I,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,ELLERsafe FAE-Y double elastic vanglijn (MGO),ppe,Lanyards & Energy Absorbers,"44mm polyester webbing absorber, 28mm elastic polyester webbing",EN355,,,,,120,,,,,FAE-Y,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe FAA-25 valdemper (energy absorber, 25cm)",ppe,Lanyards & Energy Absorbers,44mm polyester webbing,EN355,,,,,120,,,,,FAA-25,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe valstopapparaat WR100-06 (6m, webbing)",ppe,Retractable Fall Arresters,"webbing, radilon housing",EN360,,,,,120,,,,,WR100-06,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe valstopapparaat WR040HV (2m, horiz./vert.)",ppe,Retractable Fall Arresters,"webbing, radilon housing","EN360, VG11.085, VG11.062, VG11.060",,,,,140,,,,,WR040HV,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,ELLERsafe dubbele valstopapparaat DWR040S (2m),ppe,Retractable Fall Arresters,"webbing, plastic housing","EN360, VG11.085, VG11.062",,,,,140,,,,,DWR040S,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe valstopapparaat WR020 (2m, webbing)",ppe,Retractable Fall Arresters,"webbing, radilon housing",EN360,,,,,,,,,,WR020,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe WR020-Y double fall arrester (2m, webbing, MGO)",ppe,Retractable Fall Arresters,"20mm UHMWPE webbing, PA housing",EN360:2002,,,,,140,,,,,WR020-Y,,https://www.ellersafe.com/product/ellersafe-wr020-y-double-fall-arrester-webbing-mgo-2m/,,
Ellersafe,"ELLERsafe valstopapparaat CR250HV-11 (11m, staalkabel, horiz./vert.)",ppe,Retractable Fall Arresters,galvanized 5mm steel cable,"EN360:2002, VG11.060, VG11.062",,,,,120,,,,,CR250HV-11,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
Ellersafe,"ELLERsafe valstopapparaat CR255V-11 RVS (11m, staalkabel, vert.)",ppe,Retractable Fall Arresters,stainless steel 5mm cable,"EN360:2002, VG11.062",,,,,140,,,,,CR255V-11,,https://cdnm.heyzine.com/flip-book/pdf/fdef2042cef6b5c57f74b8d07922c3eb47e5a21f-4.pdf,,
