id,brand,name,max_age_mfr_years
c2280b7c-2f36-4b9b-8cd5-16425a104f2c,Petzl,ABSORBICA-I VARIO,10
,Petzl,ANNEAU 60cm Yellow,10
,Petzl,ANNEAU 80cm Blue,10
,Petzl,ANNEAU 120cm Green,10
,Petzl,ANNEAU 150cm Red,10
db0da47d-2620-4087-bfcb-8e8f30c6a638,Petzl,ASAP,999
0d7eb907-274b-4ee5-a904-ba40cda72a2a,Petzl,ASAP LOCK,999
,Petzl,ASAP'SORBER 20,10
,Petzl,ASAP'SORBER 40,10
,Petzl,ASAP'SORBER AXESS,10
1e747012-4012-4e4f-b0ba-17c086d5fa7b,Petzl,ASCENSION Left,999
1a8b9650-065c-4af6-89f7-e1b678d1fd1d,Petzl,ASCENSION Right,999
968d2b4d-7620-4cc8-b832-20bb4299de0f,Petzl,AXIS 11mm 5m Blue,10
05b2bb73-8924-4db3-ab6e-78a2c3240951,Petzl,AXIS 11mm 5m Orange,10
360b165d-841c-4098-9106-d5fd2be6c37e,Petzl,AXIS 11mm 5m Red,10
bd5d94cf-46d0-4f47-97bf-0af5c33a5d38,Petzl,AXIS 11mm 5m Yellow,10
efc02937-8ece-4ff0-b819-a3ec58b3bbb4,Petzl,EJECT,10
8283edcb-db4a-4c63-85d9-12e181625a3c,Petzl,GRIGRI,999
3fa8abc5-d408-4a3f-b438-b23f235d0634,Petzl,GRILLON (rope clamp body),999
d7af2f9e-c0df-4d13-84c0-dd50f4874551,Petzl,GRILLON 2m,10
5f5611c2-08b2-4c44-87d6-3c262b2e8ca4,Petzl,GRILLON 3m,10
e6eb4f23-26b1-4f9f-850e-db668b748632,Petzl,GRILLON 5m,10
fdc6ce05-513f-40a9-9522-d3e1615b193c,Petzl,GRILLON HOOK 2m,10
b283cb00-d65b-4f85-9077-c072b79f3bf7,Petzl,GRILLON HOOK 3m,10
29127be8-b31f-4395-ae9c-9c3e791bade3,Petzl,GRILLON HOOK 5m,10
e45e5c6d-c50b-436c-bdae-071a5eba1f8c,Petzl,JANE-I 60cm,10
7213ab1f-a2c7-49e9-8872-5e5af0179c26,Petzl,JANE-I 100cm,10
da2bb6c1-376c-41c4-a51a-287b950b61b8,Petzl,JANE-I 150cm,10
5e38f2ce-64bd-46a1-999e-9ce4531f8242,Petzl,MICRO SWIVEL,999
429a4cd9-82c6-4532-91b3-f92879fa295f,Petzl,MICROFLIP 2.5m,10
db4daed1-e940-4188-baaa-425fc1b71dfa,Petzl,MICROFLIP 4m,10
9ebf7225-1ac0-4eec-af47-554b55dc2591,Petzl,MICROFLIP 5.5m,10
03d590b8-940b-412d-a3e0-772cab1b7908,Petzl,MICROGRAB,999
16b75e6e-76e2-4719-837e-9a4c0b9af842,Petzl,NAJA,10
c0ecfb9d-8049-494d-9d05-1b01a76070a3,Petzl,OK BALL-LOCK,999
b010459c-d7f3-4b77-9043-6fe2d2b02180,Petzl,OK SCREW-LOCK,999
b30dfa04-eb5c-40da-a63d-ddceba3f2100,Petzl,OK TRIACT-LOCK,999
889421d9-4ca1-4e87-89d3-663837c9c9b3,Petzl,OK TRIACT-LOCK Black,999
ddb66430-9faf-4c96-a765-f2f2f1127e8b,Petzl,OXAN SCREW-LOCK,999
99d1a373-ce9d-4527-863d-59918219700c,Petzl,OXAN TRIACT-LOCK,999
f33b58ab-d778-4961-9478-31663cded767,Petzl,PANTIN Right,999
7bfe527a-b0c7-4320-8943-35b2242aa70d,Petzl,SWIVEL OPEN,999
dec04e57-1d67-4547-a57a-7469873f64dd,Petzl,WILLIAM BALL-LOCK,999
a28de5d3-1277-42b5-9659-b11c89cbf5a1,Petzl,WILLIAM SCREW-LOCK,999
be7a17f0-7f2b-4344-9465-c90860ad21ac,Petzl,WILLIAM TRIACT-LOCK,999
d7b7bcbd-46dd-4545-a970-817566060b8d,Petzl,WILLIAM TRIACT-LOCK Black,999
,TAZ,LOV2,30
,TAZ,LOV3,30
