id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.50 m (without connectors),ppe,Energy Absorbers,"Polyamide, Polyester",EN 355:2002,FA3050015,10,,,,140,,,,,,,,,"Vanglijn met valdemper, kernmantel PA 11 mm, demperband 35 mm, zonder connectoren. 140 kg. 0,42 kg. Niet vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 98."
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.80 m (without connectors),ppe,Energy Absorbers,"Polyamide, Polyester",EN 355:2002,FA3050020,10,,,,140,,,,,,,,,"Vanglijn met valdemper, kernmantel PA 11 mm, demperband 35 mm, zonder connectoren. 140 kg. 0,46 kg. Niet vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 98."
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.80 m (steel connector),ppe,Energy Absorbers,"Polyamide, Polyester, Steel",EN 355:2002,FA3050220,10,,,,140,,,,,,,,,"Vanglijn met valdemper, kernmantel PA 11 mm, demperband 35 mm, stalen connector (double action). 140 kg. 0,93 kg. Niet vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 98."
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.50 m (steel double action connectors),ppe,Energy Absorbers,"Polyamide, Polyester, Steel",EN 355:2002,FA3050315,10,,,,140,,,,,,,,,"Vanglijn met valdemper, kernmantel PA 11 mm, demperband 45 mm, stalen connectoren (double action). 140 kg. 1,13 kg. Niet vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 98."
,Kratos,HOPE - Forked energy absorbing kernmantle rope lanyard 1.50 m,ppe,Energy Absorbers,"Polyamide, Polyester, Steel","EN 355:2002, PPE-R 11.063",FA3060015,10,,,,140,,,,,,,,,"Y-vanglijn met valdemper, kernmantel PA 11 mm, demperband 45 mm, stalen connectoren (screw/double action). 140 kg. 1,82 kg. Niet vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 98."
,Kratos,HOPE - Forked energy absorbing kernmantle rope lanyard 1.50 m (12 mm rope),ppe,Energy Absorbers,"Polyamide, Polyester, Steel","EN 355:2002, PPE-R 11.063",FA3020015,10,,,,140,,,,,,,,,"Y-vanglijn met valdemper, kernmantel PA 12 mm, demperband 45 mm, stalen connectoren (screw/double action). 140 kg. 1,86 kg. Niet vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 99."
,Kratos,GRAVITY-S - Forked expandable lanyard with energy absorber 1.20-1.50 m (2 rebar hooks),ppe,Energy Absorbers,"Polyester, Aluminium","EN 355:2002, PPE-R 11.063",FA3082215,10,,,,140,,,,,,,,,"Y-vanglijn, elastisch 1,20-1,50 m, band PES 30 mm, demperband 45 mm, aluminium connectoren (quarter/double action), 2x 109 mm rebar-haak, 1x 360°-wartel. 140 kg. 1,87 kg. Vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 94."
,Kratos,GRAVITY-S - Forked expandable lanyard with internal shock absorber 1.40-2.00 m,ppe,Energy Absorbers,"Polyamide, Aluminium","EN 355:2002, PPE-R 11.063",FA30100020,10,,,,140,,,,,,,,,"Y-vanglijn, elastisch 1,40-2,00 m, band PA 45 mm, demper ingebouwd in de lijn, aluminium connectoren (quarter/double action), 1x 360°-wartel. 140 kg. 1,88 kg. Vrijgegeven voor scherpe randen. Bron: Kratos-catalogus p. 95."
,Kratos,OLYMPE-S - Retractable fall arrester 1.75 m (steel/alu quarter action),ppe,Retractable Fall Arresters,"Polyamide, Steel, Aluminium","EN 360, PPE-R 11.060, DIN 19427",FA2050301,10,,15 kN,,140,,,,,,,,,"Valstopapparaat met automatisch oprolsysteem, band PA 21 mm, 1,75 m. 140 kg. Statische sterkte 15 kN. 2x 360°-wartel. Vrijgegeven voor scherpe randen vanaf r>0,5 mm. Geschikt voor hoogwerkers (3 kN). 0,77 kg. Bron: Kratos-catalogus p. 57."
,Kratos,OLYMPE-S - Retractable fall arrester 1.75 m (steel/alu triple action),ppe,Retractable Fall Arresters,"Polyamide, Steel, Aluminium","EN 360, PPE-R 11.060, DIN 19427",FA2050301T,10,,15 kN,,140,,,,,,,,,"Valstopapparaat met automatisch oprolsysteem, band PA 21 mm, 1,75 m. 140 kg. Statische sterkte 15 kN. 2x 360°-wartel, connectoren met triple action. Vrijgegeven voor scherpe randen vanaf r>0,5 mm. Geschikt voor hoogwerkers (3 kN). 0,79 kg. Bron: Kratos-catalogus p. 57."
