id,brand,name,material,max_age_use_years,max_age_mfr_years
0e465632-2eb3-4775-9410-e5e8450f9132,Kratos,GRAVITY-S - 2 m forked energy absorbing lanyard with intermediate tie-back rings,,10,15
b2010995-4079-4395-93ec-49da833ec39c,Kratos,"GRAVITY-S - Adjustable webbing lanyard with compact energy absorber, 0.75-2 m",,10,15
37adcc53-1bde-4218-b21d-ad272816f9f8,Kratos,"GRAVITY-S - Compact energy absorber with forked lanyards, 1.50 m (sharp edges)",,10,15
7aacb46a-69d1-4163-9268-7b49634f1ee7,Kratos,GRAVITY-S - Expandable lanyard with energy absorber 2 m,,10,15
ad79dde6-aea1-4f66-ae8b-ef8d13d4ea10,Kratos,GRAVITY-S - Expandable webbing lanyard 2 m with integrated energy absorber,,10,15
,Kratos,GRAVITY-S - Forked expandable lanyard with energy absorber 1.20-1.50 m (2 rebar hooks),,10,15
bf894332-0162-4480-924b-4f4a47589ab1,Kratos,"GRAVITY-S - Forked expandable lanyard with energy absorber, 1.50 m (3 aluminium karabiners)",,10,15
,Kratos,GRAVITY-S - Forked expandable lanyard with internal shock absorber 1.40-2.00 m,,10,15
204cafdc-f738-4bb3-b5e9-f40482441b21,Kratos,HOPE - Energy Absorber in wide webbing 35 mm,,10,15
7efc1387-74a3-4c43-819f-f5b309b53ce0,Kratos,HOPE - Energy absorbing expandable lanyard 2 m,,10,15
a319f36d-9a94-446b-9b81-da8443c9de27,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.50 m,,10,15
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.50 m (steel double action connectors),,10,15
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.50 m (without connectors),,10,15
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.80 m (steel connector),,10,15
,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 1.80 m (without connectors),,10,15
b0d6f3a0-9e10-4ef1-8a57-f22e4202320e,Kratos,HOPE - Energy absorbing kernmantle rope lanyard 2 m,,10,15
261ac207-44eb-44cf-9a51-ac381f1321ed,Kratos,HOPE - Energy absorbing webbing lanyard 1.80 m,,10,15
d1f4a6af-f8b6-4548-ada6-d7fda6603b07,Kratos,HOPE - Forked energy absorbing expandable lanyard 1.50 m,,10,15
4aea49c6-3525-490a-ac94-6b3f64738808,Kratos,HOPE - Forked energy absorbing kernmantle rope lanyard - without connector,"Polyamide, Polyester",10,15
5c5c7614-bedf-4e44-a460-6c9cd7c5ab07,Kratos,HOPE - Forked energy absorbing kernmantle rope lanyard 1 m,"Polyamide, Polyester, Steel",10,15
,Kratos,HOPE - Forked energy absorbing kernmantle rope lanyard 1.50 m,,10,15
,Kratos,HOPE - Forked energy absorbing kernmantle rope lanyard 1.50 m (12 mm rope),,10,15
f61638b7-aca2-4cea-9de8-2aaae81573c4,Kratos,HOPE - Forked energy absorbing webbing lanyard 1.80 m,,10,15
,Kratos,MUNE 1,,10,15
,Kratos,MUNE 2,,10,15
,Kratos,MUNE 3,,10,15
,Kratos,MUNE 3R,,10,15
,Kratos,MUNE 4,,10,15
,Kratos,MUNE 5,,10,15
,Kratos,MUNE 6,,10,15
,Kratos,OLYMPE-S - Retractable fall arrester 1.75 m (steel/alu quarter action),,10,15
,Kratos,OLYMPE-S - Retractable fall arrester 1.75 m (steel/alu triple action),,10,15
,Kratos,"Restraint lanyard 1.00 m (PA 11 mm, steel connector) FA4050210",,10,15
,Kratos,"Restraint lanyard 1.00 m (PA 11 mm, steel connector) FA4050310",,10,15
,Kratos,"Restraint lanyard 1.00 m (PA 11 mm, steel connectors) FA4060010",,10,15
,Kratos,"Restraint lanyard 1.00 m (PA 11 mm, without connectors) FA4050010",,10,15
,Kratos,"Restraint lanyard 1.50 m (PA 11 mm, steel connector) FA4050215",,10,15
,Kratos,"Restraint lanyard 1.50 m (PA 11 mm, steel connector) FA4050315",,10,15
,Kratos,"Restraint lanyard 1.50 m (PA 11 mm, steel connectors) FA4060015",,10,15
,Kratos,"Restraint lanyard 1.50 m (PA 11 mm, without connectors) FA4050015",,10,15
,Kratos,"Restraint lanyard 1.80 m (PA 11 mm, steel connector) FA4050220",,10,15
,Kratos,"Restraint lanyard 1.80 m (PA 11 mm, without connectors) FA4050020",,10,15
,Kratos,"Restraint lanyard 2.00 m (PA 11 mm, steel connector) FA4050320",,10,15
,Kratos,Work positioning lanyard 0.6-2.0 m (PA 12 mm) FA4090320,,10,15
a70b0325-667e-4064-ab6c-8a2612cd581d,Kratos,Work positioning lanyard 1.2-2.0 m (PA 11 mm) FA4090220,,10,15
,Kratos,Work positioning lanyard 1.2-2.0 m (PA 14 mm) FA4090020,,10,15
,Kratos,Work positioning lanyard 1.2-2.0 m (PES 30 mm band) FA4090120,,10,15
,Kratos,Work positioning lanyard 1.5-4.0 m (PA 12 mm) FA4090340,,10,15
