id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
,Kratos,Work positioning lanyard 1.2-2.0 m (PA 14 mm) FA4090020,ppe,Work Positioning,"Polyamide, Steel",EN 358:2018,FA4090020,10,,,,,,,,,,,,,"Verstelbare werkplekpositioneringslijn, 1.2-2.0 m, PA 14 mm, stalen connector en stalen verstelgesp. Gewicht 0,81 kg. Bron: Kratos-catalogus p. 106."
,Kratos,Work positioning lanyard 1.2-2.0 m (PES 30 mm band) FA4090120,ppe,Work Positioning,"Polyester, Steel",EN 358:2018,FA4090120,10,,,,,,,,,,,,,"Verstelbare werkplekpositioneringslijn, 1.2-2.0 m, PES 30 mm band, stalen connector en stalen verstelgesp. Gewicht 0,47 kg. Bron: Kratos-catalogus p. 106."
,Kratos,Work positioning lanyard 0.6-2.0 m (PA 12 mm) FA4090320,ppe,Work Positioning,"Polyamide, Steel",EN 358:2018,FA4090320,10,,,,,,,,,,,,,"Verstelbare werkplekpositioneringslijn, 0.6-2.0 m, PA 12 mm, stalen connector en stalen verstelgesp. Gewicht 0,99 kg. Bron: Kratos-catalogus p. 106."
,Kratos,Work positioning lanyard 1.5-4.0 m (PA 12 mm) FA4090340,ppe,Work Positioning,"Polyamide, Steel",EN 358:2018,FA4090340,10,,,,,,,,,,,,,"Verstelbare werkplekpositioneringslijn, 1.5-4.0 m, PA 12 mm, stalen connector en stalen verstelgesp. Gewicht 1,30 kg. Bron: Kratos-catalogus p. 106."
,Kratos,"Restraint lanyard 1.00 m (PA 11 mm, without connectors) FA4050010",ppe,Lanyards,Polyamide,EN 354:2010,FA4050010,10,,22 kN,,,,,,,,,,,"Verbindingsmiddel zonder valdemper — alleen voor werkplekpositionering/gebiedsbegrenzing, niet voor valopvang. Kernmantel PA 11 mm, 1.00 m, without connectors. Statische sterkte 22 kN. Gewicht 0,17 kg. Bron: Kratos-catalogus p. 107."
,Kratos,"Restraint lanyard 1.50 m (PA 11 mm, without connectors) FA4050015",ppe,Lanyards,Polyamide,EN 354:2010,FA4050015,10,,22 kN,,,,,,,,,,,"Verbindingsmiddel zonder valdemper — alleen voor werkplekpositionering/gebiedsbegrenzing, niet voor valopvang. Kernmantel PA 11 mm, 1.50 m, without connectors. Statische sterkte 22 kN. Gewicht 0,20 kg. Bron: Kratos-catalogus p. 107."
,Kratos,"Restraint lanyard 1.80 m (PA 11 mm, without connectors) FA4050020",ppe,Lanyards,Polyamide,EN 354:2010,FA4050020,10,,22 kN,,,,,,,,,,,"Verbindingsmiddel zonder valdemper — alleen voor werkplekpositionering/gebiedsbegrenzing, niet voor valopvang. Kernmantel PA 11 mm, 1.80 m, without connectors. Statische sterkte 22 kN. Gewicht 0,23 kg. Bron: Kratos-catalogus p. 107."
,Kratos,"Restraint lanyard 1.00 m (PA 11 mm, steel connector) FA4050210",ppe,Lanyards,"Polyamide, Steel",EN 354:2010,FA4050210,10,,22 kN,,,,,,,,,,,"Verbindingsmiddel zonder valdemper — alleen voor werkplekpositionering/gebiedsbegrenzing, niet voor valopvang. Kernmantel PA 11 mm, 1.00 m, steel connector. Statische sterkte 22 kN. Gewicht 0,66 kg. Bron: Kratos-catalogus p. 107."
,Kratos,"Restraint lanyard 1.50 m (PA 11 mm, steel connector) FA4050215",ppe,Lanyards,"Polyamide, Steel",EN 354:2010,FA4050215,10,,22 kN,,,,,,,,,,,"Verbindingsmiddel zonder valdemper — alleen voor werkplekpositionering/gebiedsbegrenzing, niet voor valopvang. Kernmantel PA 11 mm, 1.50 m, steel connector. Statische sterkte 22 kN. Gewicht 0,69 kg. Bron: Kratos-catalogus p. 107."
,Kratos,"Restraint lanyard 1.80 m (PA 11 mm, steel connector) FA4050220",ppe,Lanyards,"Polyamide, Steel",EN 354:2010,FA4050220,10,,22 kN,,,,,,,,,,,"Verbindingsmiddel zonder valdemper — alleen voor werkplekpositionering/gebiedsbegrenzing, niet voor valopvang. Kernmantel PA 11 mm, 1.80 m, steel connector. Statische sterkte 22 kN. Gewicht 0,72 kg. Bron: Kratos-catalogus p. 107."
