id,brand,name,max_age_use_years,max_age_mfr_years,manual_url,notes
,Arbpro,XS9.1 Split-Tail Prusik Sling 60cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 60 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 65cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 65 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 70cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 70 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 75cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 75 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 80cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 80 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 85cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 85 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 90cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 90 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 95cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 95 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 100cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 100 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 120cm,3,5,https://arbpro.it/wp-content/uploads/2026/03/XS9-1-4-lingue-A5-2023.pdf,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 120 cm. Levensduur volgens de handleiding: opslag maximaal 5 jaar vanaf productie, daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. In de catalogus staat 3 jaar vanaf ingebruikname (de bovengrens); bij intensief gebruik moet de keurmeester dus korter aanhouden. Direct afkeuren na een val, of bij schuurschade of een insnijding."
