id,brand,name,max_age_use_years,max_age_mfr_years,notes
,Arbpro,XS9.1 Split-Tail Prusik Sling 60cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 60 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 65cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 65 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 70cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 70 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 75cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 75 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 80cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 80 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 85cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 85 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 90cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 90 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 95cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 95 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 100cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 100 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
,Arbpro,XS9.1 Split-Tail Prusik Sling 120cm,3,8,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 120 cm. Levensduur volgens de handleiding: opslag telt mee. Maximaal 5 jaar opslag vanaf productie, plus daarna vanaf eerste gebruik afhankelijk van de gebruiksintensiteit — intensief 1 jaar, af en toe 2 jaar, zelden 3 jaar. Absolute bovengrens is dus 8 jaar na productiedatum (5 opslag + 3 gebruik); die staat in de kolom. Bij intensief gebruik moet de keurmeester korter aanhouden dan de 3 jaar vanaf ingebruikname. Direct afkeuren na een val, of bij schuurschade of een insnijding."
