id,brand,name,material,max_age_use_years,max_age_mfr_years
35b25919-831a-40b5-890e-a315a4563349,EDELRID,"X-P*E 12,3mm 1-ST-W 3m",,10,14
05f403d1-f395-4b22-8f20-6017f8221a3e,EDELRID,"X-P*E 12,3mm 1-ST-W 4m",,10,14
cab0fef3-3c9b-4c2a-bfee-5f8cb9530c43,EDELRID,"X-P*E 12,3mm 1-ST-W 6m",,10,14
e363552f-32a1-4701-bd0f-87c314620466,EDELRID,"X-P*E 12,3mm 1-ST-W 36m",,10,14
0ac9bb91-aced-435e-931f-058d31873901,EDELRID,"X-P*E 12,3mm 1-ST-W 45m",,10,14
ff6bd010-46b6-492e-aec0-bf566eb71cd1,EDELRID,"X-P*E 12,3mm 1-ST-W 60m",,10,14
,ISC,UltraLink Large LK101A1.2,,999,999
,ISC,UltraLink Small LK100A1.2,,999,999
5593e906-d296-48df-841c-bf17896f7bf1,Petzl,ANNEAU 60cm Yellow,Polyester,,
8415ef89-6221-4151-b681-8e8d76fee7d3,Petzl,ANNEAU 80cm Blue,Polyester,,
21cfdc62-b745-4c66-b3d9-529413ad201b,Petzl,ANNEAU 120cm Green,Polyester,,
e386c3b9-e7a1-43b4-9851-bf5b2e1f508b,Petzl,ANNEAU 150cm Red,Polyester,,
,Petzl,ANNEAU Tactical 60cm Black,Polyester,,
,Petzl,ANNEAU Tactical 80cm Black,Polyester,,
,Petzl,ANNEAU Tactical 120cm Black,Polyester,,
f5c9bd52-6a19-4935-a402-0dc563cfe89b,TAZ,LOV2,Metal,,
369712f5-1464-4aa1-bdcb-2ea3b197f6b9,TAZ,LOV3,Metal,,
