id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
,Arbpro,XS9.1 Split-Tail Prusik Sling 60cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 60 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 65cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 65 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 70cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 70 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 75cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 75 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 80cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 80 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 85cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 85 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 90cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 90 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 95cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 95 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 100cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 100 cm."
,Arbpro,XS9.1 Split-Tail Prusik Sling 120cm,ppe,Prusik,"Polyester core, Kevlar/polyester sheath",EN 566,,,,>22 kN,,,9.1,9.1,,,,https://arbpro.it/product/xs9-1/,,,"Split-tail prusiklus met gestikte ogen. Eigen diameter 9,1 mm; geschikt voor klimlijnen van 11,5 tot 12,7 mm. Dubbelgevlochten koord met polyester kern en Kevlar/polyester mantel — goede grip, slijtvast en weinig rek. Lengte 120 cm."
