id,brand,name,max_age_use_years,max_age_mfr_years,notes
12c92216-c77a-49bf-b42c-406f2ddff1b9,Teufelberger,Ocean Polyester e2e 8 mm 0.76 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Let op: de 8 mm draagt géén EN 566; de 10 mm wel."
60ecf47f-41d3-47bc-b163-91acbfc82739,Teufelberger,Ocean Polyester e2e 8 mm 0.85 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Let op: de 8 mm draagt géén EN 566; de 10 mm wel."
c0e6796d-86fc-41c7-91e5-b47ef110352a,Teufelberger,Ocean Polyester e2e 8 mm 0.90 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Let op: de 8 mm draagt géén EN 566; de 10 mm wel."
4d11400c-7e09-4f0f-b5cb-49e890972f8f,Teufelberger,Ocean Polyester e2e 8 mm 0.95 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Let op: de 8 mm draagt géén EN 566; de 10 mm wel."
c53e906f-da44-429d-979f-109183a4ba09,Teufelberger,Ocean Polyester e2e 10 mm,3,5,
58fe9c9f-a7d4-4ca7-b1a4-e9201ea55586,Teufelberger,Ocean Polyester e2e 10 mm 0.65 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
dcb951f4-4ea1-4873-b6d0-f9acca3dc514,Teufelberger,Ocean Polyester e2e 10 mm 0.80 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
52ff90b4-00b0-4756-aa69-ccd4bc292d0f,Teufelberger,Ocean Polyester e2e 10 mm 0.85 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
fb20f34b-2033-4e94-babb-de69673af55b,Teufelberger,Ocean Polyester e2e 10 mm 0.90 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
190cd78e-b867-4a69-9205-43f5eb544018,Teufelberger,Ocean Polyester e2e 10 mm 0.95 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
f3a1a2c0-9607-4096-b66b-c3be2ef91acc,Teufelberger,Ocean Polyester e2e 10 mm 1.00 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
5fb13a85-4f30-449e-a3db-3729a31aec46,Teufelberger,Ocean Polyester e2e 10 mm 1.05 m,3,5,"Prusiklus met twee gestikte ogen (eye-to-eye), voor boomverzorging. Kern polyester, mantel polyester/aramide, 32-draads vlechting. Voor de naadcontrole volgens EN 566 heeft Teufelberger een aparte instructie — zie het keuringsbericht."
e049d29a-864c-4a79-9e86-4bf9bf1ffa26,Teufelberger,Ocean Polyester Loop 10 mm,3,5,
