id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Delta Plus,EX120,ppe,harnesses,Galvanized steel - Steel - Polyester,EN358,EX120,,10,,,140,,,,,https://media.deltaplus.eu/m/796d7b286f40609c/original/BELT-UI.pdf,https://www.deltaplus.eu/p/ex120,,,,,"EN358 positioningsgordel (heupgordel, geen volledig harnas). manual geverifieerd (200, application/pdf)"
,Delta Plus,EX220,ppe,harnesses,Galvanized steel - Steel - Polyester,EN358,EX220,,10,,,150,,,,,https://media.deltaplus.eu/m/796d7b286f40609c/original/BELT-UI.pdf,https://www.deltaplus.eu/p/ex220,,,,,"EN358 positioningsgordel (heupgordel, geen volledig harnas). manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR11,ppe,harnesses,Steel - Polyester,EN361,HAR11,,10,,,140,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har11,,,,,"Basis valbeveiligingsharnas, 1 dorsaal ankerpunt. Handleiding is de algemene Delta Plus harnas-UI (dekt meerdere HAR-modellen). manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR12,ppe,harnesses,Steel - Polyester,EN361,HAR12,,10,,,140,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har12,,,,,"2 ankerpunten (rug/borst). manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR14,ppe,harnesses,Steel - Polyester,EN358 + EN361,HAR14,,10,,,140,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har14,,,,,"Met heupgordel, 4 ankerpunten (val + werkpositionering). manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR22H,ppe,harnesses,Steel - Polyester,EN361,HAR22H,,10,,,150,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har22h,,,,,"manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR22HA,ppe,harnesses,Steel - Polyester,EN361,HAR22HA,,10,,,150,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har22ha,,,,,"Zelfde lijn als HAR22H, met heupgordel. manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR23,ppe,harnesses,Polyester,EN361,HAR23,,10,,,,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har23,,,,,"Max. gebruikersgewicht niet expliciet vermeld op productpagina (geen kg-badge bij EN361) — verifiëren. Handleiding is de algemene Delta Plus harnas-UI. manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR23H,ppe,harnesses,Steel - Polyester,EN361,HAR23H,,10,,,150,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har23h,,,,,"3 ankerpunten (dorsaal/sternaal), gecertificeerd tot 150 kg. manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR24H,ppe,harnesses,Steel - Polyester,EN358 + EN361,HAR24H,,10,,,150,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har24h,,,,,"Met heupgordel (EN358 + EN361). manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR25HA,ppe,harnesses,Steel - Polyester,EN358 + EN361,HAR25HA,,10,,,150,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har25ha,,,,,"5 ankerpunten, met heupgordel en verlengband voor evacuatie uit besloten ruimte. manual geverifieerd (200, application/pdf)"
,Delta Plus,HAR42EL,ppe,harnesses,Steel - Plastic - Polyester,EN361,HAR42EL,,10,,,140,,,,,https://media.deltaplus.eu/m/258eca13a31eb597/original/HARNESS-UI.pdf,https://www.deltaplus.eu/p/har42el,,,,,"Dielektrische uitvoering (geen metalen gespen/ringen) voor elektrotechnisch werk. manual geverifieerd (200, application/pdf)"
