id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Donaghys,Cougar Arbor Access Line,ppe,climbing_ropes,"HT polyester, dubbele vlecht (24-drager mantel over vlechtkern)",ANSI Z-133 (geen EN1891-certificering vermeld),,,,2800 kg,,,11.7,11.7,,,https://www.donaghysropes.com.au/file_uploads/fact-sheets/Cougar_Arbor_Access_Line_Fact_Sheet_Sep_2024.pdf,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/climbing-and-access-line/cougar-climbing-line,,,,,"SRT/DdRT klimlijn voor sportklimmen en professionele arboristen; 11.7mm, 2800kg breekkracht, kleurvarianten blauw/fluro-oranje/roze/geel/groen met zwart-grijze vlek (bv. RPRP1119). Ook leverbaar met genaaide nylon-thimble-oog (35/50/60m hanken). Bevat interne jaartal-merkdraad. manual_url = fabrieks-fact sheet, met curl bevestigd als application/pdf (200)."
,Donaghys,NRG Climbing Line,ppe,climbing_ropes,24-strengen kernmantel; vezelsoort niet vermeld op productpagina,ANSI Z-133 (geen EN1891 vermeld),,,,,,,12,12,,,,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/climbing-and-access-line/nrg-climbing-line,,,,,"12mm klimlijn voor sportklimmen/arboristen (voetklem-/SRT-gebruik), lichtgewicht, 100m en 200m rollen. Geen technische fact sheet, materiaalsoort of breekkracht gevonden op de fabrikantsite -> leeg gelaten, niet verzonnen. handleiding niet gevonden."
,Donaghys,ResponseXT Access Line,ppe,climbing_ropes,32-vlecht nylon mantel over parallel-getwiste nylon kern (heat-set),EN1891:2002 Type A; AS4142.3-1993; AS1891.5; ANSI Z-133,,,,"3475 kg (11mm, XT-uitvoering)",,,11,11,,,https://www.donaghysropes.com.au/file_uploads/fact-sheets/Response_Static_Safety_Lines_Fact_Sheet_Oct_2023.pdf,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/climbing-and-access-line/responsext-access-line,,,,,"Response XT is de heat-set nylon-mantel-variant binnen de Response Static Safety Lines familie (naast de polyester-mantel Response LSK); EN1891:2002 Type A gecertificeerd, ISO9001:2015 fabricage, interne jaartal-/normmerkdraad. Fact sheet dekt beide varianten en ook 13mm (4750kg) en 16mm (6900kg) van de LSK-lijn. manual_url met curl bevestigd als application/pdf (200)."
,Donaghys,SLR Stable Braid,rigging,rigging_line,"100% high-tenacity polyester, dubbele vlecht (24-strengen mantel) met slijtvaste coating",,,,,3500 kg (12mm) / 4420 kg (14mm) / 5500 kg (16mm),,,12,16,,,https://www.donaghysropes.com.au/file_uploads/fact-sheets/Donaghys_SLR_Stable_Braid_Fact_Sheet_2019.pdf,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/rigging-ropes/slr-stable-braid,,,,,"Lowering-/rigginglijn voor boomverzorging; blijft rond onder belasting, loopt soepel door Port-a-Wrap/GRCS/bollards/katrollen. Kleurcodering per diameter (rood 12mm, blauw 14mm, geel 16mm); 200m rol of 500m carton. Geen PBM, zuiver rigging-materiaal. manual_url met curl bevestigd als application/pdf (200)."
,Donaghys,Armor-Prus Performance,ppe,accessory_cord,"Technora-gemengde mantel (""Armor"") over lichte UHMwPE-kern met twee Kevlar-strengen",Voldoet aan ITCC-klimwedstrijdreglement en ANSI Z-133,,,,2800 kg (8mm) / 4300 kg (10mm),,,8,10,,,https://www.donaghysropes.com.au/file_uploads/fact-sheets/Armor_Prus_Range_Fact_Sheet_Jan_2026.pdf,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/prusik-line/armor-prus-performance,,,,,"Prusik-/voetklemkoord voor SRT-arboristen; 25m rollen (8mm fluro geel, 10mm blauw/grijs mottle), op maat langere lengtes leverbaar. Ook als afgewerkte prusiklus met genaaide ogen (8mm=2500kg, 10mm=3800kg). Goedkopere zustervariant Armor-Prus Poly (polyester kern i.p.v. UHMwPE/Kevlar, 2300/3297kg) bestaat ook, hier niet apart opgenomen. manual_url met curl bevestigd als application/pdf (200)."
,Donaghys,UHMwPE Rigging Braid,rigging,rigging_line,"UHMwPE, 12-strengen vlecht, solution-dyed",,,,,"940 kg (2mm) tot 4800 kg (6mm), zie fact sheet voor tussenmaten",,,2,6,,,https://www.donaghysropes.com.au/file_uploads/fact-sheets/UHMwPE_Rigging_Braid_fact_sheet_Feb_2021.pdf,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/rigging-ropes/uhmwpe-rigging-braid,,,,,"Lichtgewicht dunne riggingbraid (theater/hijs/stag-/tie-off-lijnen), bruikbaar voor lichte rigging-toepassingen in boomverzorging; standaard zwart, andere kleuren op aanvraag. Grotere diameters dan 6mm alleen op aanvraag. manual_url met curl bevestigd als application/pdf (200)."
,Donaghys,Whoopie Sling,rigging,slings,12-strengen holle vlecht; vezelsoort (en daarmee sterkte) verschilt per uitvoering,,,,,,,,12,12,,,,https://www.donaghysropes.com.au/safety-and-arbor/products/arbor-ropes/rigging-ropes/whoopie-sling,,,,,"Verstelbare knooploze rigging-sling (vast oog + verstelbaar oog) om stam/tak/paal voor hijsen/rigging; 3 lengtematen en 3 vezelkeuzes met elk andere sterkte, geen sterktewaarde vermeld op de site -> leeg gelaten. handleiding niet gevonden."
,English Braids,Silva-Tex 16,ppe,climbing_ropes,Polyester kernmantel: 16-strengen mantel over torque-balanced hoog-elongatie polyester kern,EN 1891 Type A,,,,3350 kgf ongetermineerd / 2960 kgf met genaaide ogen,,,12.4,12.4,,,https://www.englishbraids.com/wp-content/uploads/2025/06/Silva-Tex16.pdf,https://www.englishbraids.com/products/polyester-ropes/silva-tex-16/,,,,,"Arborist klim-/toegangslijn voor werkpositionering; kleuren blauw/rood/oranje, 13.12kg/100m, 3.7% rek bij 100kg, nulkrimp. Leverbaar met genaaide ogen (25/35/45/60m) of blanco 200m rol. manual_url = fabrieks-technisch overzicht, met curl bevestigd als application/pdf (200)."
,English Braids,Tutus Static,ppe,climbing_ropes,Nylon (polyamide) kernmantel: 32-vlecht mantel over nylon multi-kern,EN1891 Type A (10.5/11/12mm) en Type B (9mm),,,,"9mm=26.7kN, 10.5mm=30.6kN, 11mm=35.6kN, 12mm=45.0kN (statische sterkte zonder terminatie)",,,9,12,,,https://www.englishbraids.com/wp-content/uploads/2025/06/Tutus-Static.pdf,https://www.englishbraids.com/products/nylon-ropes/tutus-static/,,,,,"Statische werklijn met batch-traceerbaarheid; kleuren wit/blauw vlok, zwart, rood/blauw vlok, blauw/wit vlok; rollen 50/100/200m. Eén rij voor de hele diameterreeks (9-12mm), per-diameter breekkracht hierboven vermeld i.p.v. losse rijen. manual_url met curl bevestigd als application/pdf (200)."
,English Braids,Rig-Tex 12,rigging,rigging_line,"Polyester, 12-strengen, PU-coating",,,,,"3930 kg (10mm) tot 12600 kg (20mm) -- 12mm=4740kg, 14mm=6190kg, 16mm=8060kg, 18mm=9970kg",,,10,20,,,https://www.englishbraids.com/wp-content/uploads/2025/06/Rig-Tex-12.pdf,https://www.englishbraids.com/products/polyester-ropes/rig-tex-12/,,,,,"Riggingline voor boomverzorging, voorgerekt/heat-set, makkelijk te splitsen, kleurcodering per diameter (rood/oranje/blauw/geel/groen/roze); 100m rollen. Eén rij voor de hele diameterreeks (10-20mm), per-diameter breeklast hierboven. manual_url met curl bevestigd als application/pdf (200)."
