id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Maillon Rapide,Ovaal 8mm verzinkt staal,ppe,connectors,Verzinkt staal,"EN 362:2004-Q, EN 12275:2013",MRNZ08.0 EN,999,999,35 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-zingue,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: verzinkt staal (zingue)."
,Maillon Rapide,Ovaal 9mm verzinkt staal,ppe,connectors,Verzinkt staal,"EN 362:2004-Q, EN 12275:2013",MRNZ09.0 EN,999,999,45 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-zingue,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: verzinkt staal (zingue)."
,Maillon Rapide,Ovaal 10mm verzinkt staal,ppe,connectors,Verzinkt staal,"EN 362:2004-Q, EN 12275:2013",MRNZ10.0 EN,999,999,55 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-zingue,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: verzinkt staal (zingue)."
,Maillon Rapide,Ovaal 7mm RVS,ppe,connectors,RVS,"EN 362:2004-Q, EN 12275:2013",MRNI07.0 EN,999,999,45 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-inox,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: roestvast staal (inox)."
,Maillon Rapide,Ovaal 8mm RVS,ppe,connectors,RVS,"EN 362:2004-Q, EN 12275:2013",MRNI08.0 EN,999,999,55 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-inox,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: roestvast staal (inox)."
,Maillon Rapide,Ovaal 10mm RVS,ppe,connectors,RVS,"EN 362:2004-Q, EN 12275:2013",MRNI10.0 EN,999,999,90 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-inox,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: roestvast staal (inox)."
,Maillon Rapide,Ovaal 10mm Zicral,ppe,connectors,Zicral (hoogwaardige aluminiumlegering),"EN 362:2004-Q, EN 12275:2013",MRNZIC10.0 EN,999,999,25 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/standard-maillon-rapide?tab=tab-zicral,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: Zicral."
,Maillon Rapide,Grote Opening 7mm verzinkt staal,ppe,connectors,Verzinkt staal,"EN 362:2004-Q, EN 12275:2013",MRGOZ07.0 EN,999,999,25 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/large-opening-maillon-rapide?tab=tab-zingue,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: verzinkt staal (zingue)."
,Maillon Rapide,Grote Opening 8mm verzinkt staal,ppe,connectors,Verzinkt staal,"EN 362:2004-Q, EN 12275:2013",MRGOZ08.0 EN,999,999,32 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/large-opening-maillon-rapide?tab=tab-zingue,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: verzinkt staal (zingue)."
,Maillon Rapide,Grote Opening 10mm verzinkt staal,ppe,connectors,Verzinkt staal,"EN 362:2004-Q, EN 12275:2013",MRGOZ10.0 EN,999,999,50 kN,,,,,Lasergravure op de body van het maillon,,https://www.peguet.com/data/docs/notice-du-maillon-rapide-dec2018.pdf,https://www.peguet.com/ppe-certified-maillon-rapide-quick-links/large-opening-maillon-rapide?tab=tab-zingue,,,,,"Fabrikant: Peguet (Frankrijk) — merknaam Maillon Rapide. Schroefsluiting (moer met sleutel/hand vast te draaien, geen veergeladen gate); ""screwgate"" is hier niet van toepassing zoals bij een karabiner. Individuele lasergravure-markering (naast standaardmarkering) op elk EN 362/EN 12275-gecertificeerd exemplaar voor productcontrole. Breekkracht (BL) en toegestane belasting staan ingegraveerd op het product zelf. Materiaal: verzinkt staal (zingue)."
