id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Ocun,Thor,ppe,harnesses,PA (polyamide) webbing; stalen gespen; dural (aluminiumlegering) versterkingen,EN 813:2008; EN 358:2018; EN 361:2002,,,,,,,,,,,https://www.ocun.com/data/files/products/k15mu5wb.pdf,https://www.ocun.com/product/thor,,,,,Volwaardig werkpositionerings-/opvanggordel (professionele lijn). manual_url is de algemene Ocún-handleiding voor harnassen (1 gedeeld PDF voor alle gordel-modellen); geverifieerd met curl -> 200 application/pdf. Max. gebruikersgewicht niet vermeld op productpagina; breaking_strength/WLL niet van toepassing/niet vermeld voor volledige gordel. CE 1019 (notified body) vermeld naast EN-normen.
,Ocun,Thor Sit,ppe,harnesses,PA (polyamide) webbing; stalen gespen; dural (aluminiumlegering),EN 813:2008; EN 358:2018,,,,,,,,,,,https://www.ocun.com/data/files/products/k15mu5wb.pdf,https://www.ocun.com/product/thor-sit3,,,,,"Werkpositionering-zitgordel, uitbreidbaar met Thor Top borstgordel (met of zonder geintegreerde borststijgklem). manual_url = algemene Ocún harnas-handleiding, curl-geverifieerd (200 application/pdf). Gewicht/max. gebruikersgewicht niet vermeld op productpagina."
,Ocun,Frey,ppe,harnesses,PA (polyamide) webbing; stalen gespen; dural (aluminiumlegering),EN 813:2008; EN 358:2018,,,,,,,,,,,https://www.ocun.com/data/files/products/k15mu5wb.pdf,https://www.ocun.com/product/frey3,,,,,"Werkpositionering-zitgordel met SB-gespen op taille en beenlussen, niet verder verstelbaar. Gewicht 1100 g (beide maten M-L/L-XL). manual_url = algemene Ocún harnas-handleiding, curl-geverifieerd (200 application/pdf). Max. gebruikersgewicht niet vermeld."
,Ocun,Thor Top,ppe,harness_accessories,PA (polyamide) webbing; stalen gespen; dural (aluminiumlegering),EN 361:2002,,,,,,,,,,,https://www.ocun.com/data/files/products/k15mu5wb.pdf,https://www.ocun.com/product/thor-top3,,,,,"Losse borstgordel-accessoire specifiek voor combinatie met Thor Sit (samen vormen ze een volledig lichaamsharnas met EN 361-opvangfunctie); met of zonder geintegreerde borststijgklem leverbaar. Als accessoire gecategoriseerd (harness_accessories), niet als losstaand harnas. manual_url = algemene Ocún harnas-handleiding, curl-geverifieerd (200 application/pdf)."
,Ocun,Shard,ppe,helmet,Hoge-dichtheid EPS-schuim met polycarbonaat buitenschaal (exacte materiaalopgave niet verder gespecificeerd op site),EN 12492; UIAA 106,,,,,,,,,,,https://www.ocun.com/data/files/products/7t7dpe6q.pdf,https://www.ocun.com/product/shard3,,,,,"Bergsport-/klimhelm, EN 12492 (wordt ook in de praktijk breed gebruikt voor werk op hoogte/boomverzorging, geen aparte EN 397-certificering). Gewicht 320-335 g afhankelijk van maat, maatbereik 54-62 cm. manual_url curl-geverifieerd (200 application/pdf). Geen EN 397 (industriehelm) certificering aangetroffen; alleen opnemen als Jos EN 12492 voldoende acht voor het beoogde gebruik."
,Portwest,2 Point Comfort Plus Harness,ppe,harnesses,"Nylon webbing; gehard staal (alloy steel, heat treated)",EN 358:2018; EN 361:2002,FP15,,,,,,,,,,https://documents.portwest.com/datasheet.php?style=FP15&lang=US&itemcol=FP15RER,https://www.portwest.com/products/view/FP15/,,,,,"Volledig lichaamsharnas met ademende rugpad, verlengde D-ring schouderopstelling en twee zij-D-ringen. Notified body: INSPEC International B.V. (NB 2849). manual_url is Portwest's technische datasheet (documents.portwest.com), geen apart 'instructions for use'-document gevonden op portwest.com zelf -- curl-geverifieerd: 200 application/pdf. Max. gebruikersgewicht en breaking strength niet vermeld op datasheet."
,Portwest,2 Point Plus Harness,ppe,harnesses,"Nylon webbing; gehard staal (alloy steel, heat treated)",EN 361:2002,FP10,,,,,,,,,,https://documents.portwest.com/datasheet.php?style=FP10&lang=US&itemcol=FP10RER,https://www.portwest.com/products/view/FP10/RER,,,,,"Ergonomisch lichtgewicht basisharnas met glijdende dorsale D-ring, twee borst-D-ringen en flat-bar gespen. Notified body: INSPEC International B.V. (NB 2849), certificaatnr. PPE19161792. manual_url = technische datasheet, curl-geverifieerd (200 application/pdf). Max. gebruikersgewicht niet vermeld op datasheet."
,Portwest,Ultra 3 Point Harness,ppe,harnesses,"Nylon webbing; gehard staal (alloy steel, heat treated)",EN 361:2002; EN 358:2018,FP73,,10,,,140,,,,,https://documents.portwest.com/datasheet.php?style=FP73&lang=US&itemcol=FP73K1R,https://www.portwest.com/products/view/FP73/K1R,,,,,"Volledig lichaamsharnas met dorsale + voorste + zij-D-ringen, quick-release gespen, valindicatoren. Max. rated load 140 kg. 10 jaar houdbaarheid vanaf productiedatum (fabrikantsopgave op productlabel) -> max_age_mfr_years=10. Notified body: CCQS Certification Services Ltd (NB 2834). manual_url curl-geverifieerd (200 application/pdf)."
,Portwest,Double 140kg Lanyard with Shock Absorber,ppe,positioning_lanyards,"Polyester webbing; gehard staal (alloy steel, heat treated); zink",EN 354:2010; EN 355:2002; EN 362:2004,FP75,,10,,,140,,,,,https://documents.portwest.com/datasheet.php?style=FP75&lang=US&itemcol=FP75spa,https://www.portwest.com/products/view/FP75/K1R,,,,,"Dubbele leeflijn met schokdemper, scaffold hook + snap hook, 180 cm lang inclusief connectoren, getest tot 140 kg. 10 jaar houdbaarheid vanaf productiedatum vermeld. manual_url curl-geverifieerd (200 application/pdf). Breaking strength niet apart vermeld op datasheet."
,Portwest,Double Elasticated Lanyard With Shock Absorber,ppe,positioning_lanyards,"Polyester webbing (elastisch); gehard staal (alloy steel, heat treated); aluminium; PVC",EN 354:2010; EN 355:2002; EN 362:2004,FP52,,,,,100,,,,,https://documents.portwest.com/datasheet.php?style=FP52&lang=US&itemcol=FP52spa,https://www.portwest.com/products/view/FP52/YER,,,,,"Dubbele elastische leeflijn met schokdemper, twee scaffold hooks + karabiner, 180 cm lang inclusief connectoren. Max. rated load 100 kg. manual_url curl-geverifieerd (200 application/pdf). Geen 10-jaar-houdbaarheidsvermelding aangetroffen op deze datasheet (i.t.t. FP73/FP22)."
,Portwest,Adjustable 2m Restraint Lanyard,ppe,positioning_lanyards,"Polyester touw; gehard staal (alloy steel, heat treated); aluminium",EN 354:2010; EN 358:2018,FP22,,10,,,100,,,,,https://documents.portwest.com/datasheet.php?style=FP22&lang=GB&itemcol=FP22BKR,https://www.portwest.com/products/view/FP22/No%20Colour,,,,,"Verstelbare touw-leeflijn voor werkrestrictie, 200 cm lang inclusief connectoren, lussen beschermd met slijtvaste kokers. Max. rated load 100 kg; 10 jaar houdbaarheid vanaf productiedatum vermeld. manual_url curl-geverifieerd (200 application/pdf)."
,Portwest,Helmet Lanyard,no_ppe,tool_lanyard,,,FP49,,,,,,,,,,https://documents.portwest.com/datasheet.php?style=FP49&lang=US&itemcol=FP49GNR,https://www.portwest.com/products/view/FP49/GNR,,,,,"Bevestigingslijn tussen helm en harnas om vallen/verlies van de helm te voorkomen (objectretentie, geen persoonlijke valbeveiliging) -- daarom product_type=no_ppe. Geen exacte CSV-categorie voor 'helm-lijn' beschikbaar; ondergebracht bij tool_lanyard als dichtstbijzijnde match. Materiaal/EN-norm niet vermeld op de gevonden datasheet (bevat alleen logistieke gegevens). manual_url curl-geverifieerd (200 application/pdf, maar bevat weinig technische inhoud)."
,Ridgegear,Front & Rear D Harness,ppe,harnesses,45 mm polyester (waterafstotend); hoogwaardige stalen legering (fittingen),EN 361:2002,RGH2,,,,,140,,,,,https://ridgegear.com/wp-content/uploads/Safety-Harness-Instructions-All-Languages.pdf,https://ridgegear.com/product/front-rear-d-harness/,,,,,"Basis 2-punts valbeveiligingsharnas met voorste en achterste D-ring, valindicatoren (rode stiksels). Gewicht 1,1 kg; max. gebruikersgewicht 140 kg (bij max. kracht op gebruiker/anker < 6 kN). LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
,Ridgegear,Rescue Harness,ppe,harnesses,45 mm RIDGE Protect polyester (antibacterieel); hoogwaardige stalen legering (fittingen),EN 361:2002; EN 358:1999; EN 813:1997; EN 1497:2007,RGH5,,,,,140,,,,,https://ridgegear.com/wp-content/uploads/Safety-Harness-Instructions-All-Languages.pdf,https://ridgegear.com/product/rescue-harness/,,,,,"3-punts reddingsharnas met reddingsband (rescue strap) voor bevestiging in besloten ruimtes, ook bruikbaar voor restraint/fall arrest. Gewicht 1,2 kg; max. gebruikersgewicht 140 kg. Combinatie van EN-normen (incl. oudere EN358:1999/EN813:1997 naast EN1497 reddingsnorm) zoals vermeld door resellers -- exacte huidige normvermelding kon niet rechtstreeks op ridgegear.com worden gecontroleerd. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
,Ridgegear,Premium Rope Access 5pt Harness,ppe,harnesses,45 mm RIDGE Protect anti-bacterieel polyester; hoogwaardige stalen legering + lichtgewicht aluminium D-ringen,EN 361:2002; EN 358:2018; EN 1497:2007; EN 12277:2015; EN 813:2008,RGH17,,,,,140,,,,,https://ridgegear.com/wp-content/uploads/RGH17-Harness-User-Instructions-All-Languages.pdf,https://ridgegear.com/product/rgh17-premium-rope-access-5pt-harness/,,,,,"Volwaardig 5-punts rope-access-harnas (front/side/rear/ventraal), 6 gereedschapslussen, verwijderbare borststijgklem. Gewicht 2,8 kg; max. gebruikersgewicht 140 kg voor het harnas zelf, MAAR de verwijderbare borststijgklem heeft een max. gebruikersgewicht van 120 kg -- vermeld in notes i.p.v. apart veld. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
,Ridgegear,17mm Steel Screwgate Karabiner,ppe,connectors,"Staal, verzinkt",EN 362:2004,RGK1,,,23 kN (minimum),,,,,,,https://ridgegear.com/wp-content/uploads/RGK1-17mm-Steel-Double-Action-Screwgate-Karabiner-DS.pdf,https://ridgegear.com/product/17mm-steel-screwgate-karabiner/,,,,,"Sluiting: screwgate (dubbele handeling/'double action' screwgate, expliciet zo genoemd door fabrikant-datasheet-titel). Gewicht 160 g, opening 17 mm, afmeting 107x58 mm. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
,Ridgegear,Twistlock Karabiner with Captive Pin,ppe,connectors,Staal,EN 362:2004,RGK2P,,,"ca. 25-27 kN (minimum) -- bronnen wijken licht af, niet met zekerheid vastgesteld welke waarde correct is",,,,,,,,https://ridgegear.com/products/connectors/,,,,,"Sluiting: twistlock 2-weg (double-action twistlock met borgpin/captive pin zodat de connector op zijn plek blijft t.o.v. de leeflijn). Gewicht 87 g, opening 10-17 mm (bronnen wijken af). Geen specifiek datasheet-PDF-bestand met zekerheid teruggevonden -> manual_url leeg gelaten (handleiding niet gevonden/niet te bevestigen). Exacte productpagina-URL niet vastgesteld (site niet doorzoekbaar), daarom categorie-overzichtspagina als product_page_url gebruikt. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
,Ridgegear,Double Action Twistlock Karabiner 22mm,ppe,connectors,Staal,"EN 362:2004 (aangenomen o.b.v. productlijn, niet direct bevestigd voor dit model)",RGK3,,,50 kN (minimum),,,,,,,,https://ridgegear.com/products/connectors/,,,,,"Sluiting: twistlock 2-weg ('double action steel twistlock'), opening 22 mm. Geen specifiek datasheet-PDF-bestand teruggevonden via zoekopdracht -> manual_url leeg gelaten. Exacte productpagina-URL niet vastgesteld (site niet doorzoekbaar), categorie-overzichtspagina gebruikt. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
,Ridgegear,56mm Twistlock Scaffold Karabiner,ppe,connectors,Staal,"EN 362:2004 (aangenomen o.b.v. productlijn, niet direct bevestigd voor dit model)",RGK5,,,"ca. 30 kN (minimum) -- via reseller-bron, niet rechtstreeks bij fabrikant bevestigd",,,,,,,,https://ridgegear.com/products/connectors/,,,,,"Grote steiger-karabiner, opening 56 mm, sluiting twistlock 2-weg, voor directe koppeling aan stalen constructies/steigers zonder sling. Geen specifiek datasheet-PDF-bestand teruggevonden -> manual_url leeg gelaten. Exacte productpagina-URL niet vastgesteld, categorie-overzichtspagina gebruikt. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app."
