id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Texora,TX/L-Compact ankerlus,ppe,anchor_strop,Kern van hoogsterke garens met beschermende buitenmantel,EN 354:2010 / EN 795-B:2012 / TS 16415:2013,TX/L-COMPACT,,,>100 kN,,,,,,,https://www.texora.eu/uploads/files/COMPACT%20User%20instructions.pdf,https://www.texora.eu/en/products/height-safety-equipment/texora-tx-l-compact-tx-l-wire,,,,,"manual_url geverifieerd met curl: 200 application/pdf. Dubbel gecertificeerd als lanyard (EN354) EN als verankeringsmiddel (EN795 type B, tot 4 personen bij TS16415); leverbaar in lengtes 0,5-2,0m, code hier voor de 1,0m-variant als voorbeeld - lengte bij bestelling kiezen. Working load limit en max. gebruikersgewicht niet vermeld op fabrikantpagina."
,Texora,TX/L-Wire ankerlus met staalkern,ppe,anchor_strop,Gewonden staalkabelkern met beschermende buitenmantel en inspectievenster,EN 795-B:2012,TX/L-WIRE,,,>50 kN,,,,,,,https://www.texora.eu/uploads/files/TEXORA%20TX-L1%20-%20WIRE%20-%20Instructions.pdf,https://www.texora.eu/en/products/height-safety-equipment/texora-tx-l-compact-tx-l-wire,,,,,"manual_url geverifieerd met curl: 200 application/pdf. Leverbaar in lengtes 0,5-2,0m. Working load limit en max. gebruikersgewicht niet vermeld op fabrikantpagina."
,Texora,BOA edge wrap randbescherming,no_ppe,cambium_saver,2 lagen UHMWPE-band met fijngeweven getwiste garens,,BOA Edge Wrap,,,,,,,,,,,https://texora.eu/en/products/height-safety-equipment/boa-edge-wrap,,,,,"Handleiding niet gevonden op fabrikantwebsite (geen downloadsectie/PDF aangetroffen op de productpagina). Uitdrukkelijk geen EN-certificering/PPE-status vermeld - randbeschermer voor ankermateriaal, geen zelfstandig PBM. Breedtes 120/240mm, lengte 1,0m (op aanvraag anders), dikte 3mm. Sterktewaarde niet vermeld."
,Treehog,THRP1 riggingplaat 4-gaats,rigging,anchor_hardware,Aluminium (geanodiseerd),EN 354:2010 (zoals vermeld door fabrikant),THRP1,,,36 kN,,,,,,,,https://treehog.co.uk/products/rigging-plate-90mm,,,,,"Handleiding niet gevonden; alleen een EU-conformiteitsverklaring (Declaration of Conformity) beschikbaar op https://cdn.shopify.com/s/files/1/0203/8045/0916/files/THRP1_EN_DoC_1.pdf (curl geverifieerd: 200 application/pdf) - dit is GEEN instructies-voor-gebruik-document, dus manual_url leeg gelaten. Vermelde norm EN354:2010 is ongebruikelijk voor een riggingplaat (dat is een lanyard-norm, geen ankerplaat-norm zoals EN795) - letterlijk overgenomen van fabrikantpagina, niet zelf geverifieerd/bevestigd. 90x84mm, 62g, 4 gaten."
,Treehog,THRP2 riggingplaat 8-gaats,rigging,anchor_hardware,Aluminium (geanodiseerd),EN 354:2010 (zoals vermeld door fabrikant),THRP2,,,50 kN,,,,,,,,https://treehog.co.uk/products/rigging-plate-100mm,,,,,"Handleiding niet gevonden; alleen Declaration of Conformity op https://cdn.shopify.com/s/files/1/0203/8045/0916/files/THRP2_EN_DoC.pdf (curl geverifieerd: 200 application/pdf), geen instructies-voor-gebruik dus manual_url leeg. Zelfde kanttekening bij vermelde norm EN354:2010 als bij THRP1. 100x159mm, 8 gaten."
,Treehog,THRR low-friction riggingring,rigging,anchor_hardware,CNC-aluminium met slijtvaste coating,,THRR1-4 (4 maten),,,,,,,,,,,https://treehog.co.uk/products/low-friction-rigging-ring,,,,,"Handleiding niet gevonden op fabrikantwebsite en geen aparte Declaration of Conformity aangetroffen voor dit artikel. Werklastgrens/breukkracht niet vermeld door fabrikant. 4 maten (THRR1 t/m THRR4), buitendiameter 40-70mm."
,Treehog,THLD5 riggingbolder (lowering bollard),rigging,bollard,Roestvast staal,,THLD5,,,125 kN,25 kN,,,25,,,,https://treehog.co.uk/products/heavy-duty-lowering-device,,,,,Handleiding niet gevonden op fabrikantwebsite; alleen productpagina met specificaties. Max. touwdiameter 25mm (minimum niet vermeld). Geleverd met 2 sjorbanden en PVC-draagtas. Niet-PPE riggingapparaat voor gecontroleerd neerlaten/vellen.
,Treehog,THK101 stalen karabiner,ppe,connectors,Staal,EN 362 Klasse B,THK101,,,50 kN,,,,,,,,https://treehog.co.uk/products/steel-karabiner,,,,,"Handleiding niet gevonden; alleen Declaration of Conformity op https://cdn.shopify.com/s/files/1/0203/8045/0916/files/THK101_EN_DoC_v02.pdf (curl geverifieerd: 200 application/pdf), geen instructies-voor-gebruik dus manual_url leeg. Sluiting: fabrikant noemt 'triple action' driedelige vergrendeling - vermoedelijk een supersafe 3-weg vergrendeling maar dit is niet expliciet zo benoemd door de fabrikant, dus met enige onzekerheid vermeld. D-vorm, 108x79mm, 267g, individueel serienummer."
,Tightline,Magpie boomklimharnas,ppe,climbing_harness,Niet vermeld door fabrikant (geen exacte materiaalopgave gevonden),EN 813:2008 / EN 358:2018,TLA Magpie,10,10,,,,,,,,https://www.tightlinearb.co.uk/_downloads/df7253a40b5e94c12e8453c06c392f73,https://www.tightlinearb.co.uk/harnesses-spares,,,,,"manual_url geverifieerd met curl: 200 application/pdf (PDF getiteld 'TLA Magpie Harness', bevat instructies). Merk 'Tightline' = Tightline Arb UK Ltd (tightlinearb.co.uk); 'Magpie' is GEEN apart merk maar de modelnaam van dit specifieke harnas binnen het Tightline Arb-assortiment (net als 'Wren' de naam is van een karabijnmodel) - vandaar hier ondergebracht bij merk Tightline. CE0082 Apave gecertificeerd. Wisselbare touwbrug met 45mm O-ring, bevestigd via 23kN splitring. Materiaallevensduur 10 jaar vanaf fabricage, gebruikslevensduur 5 jaar vanaf aankoop (beide velden hier als 10 jaar ingevuld o.b.v. fabricagedatum; controleer of een apart 5-jaar-vanaf-aankoop-veld nodig is). Max. gebruikersgewicht niet vermeld."
,Tightline,Kingfisher TLAO25 ovale 3-weg autolock-karabiner,ppe,connectors,Geanodiseerd 7075 luchtvaartaluminium,EN 362:2004 Klasse B / EN 12275:2013,TLAO25,,,25 kN (hoofdas),,,,,,,https://www.tightlinearb.co.uk/_downloads/ab1c1d4da4d9ac7613563a243858f11b,https://www.tightlinearb.co.uk/product/17434179/tlao25-kingfisher-oval-25kn-3-way-auto-lock-carabiner,,,,,"manual_url geverifieerd met curl: 200 application/pdf (instructiehandleiding specifiek voor TLAO25, vermeldt fabrikant Tightline Arb UK Ltd, Newton Abbot, Devon). Sluiting: 'TriAct' driedelige automatische vergrendeling (3-motion auto-lock) - hier aangeduid als supersafe 3-weg vergrendeling; fabrikant gebruikt zelf de merknaam 'TriAct', niet de generieke term, dus enige onzekerheid over exacte mapping. 84g, polyformaldehyde gevoerde draaihuls."
