id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,heightec,Rope Access Harness,ppe,harnesses,"Polyamide, staal en aluminium","EN 358, EN 361, EN 813",H22Q,,,,,140,,,,,https://www.heightec.com/product/extol-rope-access-harness/?download_file=298278,https://www.heightec.com/product/extol-rope-access-harness/,,,,,"Bekend als 'EXTOL' bij heightec (marketingnaam, geen sluiting-lettercode - vermeld hier ter herkenning). Gewicht 2,25 kg. Belasting omschreven als 'Fall Arrest & Rescue Loads' (geen los kN-getal op productpagina, daarom breaking_strength leeg). manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Integrated Rope Access Harness with Chest Ascender,ppe,harnesses,"Polyamide, staal en aluminium","EN 358:2018, EN 361:2002, EN 813:2008",H22QI,,,,,140,,,,,https://www.heightec.com/product/extol-integrated-rope-access-harness/?download_file=298278,https://www.heightec.com/product/extol-integrated-rope-access-harness/,,,,,"Marketingnaam 'EXTOL Integrated'. Combinatie van rope-access-harnas met ingenaaide borstopstijgklem (Sync). Ascender-deel apart getest: 100kg, EN 567 + EN 12841(B) - niet los in te vullen omdat het één ingenaaid geheel is, daarom max_user_weight_kg=140 (harnas-waarde) aangehouden. Deelt dezelfde gebruikershandleiding als de niet-geïntegreerde versie. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Sit Harness,ppe,harnesses,"Polyamide, staal, aluminium","EN 358, EN 813",H02Q,,,,,140,,,,,https://www.heightec.com/product/eclipse-sit-harness/?download_file=2415869,https://www.heightec.com/product/eclipse-sit-harness/,,,,,"Marketingnaam 'ECLIPSE'. Basis zitgordel voor rope access/positionering (geen EN 361, dus geen valbeveiligingsbevestiging voor volledige lichaamsval). manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Rigging Harness,ppe,harnesses,"Polyamide, staal en aluminium","EN358, EN361, EN813",H21Q*,,,,,140,,,,,https://www.heightec.com/product/matrix-rigging-harness-qc/?download_file=2942256,https://www.heightec.com/product/matrix-rigging-harness-qc/,,,,,"Marketingnaam 'MATRIX'. Belasting omschreven als 'Fall Arrest & Rescue Loads'. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Riggers Harness,ppe,harnesses,"Polyamide, staal en aluminium","EN 358, EN 361",H28Q*,,,,,140,,,,,https://www.heightec.com/product/neon-riggers-harness-qc/?download_file=286327,https://www.heightec.com/product/neon-riggers-harness-qc/,,,,,"Marketingnaam 'NEON'. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,2-Point Fall Arrest Harness,ppe,harnesses,"Polyamide, staal",EN 361,H32,,,,,140,,,,,https://www.heightec.com/product/nexus-2-point-fall-arrest-harness/?download_file=2920,https://www.heightec.com/product/nexus-2-point-fall-arrest-harness/,,,,,"Marketingnaam 'NEXUS'. Algemeen valbeveiligingsharnas (2-punts), minder specifiek rope-access dan de andere heightec-harnassen maar wel courant bij boomverzorging/rigging voor het vastzetten van gereedschap/verankering. Downloadlabel op productpagina heette 'H32-Nexus-Harness-290224' zonder expliciet 'user instructions' in de bestandsnaam - dit was het enige niet-datasheet/niet-DoC-document op de pagina, dus met hoge zekerheid de gebruikershandleiding, maar niet 100% bevestigd via de inhoud (PDF heeft geen doorzoekbare tekstlaag). manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Climbers Harness,ppe,climbing_harness,"Polyamide, roestvast staal & aluminium","EN 361, EN 358",H36Q**,,,,,140,,,,,https://www.heightec.com/product/helix-climbers-harness/?download_file=2563127,https://www.heightec.com/product/helix-climbers-harness/,,,,,"Marketingnaam 'HELIX'. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Chest Harness,ppe,harness_accessories,"Polyamide, staal, aluminium",EN361 (uitsluitend wanneer bevestigd aan ECLIPSE quick-connect zitgordel),H52,,,,,140,,,,,https://www.heightec.com/product/corona-chest-harness/?download_file=2415870,https://www.heightec.com/product/corona-chest-harness/,,,,,"Marketingnaam 'CORONA'. Losse borstgordel, alleen EN361-gecertificeerd in combinatie met een ECLIPSE-zitgordel met quick-connect - los draagbaar biedt dit geen valbeveiliging. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,Integrated Chest Harness with Sync Ascender,ppe,harness_accessories,"Polyamide, staal, aluminium",EN361 (uitsluitend wanneer bevestigd aan ECLIPSE quick-connect zitgordel),H52I,,,,,140,,,,,https://www.heightec.com/product/corona-integrated-chest-harness/?download_file=2415870,https://www.heightec.com/product/corona-integrated-chest-harness/,,,,,"Marketingnaam 'CORONA integrated' met ingenaaide 'Sync' borstopstijgklem. Specificaties van het opstijgklem-deel (Sync) stonden niet los vermeld op deze productpagina (alleen kwalitatief beschreven) - niet gegokt, dus rope_diameter/working_load_limit voor het ascender-deel leeg gelaten. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
,heightec,4-Step Etrier Footloop,no_ppe,harness_accessories,,,MMFL4,,,,,,,,,,https://www.heightec.com/product/footloops-4-step-etrier/?download_file=2756599,https://www.heightec.com/product/footloops-4-step-etrier/,,,,,"Geen materiaal of EN-norm vermeld op productpagina (niet aangenomen, dus leeg). Als niet-PPE-klimhulp behandeld bij gebrek aan certificering; controleer zelf of dit klopt met hoe de app niet-PPE-hulpmiddelen classificeert. manual_url geverifieerd met curl: HTTP 200. Server geeft content-type application/octet-stream terug (heightec's Download-Monitor-plugin doet dit sitebreed voor alle downloads, nooit application/pdf) - Content-Disposition-header bevestigt bestandsnaam eindigend op .pdf en de gedownloade bytes zijn met `file` geverifieerd als echt PDF-document. Werkende link, alleen wijkt de content-type-check af van de standaardregel (dit geldt voor alle heightec-links in dit bestand). max_age_use_years/max_age_mfr_years leeg: niet vermeld op productpagina; de handleiding-PDF's zijn beeld/vector-based zonder tekstlaag, dus niet automatisch doorzoekbaar - handmatig naleeswerk nodig. serial_number_location leeg: niet vermeld op productpagina."
