id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,EDELRID,MATCH SLING 45MM,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54526_GAL_Verbindungsmittel_ANSICHT_NEU.pdf,,,,,,"Handleiding gevonden via edelrid.com's eigen documentenzoeksysteem (edelrid.com/search/support?brand=edelrid&search=MATCH+SLING+45MM), die dit artikel zelf koppelt aan 'WS User Manual Connecting Elements'. Gedeeld document voor de hele EDELRID-verbindingsmiddelenreeks (o.a. ook Tibor 10mm Loop, zie die rij). Geverifieerd met curl -I: content-type: application/pdf, content-length 1.37MB."
,EDELRID,MAXIOM RIG SLIDER,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden. MAXIOM RIG SLIDER is een nieuw product (EDELRID-lancering 2026, artikelnr. 85228). EDELRID's eigen documentenzoeksysteem (edelrid.com/search/support, gezocht op '85228'/'Maxiom Rig Slider') koppelt aan dit artikel alleen: EU-conformiteitsverklaring, EN 362, EN 12275 en een keuringsinstructie voor karabijnhaken (Pruefanweisung_Karabiner.pdf) - geen instructions-for-use/GAL-document. Het generieke 'WS User Manual Carabiners' (54530_GAL_KARABINER_ANSICHT_1.pdf, zie Oval Power 2500 Triple RFID) is gecontroleerd op tekstinhoud (282.850 tekens): artikelnummers 85227/85228 komen daar niet in voor, dus dat document dekt dit product niet. Productpagina https://edelrid.com/int-en/professional/connectors-shop/maxiom-rig-slider toont dezelfde beperkte downloadlijst. Advies: navragen bij EDELRID of/wanneer de gebruiksaanwijzing nog verschijnt (product lijkt te nieuw voor gepubliceerde IFU)."
,EDELRID,MAXIOM RIG TRIPLE,,,,,,,,,,,,,,,,,,,,,"Zelfde situatie als MAXIOM RIG SLIDER (nieuw 2026-product, artikelnr. 85227): EDELRID's documentenzoeksysteem koppelt alleen EU-conformiteit, EN 362, EN 12278 en de algemene keuringsinstructie karabijnhaken - geen gebruiksaanwijzing. Generieke karabijnhandleiding (54530_GAL_KARABINER_ANSICHT_1.pdf) bevat artikelnr. 85227 niet (tekst gecontroleerd). Geen handleiding gevonden; navragen bij EDELRID."
,EDELRID,OVAL POWER 2500 TRIPLE RFID,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54530_GAL_KARABINER_ANSICHT_1.pdf,,,,,,"'WS User Manual Carabiners', door EDELRID zelf gekoppeld aan dit artikel (RFID-variant, art. 88284, via edelrid.com/search/support). Dit is het gedeelde gebruiksaanwijzing-document voor de hele EDELRID-karabijnreeks (bevat een grote tabel met alle gedekte artikelnummers, 88284 komt daarin voor). Geverifieerd met curl -I: content-type application/pdf, content-length 5.10MB."
,EDELRID,SAFE DESCENT 10.5mm,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54608_GAL_SAFEDESCENT_ANSICHT.pdf,,,,,,"'User manual Safe Descent' (niet de PRO-variant - die heeft een eigen document, 54619_GAL_SAFEDESCENT_PRO_ANSICHT.pdf). Gekoppeld door EDELRID zelf op de productpagina https://edelrid.com/int-en/professional/descenders-shop/safe-descent-10-5mm. Geverifieerd met curl -I: content-type application/pdf, content-length 372.8KB."
,EDELRID,SALATHE,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54514_GAL_Helmets_ANSICHT_DINA4_Homepage.pdf,,,,,,"Generieke 'User manual Helmets Sport', door EDELRID gekoppeld aan alle EDELRID-sporthelmen (Salathe, Salathe Lite/Pro, Shield-serie, Zodiac-serie delen dit ene document - zie ook Shield, Zodiac en Zodiac 3R hieronder). Geverifieerd met curl -I: content-type application/pdf, content-length 1.64MB."
,EDELRID,SHIELD,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54514_GAL_Helmets_ANSICHT_DINA4_Homepage.pdf,,,,,,Zelfde gedeelde 'User manual Helmets Sport' als Salathe/Zodiac (zie notitie daar) - EDELRID koppelt dit document aan alle sporthelmen incl. Shield en Shield Lite. Geverifieerd content-type application/pdf.
,EDELRID,TIBOR 10MM LOOP,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54526_GAL_Verbindungsmittel_ANSICHT_NEU.pdf,,,,,,Zelfde 'WS User Manual Connecting Elements' als Match Sling 45mm (zie die rij) - EDELRID koppelt dit gedeelde document aan zijn hele verbindingsmiddelen/lus-assortiment. Geverifieerd content-type application/pdf.
,EDELRID,ZODIAC,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54514_GAL_Helmets_ANSICHT_DINA4_Homepage.pdf,,,,,,"Zelfde gedeelde 'User manual Helmets Sport' als Salathe/Shield (zie notitie bij Salathe). EDELRID heeft twee losse producten 'Zodiac' en 'Zodiac I' in zijn systeem, beide met dit document. Geverifieerd content-type application/pdf."
,EDELRID,ZODIAC 3R,,,,,,,,,,,,,,,https://avs.edelrid.com/images/attribut/54514_GAL_Helmets_ANSICHT_DINA4_Homepage.pdf,,,,,,Zelfde gedeelde 'User manual Helmets Sport' als Salathe/Shield/Zodiac. Geverifieerd content-type application/pdf.
,Courant,Mova,,,,,,,,,,,,,,,,,,,,,"Merk geverifieerd: de officiele fabrikant is Courant (sinds 1825, Angers, Frankrijk), gepubliceerd onder www.mycourant.com / vertical-living.mycourant.com / fire-rescue.mycourant.com (courant.fr is een ander bedrijf - Franse fabrikant van elektrabuizen, niet dit Courant). Kon de handleiding NIET zelf verifieren: de volledige mycourant.com-domeingroep (www., vertical-living., fire-rescue., calad-motoculture.) gaf op 2026-09-15 herhaaldelijk (meerdere pogingen over >10 minuten, ook met een andere HTTP-client) HTTP 503 'upstream connect error / remote connection failure' terug - een kennelijke storing bij de fabrikant zelf, niet een blokkade aan onze kant (TLS-handshake lukte wel, de backend gaf geen antwoord). manual_url dus leeg gelaten in plaats van ongeverifieerd in te vullen. Kandidaat-productpagina (niet opgehaald): https://www.mycourant.com/fr/poulies/petite-poulie-mobile-mova ('Petite poulie mobile Mova', lichte mobiele katrol voor katrol/prusik-opstelling). Opnieuw proberen zodra mycourant.com weer bereikbaar is."
,Courant,Odin,,,,,,,,,,,,,,,,,,,,,"Merk geverifieerd: de officiele fabrikant is Courant (sinds 1825, Angers, Frankrijk), gepubliceerd onder www.mycourant.com / vertical-living.mycourant.com / fire-rescue.mycourant.com (courant.fr is een ander bedrijf - Franse fabrikant van elektrabuizen, niet dit Courant). Kon de handleiding NIET zelf verifieren: de volledige mycourant.com-domeingroep (www., vertical-living., fire-rescue., calad-motoculture.) gaf op 2026-09-15 herhaaldelijk (meerdere pogingen over >10 minuten, ook met een andere HTTP-client) HTTP 503 'upstream connect error / remote connection failure' terug - een kennelijke storing bij de fabrikant zelf, niet een blokkade aan onze kant (TLS-handshake lukte wel, de backend gaf geen antwoord). manual_url dus leeg gelaten in plaats van ongeverifieerd in te vullen. Kandidaat-bestand (uit een wederverkoperspagina, NIET zelf geverifieerd, NIET als manual_url gebruikt): https://calad-motoculture.mycourant.com/media/13731/1/0/1/COURANT-NOTICE-ODIN.pdf - ook deze host gaf 503. Odin is een 'opening ring' (asymmetrische ring die lateraal opent, RVS)."
,Courant,Orbit 22,,,,,,,,,,,,,,,,,,,,,"Merk geverifieerd: de officiele fabrikant is Courant (sinds 1825, Angers, Frankrijk), gepubliceerd onder www.mycourant.com / vertical-living.mycourant.com / fire-rescue.mycourant.com (courant.fr is een ander bedrijf - Franse fabrikant van elektrabuizen, niet dit Courant). Kon de handleiding NIET zelf verifieren: de volledige mycourant.com-domeingroep (www., vertical-living., fire-rescue., calad-motoculture.) gaf op 2026-09-15 herhaaldelijk (meerdere pogingen over >10 minuten, ook met een andere HTTP-client) HTTP 503 'upstream connect error / remote connection failure' terug - een kennelijke storing bij de fabrikant zelf, niet een blokkade aan onze kant (TLS-handshake lukte wel, de backend gaf geen antwoord). manual_url dus leeg gelaten in plaats van ongeverifieerd in te vullen. Kandidaat-productpagina: https://vertical-living.mycourant.com/fr/materiel-travaux-en-hauteur/metalliques/petite-poulie-fixe-orbit-22 ('Petite poulie fixe Orbit 22')."
