id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Skylotec,CHEESE PLATE L,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4322419?public=true&download=true&website=true,,,,,,"Officiele Skylotec-handleiding (productpagina CHEESE-PLATE-L/H-261, sectie 'User manuals'); gedownload en geverifieerd als geldig PDF (2 pagina's)."
,Skylotec,CLAW,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4200716?public=true&download=true&website=true,,,,,,"Officiele Skylotec-handleiding (nam_en/CLAW/CL-001, sectie 'User manuals'); gedownload en geverifieerd als geldig PDF."
,Skylotec,DOUBLE ROLL 2L,,,,,,,,,,,,,,,,,,,,,"Geen handleiding vindbaar en niet meer terug te vinden op skylotec.com (door Jos gecontroleerd) — mogelijk uitgefaseerd. Opnieuw gecontroleerd 2026-09-15: productpagina (H-068) geeft 404 op zowel eu_en als nam_en (meerdere URL-varianten geprobeerd); staat niet meer op de huidige pulleys-categoriepagina van skylotec.com."
,Skylotec,EASY ACCESS,,,,,,,,,,,,,,,https://www.climbingtechnology.com/wp-content/uploads/2019/03/IST22-EASAECTS1-S2_rev-0_12-21.pdf,,,,,,"Skylotec H-266 is OEM van Climbing Technology (ref. 2F720, zelfde als CT 'EASY ACCESS'); op skylotec.com zelf staat bij dit product geen los instructie-PDF (alleen datasheet). Handleiding van climbingtechnology.com (de feitelijke fabrikant); geverifieerd: content-type application/pdf, tekst noemt EASY ACCESS/2F720/EN 12841-A."
,Skylotec,EASY SPEED,,,,,,,,,,,,,,,https://www.climbingtechnology.com/wp-content/uploads/2020/09/IST22-EASPECTS1-S2_rev-0_12-21.pdf,,,,,,"Skylotec H-265 is OEM van Climbing Technology (ref. 2F714 — zelfde model als de CT-terugroepactie mei 2021, batchcontrole nodig bij het fysieke exemplaar). Handleiding van climbingtechnology.com; geverifieerd: application/pdf, tekst noemt EASY SPEED/2F714, touw Ø10,5-11mm komt overeen met catalogus."
,Skylotec,FLEX I,,,,,,,,,,,,,,,,,,,,,"Geen exacte match gevonden. 'FLEX I' als losstaand model (EN 358, 9,6mm touw) komt niet meer voor op skylotec.com/eu_en/products/lanyards/work-positioning-ropes/ — huidige assortiment toont TUNER PRO(-serie), NANOLINK FLEX I/Y (energieabsorbers, ander EN-nummer: 354/355) en SKYSAFE PRO FLEX. Vermoedelijk uitgefaseerd of hernoemd; graag met Jos afstemmen welk huidig model dit moet voorstellen voor er een link wordt gekozen."
,Skylotec,FLEX Y,,,,,,,,,,,,,,,,,,,,,Zelfde situatie als FLEX I: geen losstaand 'FLEX Y'-model (EN 358) meer vindbaar in de huidige work-positioning-ropes-catalogus van skylotec.com. Graag met Jos afstemmen.
,Skylotec,GET UP,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/3783238?public=true&download=true&website=true,,,,,,"Officiele Skylotec-handleiding (get-up-h-210.html, sectie 'User manuals'); gedownload en geverifieerd als geldig PDF (164 pagina's)."
,Skylotec,LOOP,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4036116?public=true&download=true&website=true,,,,,,"Officiele Skylotec sling-handleiding (loop-35-kn-l-0010-sw.html, sectie 'User manuals'); gedownload en geverifieerd als geldig PDF. Let op: huidige productnaam op de site is 'LOOP 35 KN', manufacturer_code L-0010 komt overeen met de catalogus."
,Skylotec,LOOP SEP,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4036116?public=true&download=true&website=true,,,,,,"Zelfde sling-familiehandleiding als LOOP: bevestigd op loop-sep-40-kn-2-0-l-0397.html, identiek bestands-ID in de Documents-sectie ('User manuals'). Gedeeld document voor de LOOP-familie."
,Skylotec,MILAN,,,,,,,,,,,,,,,,,,,,,"Every 5 years: Level 2 service by authorised Skylotec partner required (disassembly, brake/rope inspection, resealing). Handleiding: geen handleiding gevonden voor de klassieke MILAN (Ø5,9mm kabel, Steel/Aluminium zoals in de catalogus). Alleen MILAN 2.0 (A-027) is nog als productpagina vindbaar, maar die gebruikt een ander touw (Ø9mm) en is dus geen bevestigde vervanger. Vraag aan Jos of de catalogusrij bijgewerkt moet worden naar MILAN 2.0 of dat dit een uitgefaseerd model betreft."
,Skylotec,NANOLINK,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4299845?public=true&download=true&website=true,,,,,,"Manufacturer_code L-0960 heet op de huidige site 'NANOLINK FLEX Y' (niet losstaand 'NANOLINK'); handleiding gevonden via dat artikelnummer op skylotec.com/eu_en/NANOLINK-FLEX-Y/P-L-0960, sectie 'User manuals', geverifieerd als geldig PDF (combi General + Specific Manual, 262 pag.). Naamgeving wijkt af van de catalogus — graag laten controleren of dit het bedoelde product is."
,Skylotec,NANOLINK Y,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4299845?public=true&download=true&website=true,,,,,,"Manufacturer_code L-0964 = 'NANOLINK Y' op skylotec.com/eu_en/NANOLINK-Y/P-L-0964; zelfde combi-handleiding (identiek bestands-ID 4299845) als L-0960/NANOLINK, bevestigd in de Documents-sectie van beide productpagina's."
,Skylotec,QUICK TREE L,,,,,,,,,,,,,,,https://www.climbingtechnology.com/wp-content/uploads/2016/05/IST12-QUTRECTS_rev-0_12-21.pdf,,,,,,"Skylotec QUICK TREE L/R zijn OEM van Climbing Technology (ref. 2D658S = L, 2D658D = R); productpagina op skylotec.com (H-330) geeft 404, handleiding daarom van climbingtechnology.com. Geverifieerd: application/pdf, tekst noemt beide modelcodes expliciet (gedeeld document voor de familie incl. QT UNIVERSAL/QT SPURS)."
,Skylotec,QUICK TREE R,,,,,,,,,,,,,,,https://www.climbingtechnology.com/wp-content/uploads/2016/05/IST12-QUTRECTS_rev-0_12-21.pdf,,,,,,"Zie QUICK TREE L — gedeelde Climbing Technology-handleiding, modelcode 2D658D (QUICK TREE R) expliciet genoemd in de tekst. Skylotec-eigen productpagina (H-331) toonde geen los IFU-bestand."
,Skylotec,SCOUT,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4004142?public=true&download=true&website=true,,,,,,"Officiele Skylotec-handleiding (SCOUT/L-0828-5, sectie 'User manuals'); gedownload en geverifieerd als geldig PDF."
,Skylotec,SIRIUS,,,,,,,,,,,,,,,https://mediaservice.skylotec.com/v2/clients/2/sources/10/files/4339891?public=true&download=true&website=true,,,,,,"Gedeelde 'Sirius/Spark manual' op de SIRIUS-productpagina (sirius-a-050.html), sectie 'User manuals'; gedownload en geverifieerd als geldig PDF (229 pag., combi General + Specific Manual)."
