id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Sterling,"1/8"" (3mm) Wire Sling 48""",,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/1-8-3mm-wire-sling-48/ gecontroleerd: geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,8 mm Steel Delta Screwlink,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/8-mm-delta-screwlink-steel/ gecontroleerd: geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,Adjustable Retrievable Anchor - Green,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/adjustable-retrievable-anchor/ gecontroleerd (combinatie HTP Ring Sling + RIT Bound Loop Prusik): geen PDF-link aanwezig. Zelfde pagina/product als de rode variant. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,Adjustable Retrievable Anchor - Red,,,,,,,,,,,,,,,,,,,,,"Zelfde productpagina/familie als 'Adjustable Retrievable Anchor - Green' (sterlingrope.com/adjustable-retrievable-anchor/): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,ASD w/ Pin Carabiner - Autolock,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/asd-w-pin-carabiner/ gecontroleerd: geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,Aztek Omni Block Pulley - Black,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/aztek-omni-blocks/ gecontroleerd (alle kleurvarianten op dezelfde pagina/familie): geen PDF-link aanwezig. Een 'aztek-instructions.pdf' circuleert bij wederverkoper treestuff.com (Rock Exotica Omni-AZTEK) maar dat is een winkel-URL en dus uitgesloten. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,Aztek Omni Block Pulley - Orange/Blue,,,,,,,,,,,,,,,,,,,,,"Zelfde familie/pagina als 'Aztek Omni Block Pulley - Black' (sterlingrope.com/aztek-omni-blocks/): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,Aztek Omni Block Pulley - PIN,,,,,,,,,,,,,,,,,,,,,"Zelfde familie/pagina als 'Aztek Omni Block Pulley - Black' (sterlingrope.com/aztek-omni-blocks/): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,F4 Descent Device - Red - Descent Device (NFPA),,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/f4-device-descent-device/ gecontroleerd (alle F4-varianten op dezelfde pagina/familie): geen PDF-link aanwezig. Een 'Sterling_F4_careinstructions.pdf' circuleert bij wederverkoper allhandsfire.com maar dat is een winkel-URL en dus uitgesloten. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
,Sterling,"F4 Descent Device - Red - w/ 7"" Tech Ext Lanyard",,,,,,,,,,,,,,,,,,,,,"Zelfde familie/pagina als 'F4 Descent Device - Red - Descent Device (NFPA)' (sterlingrope.com/f4-device-descent-device/): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen."
