id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Haberkorn,treeAustria 3.2 Arborist Harness Size 1,,,,,,,,,,,,,,,,https://drayer.de/en/shop/climbing-harnesses/tree-climbing-harnesses/564/treeaustria-3.2-arborist-harness,,,,,"Geen manual_url gevonden die aan de projectregels voldoet. De officiele 'Gebrauchsanleitung und Pruefbuch / Instructions for use and test manual' bestaat wel (fabrikant: A. Haberkorn & Co. GmbH, A-4240 Freistadt, Oostenrijk; merk 'euroline'), maar is alleen gevonden als kopie op een wederverkoper (felder-emmen.ch/wp-content/uploads/2020/05/Haberkorn_treeaustria_3.2_manual.pdf, 200 OK / application/pdf geverifieerd) - dat is een winkel, dus NIET gebruikt als manual_url (regel: geen winkels als bron voor de link). haberkorn.com (shop.haberkorn.com) is een JS-only winkel-frontend; site-search en productpagina's leveren zonder JavaScript geen content/PDF-links op (geverifieerd met curl; headless Chromium op /opt/pw-browsers vertrouwt de proxy-CA niet (ERR_CERT_AUTHORITY_INVALID) en kon niet gefixt worden zonder certutil/libnss3-tools, apt-install daarvan faalde). treeaustria.com bestaat niet (proxy: connect_rejected/onbereikbaar). product_page_url is de Drayer-pagina (expliciete uitzondering in dit project: Drayer/Haberkorn) met alle 3 maten als varianten; die pagina heeft zelf geen downloadbare PDF. Bonus voor Jos: Drayer meldt een veiligheidswaarschuwing voor de treeAustria 3.2 - de twee bouten van de RVS-schakel regelmatig op vastzitten controleren (drayer.de/news/aktuelles/treeaustria-3.2-baumklettergurt) - niet in recall/inspection-kolommen gezet (buiten scope). Vraag aan Jos: kan hij Haberkorn rechtstreeks om de PDF-link vragen, of accepteren we (met expliciete 'LET OP - QUICK FIX') de felder-emmen.ch-kopie als tijdelijke oplossing?"
,Haberkorn,treeAustria 3.2 Arborist Harness Size 2,,,,,,,,,,,,,,,,https://drayer.de/en/shop/climbing-harnesses/tree-climbing-harnesses/564/treeaustria-3.2-arborist-harness,,,,,"Zelfde situatie als Size 1 - zie notes daar. Geen aparte per-maat handleiding gevonden of verwacht (1 document dekt vermoedelijk alle maten), maar zonder toegang tot de fabrikant-PDF kan dat niet bevestigd worden."
,Haberkorn,treeAustria 3.2 Arborist Harness Size 3,,,,,,,,,,,,,,,,https://drayer.de/en/shop/climbing-harnesses/tree-climbing-harnesses/564/treeaustria-3.2-arborist-harness,,,,,Zelfde situatie als Size 1 - zie notes daar.
,Harkie,Cambium Saver 0.9m,,,,,,,,,,,,,,,,https://harkieglobal.com/product/harkie-cambium-saver-0-9m/,,,,,"Incl. 1 kleine en 1 grote ring, serienummer aanwezig. Handleiding niet gevonden op productpagina. Opnieuw gecontroleerd 2026-09-16: productcode H2331 bevestigd; geen 'Documents'/'Downloads'-tab in de WooCommerce-tabs (alleen Description, Delivery & Returns, FAQs, Reviews). Harkie publiceert wel per-product 'User Instructions'-PDF's voor andere producten (bv. User-Instructions-H2411-HMS.pdf), maar geraden bestandsnamen met dit productcode gaven 404. Vraag aan Jos: Harkie rechtstreeks vragen of er een losse instructie-PDF voor de cambium saver bestaat?"
,Harkie,Cambium Saver 1.2m,,,,,,,,,,,,,,,,https://harkieglobal.com/product/harkie-cambium-saver-1-2m/,,,,,"Zie H2331 (0.9m) voor algemene toelichting. Opnieuw gecontroleerd 2026-09-16: productcode H2332 bevestigd, zelfde resultaat (geen documenten-tab, geraden bestandsnamen gaven 404)."
,Harkie,"Wire Core Flipline with Swivel Karabiner, 3m",,,,,,,,,,,,,,,,https://harkieglobal.com/product/harkie-wire-core-flip-line-with-swivel-karabiner-3-metre/,,,,,"Ook leverbaar als 2m (H2313) en 4m (H2315), zelfde diameter/norm. Breeklast niet vermeld op productpagina. Handleiding/instructiedocument niet gevonden op site. Opnieuw gecontroleerd 2026-09-16: productcode H2314 bevestigd, geen documenten-tab op de productpagina. Een 'wirecore flipline EN-354' PDF bestaat op marlowropes.com (mogelijk touw-toeleverancier van Harkie), maar die site staat achter een JS-captcha die niet met curl op te lossen is, en het is een ander merk (Marlow) — niet gebruikt."
,Harkie,"Wire Core Flipline, eye to eye, 3m",,,,,,,,,,,,,,,,https://harkieglobal.com/product/harkie-wire-core-flip-line-eye-to-eye-3-metre/,,,,,"Oog-oog uitvoering (zonder karabiner), compatibel met de meeste rope-grab-systemen. Breeklast niet vermeld. Handleiding niet gevonden op site. Opnieuw gecontroleerd 2026-09-16: zelfde situatie als de flipline met swivelkarabiner — geen documenten-tab op de productpagina."
,Husqvarna,"D Carabiner, D-shaped",,,,,,,,,,,,,,,,https://www.husqvarna.com/us/arborist-tools/carabiners/,,,,,"Geen manual_url gevonden. Artikelnummer 596936202 bevestigd (D-vorm, 30kN hoofdas, EN 362:2004 B / ANSI Z133-2012). husqvarna.com toont op elke productpagina een tekst 'Manuals, handbooks... can be found in the product support' die doorlinkt naar /us/support/, maar dat is een client-side (JavaScript) zoek-widget: de HTML bevat geen enkele directe PDF-link of API-endpoint die met curl te achterhalen was (hbd-graphql.js bundle doorzocht op endpoint-strings, niets bruikbaars gevonden). Husqvarna's documenten worden uiteindelijk uitgeleverd via www-static-nw.husqvarna.com/hbd/tdrdownload/v2/pub.../doc.../OM/<token> - dat werkt wel (voorbeeld gevonden en als PDF bevestigd), maar de pub/doc-ID's voor dit specifieke product zijn niet te raden en niet gevonden via zoekmachine-indexering. Geprobeerd: headless Chromium (/opt/pw-browsers) om de JS te renderen, maar die vertrouwt de proxy-CA niet (ERR_CERT_AUTHORITY_INVALID) en zonder certutil/libnss3-tools (apt-install faalde, geen netwerktoegang) kon dat niet worden opgelost zonder TLS-verificatie uit te zetten - wat expliciet niet mag. Vraag aan Jos: zelf even op husqvarna.com/us/support/ zoeken op artikelnummer 596936202, of Husqvarna rechtstreeks om de PDF vragen."
,Husqvarna,"Elevation Arborist Helmet (Class C, Vented) - shell only",,,,,,,,,,,,,,,,https://www.husqvarna.com/us/personal-protective-equipment/elevation-arborist-helmet-class-c/,,,,,"Geen manual_url gevonden - zelfde technische blokkade als bij de karabiners (JS-only documentenzoeker, zie notes daar). Artikelnummer 594893202 bevestigd. Zijdelingse vondst: een eBay-advertentie toont een visor met opdruk 'Husqvarna KASK' - de Elevation/Spire-helmen lijken (mede) door KASK (Italie) geproduceerd te worden onder Husqvarna-merknaam. Dat is geen bevestigde fabrieksrelatie en er is geen Kask-document met exact dezelfde modelnaam gevonden, dus NIET gebruikt als manual_url - puur een aanwijzing voor eventueel verder uitzoeken."
,Husqvarna,"HMS Carabiner, pear-shaped",,,,,,,,,,,,,,,,https://www.husqvarna.com/us/arborist-tools/carabiners/,,,,,"Geen manual_url gevonden - zelfde technische blokkade als bij de D Carabiner, zie notes daar. Artikelnummer 596936203 bevestigd (peervorm, 24kN hoofdas, EN 362:2004 B / ANSI Z133-2012)."
,Husqvarna,"Spire Arborist Helmet (Class E, Orange) - shell only",,,,,,,,,,,,,,,,https://www.husqvarna.com/us/helmets/spire-arborist-helmet-class-e/,,,,,"Geen manual_url gevonden - zelfde technische blokkade als bij de Elevation-helm, zie notes daar. Artikelnummer 594893201 bevestigd."
,Petzl,ASTRO BOD FAST (Size 0),,,,,,,,,,,,,,,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK000010HtREQA0,,,,,,"Maat 0 (XXS/S). LET OP - aanname: de productnaam 'ASTRO BOD FAST' bestaat niet meer als aparte URL/vermelding op petzl.com (alle varianten gaven 404). Petzl lijkt dit product hernoemd te hebben naar gewoon 'ASTRO' (dit is al eerder in deze catalogus zo verwerkt: product_page_url stond hier al op .../Harnesses/ASTRO i.p.v. .../ASTRO-BOD-FAST). De 'ASTRO EUR'-handleiding hierboven beschrijft letterlijk de kenmerken die eerder 'BOD FAST' definieerden (geintegreerde CROLL L buiktouwklem + FAST-gespen); tekst van de PDF zelf gecontroleerd (geen productcode erin, alleen documentnummer C0190900D), dus de gevonden 'codes C083AB00/01/02' voor de European Version zijn NIET uit deze PDF bevestigd en wijken af van het manufacturer_code dat al in deze rij staat (C083AA00) - mogelijk gewoon een revisiesuffix-verschil, maar niet 100% zeker. Er bestaat ook een 'International Version' (ANSI) met een ANDER Technical Notice-document: https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK000010HKEqQAO (ook curl-geverifieerd: 200/application-pdf). Zijdelings gevonden: een lopende Petzl-veiligheidswaarschuwing (2026-02-23) over vroegtijdige slijtage van de schroeven van het openklapbare buikbevestigingspunt op ASTRO-harnassen van voor oktober 2023 — al in inspection_notice_url van deze rij verwerkt."
