id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Edelweiss,Action 11mm,,,,,,,,,,,,,,,,https://www.edelweiss-ropes.com/products/action-11mm,,,,,"Snelle-afdaallijn (oorspronkelijk voor speciale eenheden) met aramidemantel die niet smelt bij een oververhit afdaalapparaat; mantelaandeel 30%, 75g/m. Ook bruikbaar voor rope-access-afdaling waar hitte een risico is. Gebruikershandleiding alleen als Google Drive-link, niet verifieerbaar als PDF via curl -> manual_url leeg gelaten. handleiding niet gevonden. Herbevestigd 2026-09-16: alle 6 Edelweiss-touwpagina's linken hetzelfde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E); curl volgt een 303/302 naar accounts.google.com/ServiceLogin (login vereist, text/html), dus niet als PDF te verifiëren. Advies: Edelweiss vragen om een rechtstreeks gehoste PDF, of de Drive-PDF handmatig downloaden en zelf hosten."
,Edelweiss,Proline 11mm,,,,,,,,,,,,,,,,https://www.edelweiss-ropes.com/products/proline-11mm,,,,,"Dikkere mantel (43.7% mantelaandeel) voor langere levensduur bij intensief professioneel gebruik; 75g/m, 4% rek bij 50/150kg. Ook leverbaar in 10.5mm (niet apart opgenomen). Gebruikershandleiding alleen als Google Drive-link, curl bevestigt geen application/pdf -> manual_url leeg gelaten. handleiding niet gevonden. Herbevestigd 2026-09-16: zelfde gedeelde Drive-bestand als de andere Edelweiss-touwen (id 0B5dinboGt--_Y2hpclk4X1JsS0E), curl volgt een 303/302 naar accounts.google.com/ServiceLogin (login vereist), niet als PDF te verifiëren."
,Edelweiss,Promax 10.5mm Unicore,,,,,,,,,,,,,,,,https://www.edelweiss-ropes.com/products/promax-uc-10-5mm,,,,,"Lichtere Unicore-variant van de Promax-lijn voor rope access; 65g/m, mantelaandeel 44%, 4.8% rek bij 50/150kg. Zelfde Google Drive-probleem als Promax 11mm: gebruikershandleiding niet verifieerbaar als PDF via curl -> manual_url leeg gelaten. handleiding niet gevonden (wel vermeld, niet verifieerbaar). Herbevestigd 2026-09-16: zelfde gedeelde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E), curl volgt een 303/302 naar accounts.google.com/ServiceLogin, niet als PDF te verifiëren."
,Edelweiss,Promax 11mm Unicore,,,,,,,,,,,,,,,,https://www.edelweiss-ropes.com/products/promax-uc-11mm,,,,,"Halfstatisch touw voor rope access/werkpositionering; Unicore-behandeling voorkomt mantelverschuiving en houdt evacuatie mogelijk zelfs bij doorgesneden mantel. 75g/m, mantelaandeel 43.7%, 4% rek bij 50/150kg. Gebruikershandleiding en EU-conformiteitsverklaring staan op de productpagina alléén als Google Drive-link (zelfde generieke link voor alle Edelweiss-touwen); curl geeft daarvoor 200 text/html en een Google-inlogscherm terug (geen application/pdf, ook niet via uc?export=download), dus NIET geverifieerd -> manual_url leeg gelaten. handleiding niet gevonden (wel vermeld, maar niet als verifieerbare PDF). Herbevestigd 2026-09-16: zelfde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E) op alle 6 Edelweiss-touwpagina's; advies aan Jos: Edelweiss vragen om een rechtstreeks gehoste PDF, of de Drive-PDF handmatig downloaden en zelf hosten."
,Edelweiss,Rescue 13mm,,,,,,,,,,,,,,,,https://www.edelweiss-ropes.com/products/rescue-13mm,,,,,"Zwaar laagrek-touw voor search-and-rescue, ook bruikbaar als evacuatie-/hoofdlijn in rope-access-opstellingen; 107g/m, mantelaandeel 37%. Gebruikershandleiding alleen als Google Drive-link, niet verifieerbaar als PDF via curl -> manual_url leeg gelaten. handleiding niet gevonden. Herbevestigd 2026-09-16: zelfde gedeelde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E), curl volgt een 303/302 naar accounts.google.com/ServiceLogin, niet als PDF te verifiëren."
,Edelweiss,Speleo II 10mm,,,,,,,,,,,,,,,,https://www.edelweiss-ropes.com/products/speleo-2-10mm,,,,,"Semi-statisch touw voor speleologie/werk-op-hoogte waar weinig rek gewenst is; 64g/m, mantelaandeel 41.2%, 2.2% rek bij 50/150kg. Type A/B-tegenstrijdigheid tussen de twee Edelweiss-sites hierboven bij 'standard' genoteerd i.p.v. zelf een keuze te maken. Gebruikershandleiding alleen als Google Drive-link, niet verifieerbaar als PDF via curl -> manual_url leeg gelaten. handleiding niet gevonden. Herbevestigd 2026-09-16: zelfde gedeelde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E), curl volgt een 303/302 naar accounts.google.com/ServiceLogin, niet als PDF te verifiëren."
,STEIN,CAMBO V5 SRT Chest Harness,,,,,,,,,,,,,,,,https://www.fletcherstewart.com/cambo-v5-chest-harness.html,,,,,"Geen handleiding gevonden. Fletcher Stewart = fabrikant (huismerk-uitzondering, dus legitieme bron), maar deze productpagina heeft -- anders dan bv. COPIOUS en VEGA -- geen 'Product Attachments'-sectie/PDF. Gecontroleerd: live pagina (curl+HTML-parse), oude spiegel-domein steinworldwide.com/cambo-v5-chest-harness.html (zelfde resultaat, geen PDF), Wayback Machine-snapshot van diezelfde steinworldwide-pagina (ook geen PDF, dus niet recent verwijderd), en losse fletcherstewart.com/media/attachment/file/*.pdf-links die in andere zoekresultaten naar boven kwamen (bleken bij inspectie over een Arbor-Trolley, een Rigging Sling Insert en schoenonderhoud te gaan, niet over CAMBO). Advies: vraag Fletcher Stewart/STEIN rechtstreeks om de CAMBO V5-handleiding, of vraag Jos of de instructies wellicht alleen op het productlabel zelf staan."
,STEIN,COPIOUS P-TEC 75cm / 10mm,,,,,,,,,,,,,,,https://www.fletcherstewart.com/media/attachment/file/cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf,https://www.fletcherstewart.com/copious-p-tec-75cm-sewn-eye-sling.html,,,,,"Geverifieerd met curl: 200 application/pdf. Documentinhoud gecontroleerd via tekstextractie: titel 'COPIOUS - INSTRUCTIONS FOR USE' (STEIN Information Notice to Users). Dit is de daadwerkelijke gebruiksaanwijzing, niet de aparte Declaration of Conformity die op dezelfde productpagina staat (die is bewust NIET gebruikt)."
,STEIN,COPIOUS P-TEC 85cm / 10mm,,,,,,,,,,,,,,,https://www.fletcherstewart.com/media/attachment/file/cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf,https://www.fletcherstewart.com/copious-p-tec-85cm-sewn-eye-sling.html,,,,,"Zelfde Instructions-for-use-PDF als de 75cm-variant -- apart geverifieerd: deze exact dezelfde PDF-link staat OOK rechtstreeks op de 85cm-productpagina zelf (geen aanname, rechtstreeks van de fabrikantpagina gehaald). Curl: 200 application/pdf."
,STEIN,Rope Grab for 12.0mm - 13.0mm Rope,,,,,,,,,,,,,,,https://www.fletcherstewart.com/media/attachment/file/egsb4aPPY0s2kFtrYILAr7CqfE4PbcIx.pdf,https://www.fletcherstewart.com/rope-grab-for-12mm-13mm-rope-bolted-cam.html,,,,,"LET OP: het enige document dat STEIN/Fletcher Stewart zelf aan deze productpagina koppelt heet 'WCL LANYARD - INSTRUCTIONS FOR USE' (tekst geverifieerd via extractie), niet een losse 'Rope Grab'-titel. Dit klopt inhoudelijk: volgens STEIN is de Rope Grab alleen EN358:2018-gecertificeerd wanneer gemonteerd op de WCL- of ACR16-lanyard, dus deze IFU dekt de Rope Grab als onderdeel van dat systeem. Rechtstreeks van de fabrikant-productpagina gehaald (curl: 200 application/pdf) -- geen eigen koppeling verzonnen, maar toch als LET OP gemarkeerd omdat de documenttitel niet letterlijk 'Rope Grab' zegt."
