id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
7122d7a0-be36-4b38-a4a5-b26e949e39b3,Climbing Technology,ASCENDER SIMPLE+,,,,,,,,,,,,,,,,,,,,,"Eigen technical notice (IST12-ROLAMCT_rev.1 11-24.pdf, geldt voor ASCENDER SIMPLE+, CHEST ASCENDER HC/+, QUICK ROLL en QUICK’UP+) doorzocht (ook zonder -layout parsing): geen extraheerbare §‘Main materials’-paragraaf gevonden — materiaallegenda staat vermoedelijk alleen in de beeld-/drawings-bijlage. Handvat-ascenders bevatten doorgaans (deels) kunststof/rubber handgrepen, maar dat is niet bevestigd via de fabrikantstekst voor dit specifieke model. Geen concreet jaren-cijfer of ‘unlimited’ gevonden voor max_age_mfr_years. NIET ingevuld — aanbevolen: navragen bij Climbing Technology of de afbeeldingenbijlage handmatig controleren."
58b7943d-739f-4e46-8121-5612ddfe2cb2,Climbing Technology,AXIS HMS SG,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
490eb97e-4b58-470c-bea2-2723d26160f8,Climbing Technology,AXIS HMS SGL,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
3c50b13a-e063-40a1-b458-61a186097542,Climbing Technology,AXIS HMS TG,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
cd9680ae-1eb1-4791-9c6e-7c8812879345,Climbing Technology,AXIS HMS TGL,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
4a1074e6-dd34-42c9-af67-fadda9a8a8f7,Climbing Technology,BIG,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
ac01dcfb-c9a8-4ebd-b2c8-6a1a87c0b392,Climbing Technology,CHEST ASCENDER HC,,,,,,,,,,,,,,,,,,,,,"Eigen technical notice (IST12-ROLAMCT_rev.1 11-24.pdf, geldt voor ASCENDER SIMPLE+, CHEST ASCENDER HC/+, QUICK ROLL en QUICK’UP+) doorzocht (ook zonder -layout parsing): geen extraheerbare §‘Main materials’-paragraaf gevonden — materiaallegenda staat vermoedelijk alleen in de beeld-/drawings-bijlage. Handvat-ascenders bevatten doorgaans (deels) kunststof/rubber handgrepen, maar dat is niet bevestigd via de fabrikantstekst voor dit specifieke model. Geen concreet jaren-cijfer of ‘unlimited’ gevonden voor max_age_mfr_years. NIET ingevuld — aanbevolen: navragen bij Climbing Technology of de afbeeldingenbijlage handmatig controleren."
10ad3df1-8095-4a58-97a3-339d856ea4f5,Climbing Technology,CHEST ASCENDER+,,,,,,,,,,,,,,,,,,,,,"Eigen technical notice (IST12-ROLAMCT_rev.1 11-24.pdf, geldt voor ASCENDER SIMPLE+, CHEST ASCENDER HC/+, QUICK ROLL en QUICK’UP+) doorzocht (ook zonder -layout parsing): geen extraheerbare §‘Main materials’-paragraaf gevonden — materiaallegenda staat vermoedelijk alleen in de beeld-/drawings-bijlage. Handvat-ascenders bevatten doorgaans (deels) kunststof/rubber handgrepen, maar dat is niet bevestigd via de fabrikantstekst voor dit specifieke model. Geen concreet jaren-cijfer of ‘unlimited’ gevonden voor max_age_mfr_years. NIET ingevuld — aanbevolen: navragen bij Climbing Technology of de afbeeldingenbijlage handmatig controleren."
c4f0982a-0e1d-47e8-945d-28905fe4d5af,Climbing Technology,CONCEPT SG,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
bce1f2c8-58f4-48c3-a217-921a971ad8cc,Climbing Technology,CONCEPT SGL,,,,,,,999,,,,,,,,,,,,,,"Eigen technical notice (IST01-LOCONCTS_rev-1_06-24.pdf), §3.2 Main materials: “Refer to the legend in the general instructions (paragraph 2.4): 1; 2; 3.” (= staal / roestvrij staal / lichtmetaal — geen kunststof onderdelen genoemd). Algemene instructies (ISTGE-003CT_rev.4 11-24), §6 LIFE SPAN: “The maximum life span of metallic products is theoretically indefinite, but it is still advisable to replace them after 10 years of use.” Product-notice verwijst expliciet naar deze algemene instructies voor materialen (§3.2), EN 365 (§2.5) en periodieke controle (§8). → max_age_mfr_years = 999 (letterlijk “theoretically indefinite” voor metalen producten); max_age_use_years=10 stond al goed (komt overeen met het advies ‘after 10 years of use’)."
