id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
40f18878-d437-4348-a5b9-1a87876be8ef,Skylotec,AMPURI (L/XL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
e5924221-4021-4ed0-8d33-c0d78b14f1b6,Skylotec,AMPURI (M/L),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
c6ac2f5b-a854-43f9-8f03-6cd458e1d4e6,Skylotec,AMPURI (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
ca406308-d6f1-457d-a5e0-6f4e14e26305,Skylotec,AMPURI WIND (L/XL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
8cdc20a5-3096-48c1-a3d0-9bcd95d702f3,Skylotec,AMPURI WIND (M/L),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
b588f721-96ee-4b2b-99bc-39292cf89e9d,Skylotec,AMPURI WIND (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
7ca5968e-7591-4a9b-b270-c9bc57a66d52,Skylotec,CS 8 (M/XXL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
810a7e73-18e0-4966-ba07-93b3ad4b8e6a,Skylotec,CS 8 (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
eafae1d0-a4c7-4d06-9ae0-5af2a3397486,Skylotec,FALC STANDARD (S/M/XXL),,,,,,10,,,,,,,,,,,,,,,"Algemene Skylotec-harnashandleiding (MAT-BA-0140-00); modelcode G-1155 komt niet letterlijk voor in de doorzoekbare tekst (waarschijnlijk in een niet-doorzoekbaar model-specifiek inlegvel), dus niet 100% bevestigd voor dit exacte model. Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
182ec703-b1f9-4dda-a656-7ad2e8a9c2e6,Skylotec,GRYPHON (M/L),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
f6593a6d-8e69-4c30-9ae5-6e5aba312c3e,Skylotec,GRYPHON (S/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
c0a730ad-f709-488b-91ce-80c1bcd8a97a,Skylotec,GRYPHON ASCENDER (M/L),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
200fcfff-6b5c-425a-a374-965a67d8b419,Skylotec,GRYPHON ASCENDER (S/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
902e919d-7850-4b5d-b903-dc8f0099b8d1,Skylotec,IGNITE ARB (M/XXL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
87f1db94-9509-4796-ad21-1e791c2fe49d,Skylotec,IGNITE ARB (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
94f4af27-af6f-46d7-a4da-58ab1418cdf9,Skylotec,IGNITE ARB TOP (L/5XL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
680d58f7-63c4-4b74-80f6-c18bbe38feee,Skylotec,IGNITE ARB TOP (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
64dd6993-7c8c-47e9-a610-24c56adb8388,Skylotec,IGNITE NEON (M/XXL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
f115dd0c-5322-4060-8bca-d8c84549c8e5,Skylotec,IGNITE NEON (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
96a5a7e1-3124-4d6d-ae32-9852c750e4d8,Skylotec,IGNITE NIOB 2.0 (M/XXL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
46f80ce4-1756-4ccf-840e-0d6674e50f31,Skylotec,IGNITE NIOB 2.0 (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
de3034bb-3f3b-465b-b5b8-5ab9450ca285,Skylotec,IGNITE NUCLEON (M/XXL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
644d74cf-89a0-448f-ae3e-95b12d8ae5af,Skylotec,IGNITE NUCLEON (XS/M),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
aadac8d0-dafa-43c5-9938-1d3051c37bb9,Skylotec,IGNITE NUCLEON (XXL/5XL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
65082a48-09ac-4cc8-a9a1-a5b7a423e8b8,Skylotec,IGNITE PROTON WIND (M/XXL),,,,,,10,,,,,,,,,,,,,,,"Eigen manual_url gelezen (Skylotec ""ALLGEMEINE INFORMATIONEN"", MAT-BA-0140-00). Sectie ""5.) Inspection and lifetime"" geeft geen los getal, maar de bijbehorende infographic in dezelfde sectie citeert letterlijk: ""Lifetime max.10 years"" (DE: ""Lebenszeit max.10 Jahre""). Toegepast als max_age_use_years=10."
