id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
76a0d02f-9bc1-41c7-96b9-7175cdd55861,Teufelberger,Arbor Elite 11.7mm,,,,,,,,,,,,,,,,,,,,,"manual_url gevonden en geverifieerd (200, application/pdf, %PDF-magic-bytes OK): 'General User Guide Arbor Elite and Braided Safety Blue' - Teufelberger's officiele instructieblad (Form No. 80274, Rev. 4_2023) voor de combinatie Arbor Elite/Braided Safety Blue-touwen, gehost op hun huidige Storyblok-CDN (a.storyblok.com) en gelinkt vanaf de live downloadpagina teufelberger.com/en/fiber-ropes/downloads/manufacturers-information-ropes. Het document noemt geen specifieke diameter (dekt de hele Arbor Elite/Safety Blue-lijn inclusief 11.7mm). LET OP: de 'losse' productpagina teufelberger.com/en/arbor-elite.html bestaat niet meer als zodanig - die URL toont nu (HTTP 200, dus een soft-404-achtige situatie zoals eerder bij de Sirius Loop) de pagina voor een heel ander product ('arborWINCH'); daarom is hier bewust GEEN product_page_url ingevuld. Arbor Elite lijkt dus geen eigen marketingpagina meer te hebben op de vernieuwde site, terwijl de instructie-PDF nog wel gewoon actief gelinkt staat. Handleiding zelf gedownload en gelezen (https://a.storyblok.com/f/312698/da3503cb8a/80274_general_user_guide_card_aborist_4_2023.pdf). Document geeft GEEN concreet aantal jaren: ""It is not possible to pre-determine an expected lifespan for a kernmantle rope. Accurate record keeping, with a careful inspection program, are the best methods for determining when to remove a rope from service."" Geen leeftijdsgetal ingevuld — geen gok gemaakt. (max_age_mfr_years staat al op 10 in de catalogus — dat getal wordt hier niet aangeraakt/bevestigd, want deze handleiding onderbouwt het niet.)"
df096f67-bec4-40a0-8a28-fc2f3e697efc,Teufelberger,Braided Safety Blue 12.7 mm,,,,,,,,,,,,,,,,,,,,,"Handleiding zelf gedownload en gelezen (https://a.storyblok.com/f/312698/da3503cb8a/80274_general_user_guide_card_aborist_4_2023.pdf). Document geeft GEEN concreet aantal jaren: ""It is not possible to pre-determine an expected lifespan for a kernmantle rope. Accurate record keeping, with a careful inspection program, are the best methods for determining when to remove a rope from service."" Geen leeftijdsgetal ingevuld — geen gok gemaakt."
6a4eb0ef-2c7d-4250-88c2-000720d1e381,Teufelberger,Braided Safety Blue 12.7mm 35m 2 spliced eyes,,,,,,,,,,,,,,,,,,,,,"Handleiding zelf gedownload en gelezen (https://a.storyblok.com/f/312698/da3503cb8a/80274_general_user_guide_card_aborist_4_2023.pdf). Document geeft GEEN concreet aantal jaren: ""It is not possible to pre-determine an expected lifespan for a kernmantle rope. Accurate record keeping, with a careful inspection program, are the best methods for determining when to remove a rope from service."" Geen leeftijdsgetal ingevuld — geen gok gemaakt."
de78cc5a-0910-41e0-adfa-2b84697c5c71,Teufelberger,bMOTION Light Size L-XL,,,,,,,10,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/69326f19ce/manufacturer_s_information_and_instructions_for_use_-_bmotion.pdf), hoofdstuk ""Lifespan and Replacement"": ""Maximum lifespan under optimal storage conditions (see section on storage) and without use: 10 years"" en ""Occasional and appropriate use without obvious wear and tear and with optimal storage: 5-10 years"". Alleen de eerste zin geeft een concreet, hard getal (10 jaar vanaf fabricage, ongebruikt/optimaal opgeslagen) -> max_age_mfr_years=10 (bevestigt bestaande waarde). De gebruiksduur wordt als bandbreedte ""5-10 jaar"" gegeven, geen concreet getal, dus max_age_use_years blijft leeg (geen gok)."
35afc20a-126e-4a85-8feb-e61c1087c7f1,Teufelberger,bMOTION Light Size M-L,,,,,,,10,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/69326f19ce/manufacturer_s_information_and_instructions_for_use_-_bmotion.pdf), hoofdstuk ""Lifespan and Replacement"": ""Maximum lifespan under optimal storage conditions (see section on storage) and without use: 10 years"" en ""Occasional and appropriate use without obvious wear and tear and with optimal storage: 5-10 years"". Alleen de eerste zin geeft een concreet, hard getal (10 jaar vanaf fabricage, ongebruikt/optimaal opgeslagen) -> max_age_mfr_years=10 (bevestigt bestaande waarde). De gebruiksduur wordt als bandbreedte ""5-10 jaar"" gegeven, geen concreet getal, dus max_age_use_years blijft leeg (geen gok)."
e9971e40-399b-4e9f-8708-2925a7420f03,Teufelberger,bMOTION Pro Size L-XL,,,,,,,10,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/69326f19ce/manufacturer_s_information_and_instructions_for_use_-_bmotion.pdf), hoofdstuk ""Lifespan and Replacement"": ""Maximum lifespan under optimal storage conditions (see section on storage) and without use: 10 years"" en ""Occasional and appropriate use without obvious wear and tear and with optimal storage: 5-10 years"". Alleen de eerste zin geeft een concreet, hard getal (10 jaar vanaf fabricage, ongebruikt/optimaal opgeslagen) -> max_age_mfr_years=10 (bevestigt bestaande waarde). De gebruiksduur wordt als bandbreedte ""5-10 jaar"" gegeven, geen concreet getal, dus max_age_use_years blijft leeg (geen gok)."
6f88ec48-a625-4954-854b-380e72762e20,Teufelberger,bMOTION Pro Size M-L,,,,,,,10,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/69326f19ce/manufacturer_s_information_and_instructions_for_use_-_bmotion.pdf), hoofdstuk ""Lifespan and Replacement"": ""Maximum lifespan under optimal storage conditions (see section on storage) and without use: 10 years"" en ""Occasional and appropriate use without obvious wear and tear and with optimal storage: 5-10 years"". Alleen de eerste zin geeft een concreet, hard getal (10 jaar vanaf fabricage, ongebruikt/optimaal opgeslagen) -> max_age_mfr_years=10 (bevestigt bestaande waarde). De gebruiksduur wordt als bandbreedte ""5-10 jaar"" gegeven, geen concreet getal, dus max_age_use_years blijft leeg (geen gok)."
5cedc21a-dc02-4029-898a-0ab36753b062,Teufelberger,CEclimb 11.1 mm,,,,,,,,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/be81202028/rz_6800440_ceclimb_04_21_web.pdf), hoofdstuk 11 ""LIFESPAN, OBSOLESCENCE AND COMPONENT INSPECTION"": ""For lifespan, obsolescence and component inspection consult the specific instructions for use for each PPE component of CEclimb."" Dit CEclimb-systeemdocument (DMM/Teufelberger Hitch Climber System) geeft zelf GEEN concreet aantal jaren voor de complete CEclimb-lijn — het verwijst door naar de losse handleidingen per onderdeel (bv. Ocean Polyester frictiekoord, [slaice]/spLIFE-oog). Geen getal ingevuld, geen gok/extrapolatie tussen componenten."
c1d427de-64db-41b4-9ca7-38df92c2cc7e,Teufelberger,CEclimb 12.7 mm,,,,,,,,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/be81202028/rz_6800440_ceclimb_04_21_web.pdf), hoofdstuk 11 ""LIFESPAN, OBSOLESCENCE AND COMPONENT INSPECTION"": ""For lifespan, obsolescence and component inspection consult the specific instructions for use for each PPE component of CEclimb."" Dit CEclimb-systeemdocument (DMM/Teufelberger Hitch Climber System) geeft zelf GEEN concreet aantal jaren voor de complete CEclimb-lijn — het verwijst door naar de losse handleidingen per onderdeel (bv. Ocean Polyester frictiekoord, [slaice]/spLIFE-oog). Geen getal ingevuld, geen gok/extrapolatie tussen componenten."
f21227c2-aa94-4a11-88b8-01e0abf501a8,Teufelberger,Chameleon 10.5 mm,,,,,,,10,,,,,,,,,,,,,,"Handleiding gelezen (https://a.storyblok.com/f/312698/x/d01658c456/6800501_kernmantelseile_09-2023_druck.pdf), hoofdstuk ""SERVICE LIFE"": ""For all ropes except Vulcanus: Only if the rope is rarely used (one week a year) and stored correctly (see the section on transport, storage and cleaning) can its useful life be up to 10 years from date of manufacture."" Chameleon en Patron treeACCESS zijn geen Vulcanus, dus deze algemene regel geldt: max_age_mfr_years=10. Er wordt in dit document geen apart getal ""vanaf eerste gebruik"" genoemd voor deze touwen (dat aparte getal bestaat alleen voor Vulcanus, dat niet in onze catalogus staat) — max_age_use_years blijft daarom leeg, geen gok."
