id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Tractel,AS19S Anchor Sling (0.6m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,AS19S Anchor Sling (0.8m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,AS19S Anchor Sling (1m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,AS30S Anchor Sling (0.6m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,AS30S Anchor Sling (1.5m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,AS30S Anchor Sling (1m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,AS30S Anchor Sling (2m),,,,,,,,,,,,,,,,,,,,,"Bron: https://www.tractel.com/PIM/Manuals/HSP/OLD%20MANUAL/IM_AS19S%20%26%20AS30S__146815_A02IND00.pdf, sectie ""15. Lifespan"" (getest en gedownload, PDF ok). Letterlijk: ""TRACTEL textile PPE equipments as harnesses, lanyards, ropes and energy absorbers, TRACTEL Mechanical PPE equipments as stopcable and stopfor fall-arresters, blocfor self-retracting fall-arresters, and the TRACTEL lifelines can be used without restrictions from their manufacturing date providing that: – A normal use is made in accordance with the instructions manual, – A periodical inspection... at least once a year..."" Geen concreet jaartal genoemd (alleen ""without restrictions from their manufacturing date"" mits jaarlijkse keuring) — dit is altijd geteld vanaf FABRICAGEDATUM, nooit vanaf ingebruikname, dus max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 in de catalogus lijkt niet te kloppen met deze handleiding, die juist stelt dat er GEEN harde jaargrens is (mits jaarlijkse keuring) — graag laten narekenen door Jos, dit valt buiten de scope van deze opdracht (alleen use_years invullen)."
,Tractel,Blocfor 1.8m (with steigerhaak),,,,,,,,,,,,,,,https://www.tractel.com/download/asset/7907,,,,,,"Bron (NIEUW, vervangt kapotte reseller-link safety-lifting.com die 403 gaf): https://www.tractel.com/download/asset/7907 — geverifieerd: HTTP 200, content-type application/pdf, exacte titel ""blocfor™ AES / ESD - EN 360"". Sectie ""Service life of blocfor™ automatic fall arrester"": ""The blocfor™ automatic fall arrester has a service life of 10 years as of the date of manufacture provided it has been used and maintained in strict observance of the instructions given in this manual."" (FR: ""La durée de vie de l'antichute à rappel automatique blocfor™ est...""). Dit is een leeftijd VANAF FABRICAGEDATUM (mfr), niet vanaf ingebruikname — max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 klopt niet met deze handleiding, die expliciet 10 jaar noemt vanaf fabricagedatum — graag laten corrigeren door Jos (buiten scope van deze opdracht)."
,Tractel,Blocfor 1.8m ESD 150kg,,,,,,,,,,,,,,,https://www.tractel.com/download/asset/7907,,,,,,"Bron (NIEUW, vervangt kapotte reseller-link safety-lifting.com die 403 gaf): https://www.tractel.com/download/asset/7907 — geverifieerd: HTTP 200, content-type application/pdf, exacte titel ""blocfor™ AES / ESD - EN 360"". Sectie ""Service life of blocfor™ automatic fall arrester"": ""The blocfor™ automatic fall arrester has a service life of 10 years as of the date of manufacture provided it has been used and maintained in strict observance of the instructions given in this manual."" (FR: ""La durée de vie de l'antichute à rappel automatique blocfor™ est...""). Dit is een leeftijd VANAF FABRICAGEDATUM (mfr), niet vanaf ingebruikname — max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 klopt niet met deze handleiding, die expliciet 10 jaar noemt vanaf fabricagedatum — graag laten corrigeren door Jos (buiten scope van deze opdracht)."
,Tractel,Blocfor 6 ESD 150kg,,,,,,,,,,,,,,,https://www.tractel.com/download/asset/7907,,,,,,"Bron (NIEUW, vervangt kapotte reseller-link safety-lifting.com die 403 gaf): https://www.tractel.com/download/asset/7907 — geverifieerd: HTTP 200, content-type application/pdf, exacte titel ""blocfor™ AES / ESD - EN 360"". Sectie ""Service life of blocfor™ automatic fall arrester"": ""The blocfor™ automatic fall arrester has a service life of 10 years as of the date of manufacture provided it has been used and maintained in strict observance of the instructions given in this manual."" (FR: ""La durée de vie de l'antichute à rappel automatique blocfor™ est...""). Dit is een leeftijd VANAF FABRICAGEDATUM (mfr), niet vanaf ingebruikname — max_age_use_years blijft leeg. LET OP: bestaande max_age_mfr_years=20 klopt niet met deze handleiding, die expliciet 10 jaar noemt vanaf fabricagedatum — graag laten corrigeren door Jos (buiten scope van deze opdracht)."
