id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
52496c06-eb76-4a89-b6f0-e7647c9edaa3,Yale Cordage,Bee Line Black 10mm,,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
0a89a484-9c45-4a06-9803-5bb4dafe06ed,Yale Cordage,Bee Line Polyester Core 10mm,,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
8c4df602-bb34-45b2-80b0-a4c535d2a935,Yale Cordage,Bee Line Polyester Core 10mm - bulk (per meter),,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
587bd3c2-5b0f-4a33-ad96-6e4dab712b28,Yale Cordage,Bee Line Vectran Core 8mm,,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
10223a90-ae8a-47c5-811f-2e69785a156c,Yale Cordage,Bee Line Vectran Core 8mm - bulk (per meter),,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
fd1fa69d-d646-41f2-b19e-fdfd0426d9a0,Yale Cordage,Bee Line Vectran Core 10mm,,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
09162274-a1f8-424a-b601-dc0dd0efb59d,Yale Cordage,Bee Line Vectran Core 10mm - bulk (per meter),,,,,,,,,,,,,,,,,,,,,"Geen dedicated Use & Care Card voor Bee Line: de use-and-care-cards-pagina bevat alleen kaarten voor XTC-16/XTC-24/XTC-48 klimlijnen, niet voor hitch cords/rope tools. Wel gevonden: Yale Cordage Product Data Sheet - Bee Line Prussic (op de productpagina bee-line-prussic), curl-geverifieerd: 200 application/pdf. Dit is een technisch specificatieblad (constructie, breeksterkte, gewicht) en GEEN gebruiksaanwijzing met inspectie-/afkeurcriteria - dit is dus de quick fix, het nette werk zou navraag bij Yale Cordage zijn naar een echte IFU voor Bee Line hitch cords. Het blad noemt Polyester Core en Vectran Core (8mm/10mm) met naam; 'Black' als kleur wordt niet genoemd maar is dezelfde productfamilie/pagina (Bee Line Prussic hitch cords, diverse kleuren). Bestaande manual_url (Yale-Cordage-Product-Data-Sheet-Bee-Line-Prussic.pdf) gelezen: 1-pagina productdatasheet met alleen constructie, toepassing en breukkracht-tabel. Geen enkele vermelding van levensduur/leeftijd (geen ""year"", ""life span"", ""retire"", ""service life"" in de tekst). Ook de productpagina (yalecordage.com/product/bee-line-prussic/) bevat geen leeftijdsclaim. Leeftijdsvelden daarom leeg gelaten: nog niet uitgezocht (geen bron, geen gok)."
e77d02f7-05d2-456f-bd50-b37f274271db,Yale Cordage,R.I.N.G. Rope 10.5mm - 37m - 1 eye,,,,,,,10,,,,,,,,,,,,,,"Zelfde product als 'XTC-48 R.I.N.G. Rope': yalecordage.com/product/xtc-48-ring-rope/ heet het product zelf 'XTC-48: R.I.N.G. Rope 10.5mm & 11.5mm', dus de XTC-48 Use & Care Card is van toepassing. Curl-geverifieerd: 200 application/pdf. Bestaande manual_url (Attachment-6-Use-instructions-Card-XTC-48-English.pdf, P/N 10017603) gelezen, sectie ""ROPE WEAR and OBSOLESCENCE"": ""The maximum Life Span of a rope is 10 years in as new, unused condition."" -> max_age_mfr_years=10 (levensduur vanaf fabricagedatum, ongebruikt/op voorraad). Document noemt geen apart aantal jaren vanaf eerste gebruik (max_age_use_years) - vervanging na gebruik is uitsluitend conditie/inspectie-gebaseerd (breuken, slijtage, smeltvezels), dus max_age_use_years blijft leeg. Delen dit document/getal met alle andere XTC-48-familie producten die dezelfde use-instructions-kaart gebruiken."
048cca97-67fa-4cba-822b-f61922e60011,Yale Cordage,R.I.N.G. Rope 10.5mm - 45m - 1 eye,,,,,,,10,,,,,,,,,,,,,,"Zelfde product als 'XTC-48 R.I.N.G. Rope': yalecordage.com/product/xtc-48-ring-rope/ heet het product zelf 'XTC-48: R.I.N.G. Rope 10.5mm & 11.5mm', dus de XTC-48 Use & Care Card is van toepassing. Curl-geverifieerd: 200 application/pdf. Bestaande manual_url (Attachment-6-Use-instructions-Card-XTC-48-English.pdf, P/N 10017603) gelezen, sectie ""ROPE WEAR and OBSOLESCENCE"": ""The maximum Life Span of a rope is 10 years in as new, unused condition."" -> max_age_mfr_years=10 (levensduur vanaf fabricagedatum, ongebruikt/op voorraad). Document noemt geen apart aantal jaren vanaf eerste gebruik (max_age_use_years) - vervanging na gebruik is uitsluitend conditie/inspectie-gebaseerd (breuken, slijtage, smeltvezels), dus max_age_use_years blijft leeg. Delen dit document/getal met alle andere XTC-48-familie producten die dezelfde use-instructions-kaart gebruiken."
a338aa16-034f-4afe-b893-a70d84055bf9,Yale Cordage,R.I.N.G. Rope 10.5mm - 60m - 1 eye,,,,,,,10,,,,,,,,,,,,,,"Zelfde product als 'XTC-48 R.I.N.G. Rope': yalecordage.com/product/xtc-48-ring-rope/ heet het product zelf 'XTC-48: R.I.N.G. Rope 10.5mm & 11.5mm', dus de XTC-48 Use & Care Card is van toepassing. Curl-geverifieerd: 200 application/pdf. Bestaande manual_url (Attachment-6-Use-instructions-Card-XTC-48-English.pdf, P/N 10017603) gelezen, sectie ""ROPE WEAR and OBSOLESCENCE"": ""The maximum Life Span of a rope is 10 years in as new, unused condition."" -> max_age_mfr_years=10 (levensduur vanaf fabricagedatum, ongebruikt/op voorraad). Document noemt geen apart aantal jaren vanaf eerste gebruik (max_age_use_years) - vervanging na gebruik is uitsluitend conditie/inspectie-gebaseerd (breuken, slijtage, smeltvezels), dus max_age_use_years blijft leeg. Delen dit document/getal met alle andere XTC-48-familie producten die dezelfde use-instructions-kaart gebruiken."
