id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
e63a5d8c-8cd9-42a1-a5ec-cdc1ae823df0,Delta Plus,AM007,,,,,,,20,,,,,,,,https://media.deltaplus.eu/asset/69e7ac9e-b8a8-425e-aaf5-913c5ec16fc4/LV102-LO030-LO034-AM007-UI.pdf,,,,,,"Ankerlus/sling-anchor (EN795 + EN354); breekkracht/WLL niet vermeld op productpagina — verifiëren via technische fiche. manual geverifieerd (200, application/pdf) Huidige manual_url (AM007-INSTALLATION-DOCUMENT-EXAMINATION) is alleen het periodieke-inspectieformulier, geen instructies-voor-gebruik met levensduurinfo. De gedeelde UI-handleiding (LV102/LO030/LO034/AM007-UI, al gebruikt voor LO030150) noemt AM007XXX expliciet: FR ""AM007XXX : Produits en métal et produits mécaniques (dispositif d’arrêt de chute à rappel automatique, coulissant, travaux sur cordes, ancrages etc...) : durée de vie maximale 20 ans à partir de la date de fabrication (stockage et utilisation compris)."" EN ""AM007XXX : Metal products and mechanical products (...) : Maximum duration of 20 years from the date of manufacture (including storage and use)."" -> max_age_mfr_years=20; geen apart max_age_use_years (gebruiksduur zit al in die 20 jaar inbegrepen volgens de tekst). Voorstel: manual_url wijzigen naar deze UI-PDF i.p.v. het inspectieformulier, want die bevat de daadwerkelijke gebruiksinstructies + levensduur."
9f4193a1-845f-4528-adf7-d45a16784e88,Delta Plus,"AM027 - steigerhaak, 2-weg sluiting",,,,,,,20,,,,,,,,,,,,,,"Steigerhaak, 2-weg sluiting (bevestigd door Jos, 2026-09-13 — geen twistlock). manual geverifieerd (200, application/pdf) Manual (CONNECTORS-AM002-AM010SJ-AM016-AM018-AM022-AM023-AM025-AM027-AM030-UI.pdf), generieke categorie metaal/mechanisch: FR ""Produits en métal et produits mécaniques (dispositif d’arrêt de chute à rappel automatique, coulissant, travaux sur cordes, ancrages etc...) : durée de vie maximale 20 ans à partir de la date de fabrication (stockage et utilisation compris)."" EN ""Metal products and mechanical products (...) : Maximum [duration] of 20 years from date of manufacture (including storage and use)."" Consistent met reeds ingevulde siblings op dezelfde handleiding (AM002/AM022/AM025X2/AM030 staan al op 20)."
c987037a-9e23-4a06-b52c-5dac188c589d,Delta Plus,AN208S200CD,,,,,,,10,,,,,,,,,,,,,,"Spiraal (opgerolde) touw-vallijn met energieabsorber en thermovormbare kous (EN355), 2m. Specifieke UI-link op productpagina gaf 404; vervangen door de generieke, geverifieerde ABSORBERS-UI (gebruikt door het identieke SPIRAL-model). manual geverifieerd (200, application/pdf) ABSORBERS-UI.pdf noemt ""absorbeurs d’énergie"" / ""shock absorbers"" expliciet in de textiel-categorie: FR ""Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans à partir de la date de fabrication."" EN ""Textile products or those containing textile elements (harnesses, belts, shock absorbers etc...): maximum life of 10 years from date of manufacture."" Geen apart aantal jaar-vanaf-eerste-gebruik vermeld in dit document. Consistent met reeds ingevulde siblings op dezelfde handleiding (AN207200AD/AN213200ZZZ staan al op 10)."
4ed5d6d6-da84-49e9-954a-9c48b67ed477,Delta Plus,AN203100ZZ,,,,,,,10,,,,,,,,,,,,,,"Enkele band-vallijn met energieabsorber (EN355), 1m. Handleiding dekt de hele ABSORBERS-lijn (AN203/AN213/AN207/AN235 e.a.). manual geverifieerd (200, application/pdf) ABSORBERS-UI.pdf noemt ""absorbeurs d’énergie"" / ""shock absorbers"" expliciet in de textiel-categorie: FR ""Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans à partir de la date de fabrication."" EN ""Textile products or those containing textile elements (harnesses, belts, shock absorbers etc...): maximum life of 10 years from date of manufacture."" Geen apart aantal jaar-vanaf-eerste-gebruik vermeld in dit document. Consistent met reeds ingevulde siblings op dezelfde handleiding (AN207200AD/AN213200ZZZ staan al op 10)."
d3d90807-1a6a-41c0-973e-e0f8b4376596,Delta Plus,AN235200AD,,,,,,,10,,,,,,,,,,,,,,"Elastische (rekbare) band-vallijn met energieabsorber (EN355), 2m. manual geverifieerd (200, application/pdf) ABSORBERS-UI.pdf noemt ""absorbeurs d’énergie"" / ""shock absorbers"" expliciet in de textiel-categorie: FR ""Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans à partir de la date de fabrication."" EN ""Textile products or those containing textile elements (harnesses, belts, shock absorbers etc...): maximum life of 10 years from date of manufacture."" Geen apart aantal jaar-vanaf-eerste-gebruik vermeld in dit document. Consistent met reeds ingevulde siblings op dezelfde handleiding (AN207200AD/AN213200ZZZ staan al op 10)."
704c4b36-3243-43c1-9aa1-ae3741dd8dcc,Delta Plus,AN06410B,,,,,,,,,,,,,,,,,,,,,"Gevlochten valbeveiligingstouw (EN353-2), 10m, max. 120kg per persoon; diameter niet vermeld op productpagina. Ook leverbaar als AN06420B (15m) en AN06430B (20m), zelfde specificaties. manual geverifieerd (200, application/pdf) Twijfelgeval, bewust leeg gelaten. AN064-UI.pdf geeft TWEE categorieën zonder expliciet te zeggen welke voor dit (samengestelde) product geldt: FR ""Produits en métal et produits mécaniques (dispositif d’arrêt de chute à rappel automatique, coulissant, travaux sur cordes, ancrages etc...) : durée de vie maximale 20 ans à partir de la date de fabrication (stockage et utilisation compris)."" versus FR ""Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans en stockage (à partir de la date de fabrication)."" AN064XXB (mobiele meeloper, ""il coulisse sur la corde"") past qua omschrijving bij het 20-jaar-""coulissant""-voorbeeld, maar dit artikel (materiaal Steel - Stainless steel - Polyamide) omvat ook het polyamide touw, dat volgens diezelfde handleiding als ""textile ou contenant des éléments en textile"" apart onder de 10-jaar-regel zou vallen. Anders dan in de CAMELEON-UI (die AN066 metallic vs AN066A textile expliciet splitst) maakt deze handleiding dat onderscheid niet per artikelcode voor de AN064-reeks. Om niet te extrapoleren tussen materialen/categorieën: beide leeftijdsvelden leeg gelaten. Aanbevolen: navragen bij Delta Plus (technische fiche) welke regel voor de complete AN064+touw-set geldt."
7b4d3b1f-3857-4c6f-9cbc-57ba687d8961,Delta Plus,EX021,,,,,,7,10,,,,,,,,,,,,,,"Verstelbare werkpositioneringslijn (EN358), polyamide, verstelbaar 1,10-2 m. manual geverifieerd (200, application/pdf) WORK-POSITIONING-LANYARD-UI.pdf: FR ""DURÉE DE VIE : ... Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans en stockage (à partir de la date de fabrication), 7 ans à partir de la première utilisation."" EN ""SHELF LIFE: Textile products or those containing textile elements (...): maximum life of 10 years in storage (from date of manufacture), 7 years after the first use."""
64a2dcfc-acc0-41f4-9594-78f005377821,Delta Plus,EX118,,,,,,7,10,,,,,,,,,,,,,,"Verstelbare werkpositioneringslijn (EN358), polyester. manual geverifieerd (200, application/pdf) WORK-POSITIONING-LANYARD-UI.pdf: FR ""DURÉE DE VIE : ... Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans en stockage (à partir de la date de fabrication), 7 ans à partir de la première utilisation."" EN ""SHELF LIFE: Textile products or those containing textile elements (...): maximum life of 10 years in storage (from date of manufacture), 7 years after the first use."""
048523fb-d9b2-4225-80ff-cd30b74eb56b,Delta Plus,EX030200,,,,,,,10,,,,,,,,,,,,,,"Werkpositioneringslijn (EN358), polyamide. manual geverifieerd (200, application/pdf) CAMELEON-AN066-AN066A-AN4XX-EX030XXX-UI.pdf noemt EX030XXX expliciet in de textiel-categorie: FR ""AN066A (textile) / AN4XX / EX030XXX : Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans à partir de la date de fabrication."" EN ""AN066A (textile) / AN4XX / EX030XXX : Textile products or those containing textile elements (...): maximum life of 10 years from date of manufacture."" (Het aparte AN066/AN066A-metallic-lid van dezelfde tabel geeft 20 jaar, maar dat is expliciet NIET van toepassing op EX030XXX.) Geen apart eerste-gebruik-jaartal vermeld voor deze categorie in dit document."
60e5e909-2c24-47df-9707-1b5f02225546,Delta Plus,HAR35M (Revolin),,,,,,,10,,,,,,,,,,,,,,"Met heupgordel. manual geverifieerd (200, application/pdf) HARNESS-UI.pdf: FR ""DURÉE DE VIE : Produits en textile ou contenant des éléments en textile (harnais, ceintures, absorbeurs d’énergie etc…) : durée de vie maximale 10 ans à partir de la date de fabrication."" EN ""SHELF LIFE : Textile products or those containing textile elements (harnesses, belts, shock absorbers etc...): maximum life of 10 years from date of manufacture."" Consistent met alle overige HAR-modellen op dezelfde handleiding (al ingevuld op 10)."
