id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
8e4429bb-b92c-44f8-baed-2d55f76e8e42,Eyolf,Atavist Sit Harness,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2026/07/A300-Atavist-manual-rev10.pdf,,,,,,"Ook gebruikt als basis voor de Pippo rescue sit harness. Eigen manual (A300-Atavist-manual-rev10.pdf), sectie ""Lifespan"": ""This is difficult to estimate but we advise not to use more than ten years after the date of manufacture. Assuming you have used the correct storage, the working life can vary from a ten year span to a single use in extreme circumstances (e.g. highly chemical environment, serious fall, etc.)."" Textiel harnas (webbing) -> max_age_mfr_years=10 (vanaf fabricagedatum, niet vanaf eerste gebruik -- dat wordt niet apart genoemd). Geen apart getal voor max_age_use_years, dus leeg gelaten."
9a6c869a-1b5c-417f-97b8-6898dfafd2ab,Eyolf,Batavia Fall Arrest Harness,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2020/12/A500-Batavia-Manual-rev15.pdf,,,,,,"Dubbel sternaal bevestigingspunt vooraan (i.p.v. losse borstriem) plus dorsale D-ring voor valbeveiliging. Eigen manual (A500-Batavia-Manual-rev15.pdf), sectie ""Lifespan"": ""This is difficult to estimate but we advise as follows: Do not use more than ten years after the date of manufacture. Assuming you have used the correct storage, the working life can vary from a ten year span to a single use in extreme circumstances..."" -> max_age_mfr_years=10. Geen apart getal voor gebruiksduur vanaf eerste gebruik genoemd."
d71e9fcc-b493-4718-9378-87a5d4776334,Eyolf,Cyclone Zipline Harness,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2024/12/A140-Cyclone-manual-rev12.pdf,,,,,,"Eigen manual (A140-Cyclone-manual-rev12.pdf), sectie ""Lifespan"": ""This is difficult to estimate but we advise not to use more than ten years after the date of manufacture. Assuming you have used the correct storage, the working life can vary from a ten year span to a single use in extreme circumstances (e.g. highly chemical environment, serious fall, etc.)."" -> max_age_mfr_years=10."
cc28a38e-8da4-4930-bd20-3891b77f6472,Eyolf,Fossil Lanyard,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2026/07/B10-Lanyard-manual-rev23.pdf,,,,,,"Cowstail voor rope access, lengtes 40-90 cm. Eigen manual (B10-Lanyard-manual-rev23.pdf), sectie ""Lifespan"": ""The working life of the product depends on a variety of factors such as frequency of usage, correct storage, exposure to chemicals, UV light, serious fall. This list is not exhausted. Soft goods (webbing products, etc.) - Do not use more than ten years after the date of manufacture. Hard goods (metal products) - No life limit."" Fossil Lanyard is een kernmantel-touw lanyard (soft goods) -> max_age_mfr_years=10."
88da3263-031d-4efd-a1d2-4f3a82857732,Eyolf,Heimdallr Climbing Chest Harness,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2024/12/A380-Heimdallr-rev5.pdf,,,,,,"Losse borstgordel, alleen te gebruiken in combinatie met een zitgordel (bv. Atavist). Eigen manual (A380-Heimdallr-rev5.pdf), sectie ""Lifespan"": ""This is difficult to estimate but we advise not to use more than ten years after the date of manufacture. Assuming you have used the correct storage, the working life can vary from a ten year span to a single use in extreme circumstances (e.g. highly chemical environment, serious fall). UV light, including sunlight, will reduce the working life."" -> max_age_mfr_years=10."
f2c72174-ddb7-4e58-9101-934a2a4bbecd,Eyolf,Karvi Quickdraw,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2024/12/Sling-web-manual-rev9.pdf,,,,,,"Quickdraw/dogbone voor pick-off rescue door rope-accestechnici. Geen productspecifieke handleiding/PDF vindbaar op eyolf.ca (alleen het generieke inspectieformulier voor deze productgroep). Opnieuw gecontroleerd 2026-09-16: geen handleiding rechtstreeks op déze productpagina (alleen InspectionForm-QD-Slings.pdf), maar het fysiek identieke artikel verkocht als 6-pack ('Karvi Quickdraw Set') linkt wél een handleiding: Sling-web-manual-rev9.pdf (generieke sling/quickdraw-handleiding, curl: 200 application/pdf). LET OP - aanname: hier overgenomen omdat het om hetzelfde product gaat, alleen los verpakt i.p.v. per 6 — niet apart bevestigd op de losse-artikel-pagina zelf. Gedeelde ""Sling manual rev 9"" (generiek voor Eyolf slings/quickdraws, noemt expliciet ""Karvi Quick Draw"" G10 en ""The slings are only to be used as PPE""), sectie ""Lifespan"": ""This is difficult to estimate but we advise not to use more than ten years after the date of manufacture. Assuming you have used the correct storage. The working life can vary..."" -> max_age_mfr_years=10. Let op: dit manual_url wordt niet rechtstreeks vanaf de eigen productpagina (eyolf.ca/shop/karvi-quickdraw/) gelinkt -- daar staat alleen het inspectieformulier; het manual is wel het juiste, correcte Eyolf-document voor dit product (identiek aan wat op de Karvi Quickdraw Set-pagina staat)."
94e85b93-9f75-45c4-98cd-a826e65cbf63,Eyolf,Karvi Quickdraw Set,,,,,,,10,,,,,,,,https://eyolf.ca/wp-content/uploads/2024/12/Sling-web-manual-rev9.pdf,,,,,,"12 cm sling met rechte en gebogen D-connector (hot-forged, keylock-neus). Handleiding staat rechtstreeks op de productpagina, gelabeld 'MANUAL': Sling-web-manual-rev9.pdf - generieke 'Technical Climbing Equipment' sling/quickdraw-handleiding. Geverifieerd met curl: 200, application/pdf. Zelfde ""Sling manual rev 9"" als Karvi Quickdraw (wel rechtstreeks gelinkt vanaf eyolf.ca/shop/karvi-quickdraw-set/), zelfde citaat: ""...do not use more than ten years after the date of manufacture..."" -> max_age_mfr_years=10."
fc1e996d-040b-430f-9261-c144bb39e1e7,Eyolf,Katrol L,,,,,,999,999,,,,,,,,https://eyolf.ca/wp-content/uploads/2024/12/P20-P40-Pulleys-Rev5.pdf,,,,,,"Eigen manual (P20-P40-Pulleys-Rev5.pdf, noemt expliciet ""Name Katrol S / Katrol L, Prod.# P20 / P40""), sectie ""Lifespan/Aging"": ""There is no life expectancy for pulleys, aging does not affect its function. However the working life can be a single use in extreme circumstances..."" -> expliciete unlimited-age uitspraak specifiek voor pulleys (geen extrapolatie van andere producten), dus 999/999. Let op: ""working life can be a single use in extreme circumstances"" gaat over schade/belasting, niet over leeftijd, dus geen tegenspraak."
c15d0b5f-3679-4286-ab41-551b90d3bdfc,Eyolf,Katrol S,,,,,,999,999,,,,,,,,https://eyolf.ca/wp-content/uploads/2024/12/P20-P40-Pulleys-Rev5.pdf,,,,,,"Zelfde manual als Katrol L (P20-P40-Pulleys-Rev5.pdf). ""Lifespan/Aging - There is no life expectancy for pulleys, aging does not affect its function."" -> 999/999."
ad372357-a6f3-480f-9d9e-a4600ecf84ac,Eyolf,Offset D Carabiner,,,,,,,,,,,,,,,,,,,,,"Triple-lock sluiting. Geen productspecifieke handleiding/PDF vindbaar op eyolf.ca (alleen het generieke inspectieformulier voor deze productgroep). Opnieuw gecontroleerd 2026-09-16: productpagina bevat zelfs geen inspectieformulier (in tegenstelling tot de meeste andere productgroepen); het vergelijkbare 'Straight Gate D'-artikel heeft ook geen handleiding. Eenvoudige aluminium karabijnhaken lijken bij Eyolf geen aparte gepubliceerde handleiding te hebben. GEEN manual gevonden: eyolf.ca/shop/offset-d-carabiner/ bevat geen enkele PDF-link (geverifieerd met curl op de ruwe HTML, geen "".pdf"" of ""manual"" in de pagina). Ook het andere connector-product op de site (Straight Gate D) heeft alleen een inspectieformulier (InspectionForm-Connectors.pdf), geen manual -- Eyolf publiceert momenteel kennelijk geen manual voor de connectors-lijn. manual_url daarom leeg gelaten (geen winkel/reseller als noodgreep). Geen leeftijdsvelden in te vullen zonder brontekst. DIT IS EEN ONTBREKENDE HANDLEIDING DIE BIJ VOORKEUR EERST AAN JOS GEMELD WORDT."
