id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
c68010ce-b3a5-42f9-b5cd-8cbdd38c7e90,KONG,Eaw Base,,,,,,10,12,,,,,,,,,,,,,,"Max. lengte 175 cm; scheurwebbing-technologie om de valkracht te beperken. kong.it/en/product/eaw-base/ badge ""Lifetime and Inspections: 2 + 10 years"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ sectie PLASTIC AND TEXTILE: ""A maximum lifespan of 10 years from the date of first use is assigned. A maximum of 2 years of proper storage before first use should be added."" → max_age_use_years=10 (vanaf eerste gebruik), max_age_mfr_years=12 (2+10, vanaf fabricagedatum). Materiaalopgave in eigen handleiding I_KONG_EAW_BASE_Y5632000BFK.pdf: geen aparte onderdelenlijst geëxtraheerd, maar catalogus-notes noemen ""scheurwebbing-technologie"" (energy absorber = polyamide webbing) — bevestigt textiel-/kunststofcomponent. Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
34c1340c-006c-408f-ac63-e412e5fbf870,KONG,Frog,,,,,,10,12,,,,,,,,,,,,,,"Automatisch sluitende connector met vaste pin (niet demontabel), 120mm sling. kong.it/en/product/frog/ badge ""Lifetime and Inspections: 2 + 10 years"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ sectie PLASTIC AND TEXTILE: ""A maximum lifespan of 10 years from the date of first use is assigned. A maximum of 2 years of proper storage before first use should be added."" → max_age_use_years=10 (vanaf eerste gebruik), max_age_mfr_years=12 (2+10, vanaf fabricagedatum). Materiaalopgave in eigen handleiding I_KONG_FROG_Y5860000BEK_01.pdf: ""A Body | B Gates | C Pins | D Sling | E Loop | F Stitching"" / ""Materials: aluminium alloy (A, B), stainless steel (C), polyamide (D, F)"" — vaste polyamide sling (D) + stiksel (F), dus KONG classificeert dit expliciet als ""Mixed"" op kong.it/en/life/ (""Mixed (plastic/textile + metallic) e.g. Frog, Lift, Ciapin Fast ... varies by device, read the manufacturer's individual product instructions"") — bevestigt textiel-/kunststofcomponent. Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
8a7c21a7-357f-45a2-8b4c-254e770c3ae7,KONG,Frog 360,,,,,,999,999,,,,,,,,,,,,,,"Zoals Frog, met textielvriendelijke swivel voor rechtstreekse verbinding met textiel/anti-twist lanyards. kong.it/en/product/frog-360/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_FROG_360_Y5674000BEK_01.pdf: ""Materials: aluminium alloy (A, B, D), stainless steel (C)"" — GEEN polyamide/textiel-onderdeel (de swivel D is metaal, i.t.t. de vaste sling bij ""Frog""/""Frog ANSI""), daarom ondanks vermelding van Frog-familie als ""Mixed""-voorbeeld op kong.it/en/life/ toch individueel ""Unlimited"" op de eigen productpagina — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
e9ce3a55-6401-4f6d-8662-a2349c831b2c,KONG,Frog ANSI,,,,,,10,12,,,,,,,,,,,,,,"ANSI-uitvoering van de Frog, met NFC-chip voor traceerbaarheid. kong.it/en/product/frog-ansi/ badge ""Lifetime and Inspections: 2 + 10 years"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ sectie PLASTIC AND TEXTILE: ""A maximum lifespan of 10 years from the date of first use is assigned. A maximum of 2 years of proper storage before first use should be added."" → max_age_use_years=10 (vanaf eerste gebruik), max_age_mfr_years=12 (2+10, vanaf fabricagedatum). Materiaalopgave in eigen handleiding I_KONG_FROG_ANSI_Y5779000BEK_02.pdf: ""A Body | B Gates | C Pins | D Sling | E Loop | F Stitching"" / ""Textile material: polyamide"" — vaste polyamide sling, zelfde constructie als ""Frog"" — bevestigt textiel-/kunststofcomponent. Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
870a7336-2fe3-4471-84c2-1cb0cc1ffa01,KONG,Futura Body,,,,,,999,999,,,,,,,,,,,,,,"Ultralichte borst-touwklem, onderdeel van het Futura-systeem (Rope Walking System) samen met de Futura Foot. kong.it/en/product/futura-body/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_FUTURA BODY_Y5861000BEK_01.pdf: materiaal-tabel niet goed als platte tekst geëxtraheerd uit PDF, maar KONG's eigen ""Lifetime and Inspections""-badge classificeert dit model direct als ""Unlimited"" — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
54d769a2-a872-4d00-829e-710e1d87b247,KONG,Futura Foot,,,,,,999,999,,,,,,,,,,,,,,"Voetklem van het Futura Rope Walking System (samen met Futura Body); links/rechts leverbaar. Fabrikant vermeldt op deze pagina geen apart EN-normnummer. kong.it/en/product/futura-foot/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_GENERAL_INFO_Y5440B00ZFK.pdf (dit generieke document is zelf de enige door KONG gekoppelde ""User manual"" op de productpagina van Futura Foot — geen apart productspecifiek document beschikbaar): geen productspecifieke onderdelenlijst in dit generieke document (het noemt ""Futura"" nergens) — classificatie komt uitsluitend uit de eigen ""Lifetime and Inspections""-badge op de productpagina — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
d9f18f14-0c90-491c-8f14-1ce835bf4487,KONG,Futura Mini Block,,,,,,999,999,,,,,,,,,,,,,,"Compacte katrol met inschakelbare blokkeerfunctie, voor hijsen bij reddingswerk. kong.it/en/product/futura-mini-block/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_FUTURA_MINIBLOCK_ZZV05661_rev0.pdf: eigen handleiding §5.1: ""The lifespan of metal components is indefinable, theoretically unlimited, while for those affected by aging the date beyond-which the device must be replaced is calculated after 10 years from first use and in any case no later than 12 years from the date-of manufacture."" — dit model bevat geen onderdeel dat aan veroudering onderhevig is, dus valt onder het eerste deel van de zin — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
8da9388b-bdd3-45c2-8896-e269d4d36851,KONG,Harness Carbon Auto Block,,,,,,999,999,,,,,,,,,,,,,,"kong.it/en/product/harness-auto-block/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_CONNECTORS_Y5529A00ZMK.pdf: connector-materiaaltabel in het document: koolstofstaal, ""AUTOBLOCK"" verwijst naar het huls-vergrendelingsmechanisme (niet naar een textiele autoblock-lus) — puur metalen connector — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
821ae7d7-49d9-41eb-bb3c-1c3ab5395b3e,KONG,i-Ovalone DNA Autoblock,,,,,,999,999,,,,,,,,,,,,,,"Stalen uitvoering met NFC-chip. kong.it/en/product/i-ovalone-dna-autoblock/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_CONNECTORS_Y5529A00ZMK.pdf: connector-materiaaltabel: koolstofstaal + NFC-chip, ""AUTOBLOCK"" = huls-vergrendeling, geen textiel — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
741dce39-9141-47f6-b035-32f2631012e3,KONG,Indy Evo Plus,,,,,,999,999,,,,,,,,,,,,,,"Handbediend afdaalapparaat met dubbele auto-blokkering, voor statisch en dynamisch touw. kong.it/en/product/indyevoplus/ badge ""Lifetime and Inspections: Unlimited"" (geraadpleegd 2026-09-20). Onderbouwd door kong.it/en/life/ (""Lifetime of Kong devices"", updated March 2023): tabel ""MAXIMUM LIFETIME"": ""Metallic Unlimited"" en sectie METAL: ""The lifetime is unlimited except for reasons that put it out of service."" Materiaalopgave in eigen handleiding I_KONG_Y5451000BEK_INDY_EVO_PLUS_13072026.pdf: ""Main materials: aluminium alloy, stainless steel and nylon"" (nylon = losse/vervangbare flexibele ankerlijn (L), geen vast onderdeel van het afdaalapparaat zelf) — device zelf blijft ""Unlimited"" per productpagina; let op: sectie ""Service life of the device"" in de handleiding gaat over een aparte energie-/gebruiksteller voor de ankerlijn bij reddinggebruik (EN 341), niet over een leeftijdsgrens van het toestel — geen textiel-/kunststofonderdeel dat veroudert, dus device valt in KONG-eigen ""Metallic""-klasse (niet materiaal-keyword-gok maar KONG's eigen per-product badge + onderdelenlijst). Handleiding-link al aanwezig en correct (curl: HTTP 200, application/pdf) — ongewijzigd gelaten."
