id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
ef3c4fe0-7c75-4e3c-8073-3602d00aa442,Marlow,Gecko 13mm,,,,,,,10,,,,,,,,,,,,,,"Geen vindbare fabrikant-PDF (datasheet/handleiding) — meerdere pogingen op marlowropes.com en shop.marlowropes.com geven een dode link of een soft-404. Specificaties hierboven rechtstreeks van de officiele productpagina (shop.marlowropes.com/gecko-tsgec), bevestigd via screenshot van Jos. Opnieuw gecontroleerd 2026-09-16: ook marlowropes.com/performance/splicing-instructions/ (algemeen, niet productspecifiek) en de eu-declarations-pagina leverden niets op; nog steeds geen EN1891-instructiedocument gevonden. Geen fabrieks-datasheet of handleiding gevonden voor Gecko (gecontroleerd: productpagina https://shop.marlowropes.com/en-gb/gecko-tsgec bevat geen PDF-link; site-search op shop.marlowropes.com en algemene webzoekopdrachten naar ""Gecko datasheet""/""Gecko arboriculture"" leverden geen manufacturer-PDF op). manual_url blijft daarom LEEG — dit is het belangrijkste openstaande punt, graag de link opvragen bij Marlow of Jos om te laten aanleveren. Bron voor max_age_mfr_years: Marlow's eigen FAQ-pagina (https://www.marlowropes.com/services/faqs/), letterlijk citaat: ""When stored correctly the shelf life of all Marlow PPE ropes and most other products is 10 years from date of manufacture."" Dit is een merkbrede uitspraak voor ALLE Marlow PSA-touwen (expliciet ""all Marlow PPE ropes""), niet uit een productspecifiek document (geen aparte PDF-bron voor deze uitspraak gevonden, FAQ is een HTML-pagina). max_age_use_years leeg gelaten: de FAQ koppelt de grens alleen aan de fabricagedatum, niet aan de eerste-gebruiksdatum (""Ropes may remain in service until the end of their shelf life subject to being stored in suitable conditions and passing a pre-use inspection"")."
c773af59-28a2-4b6f-988d-df3ef858cdcd,Marlow,Maverick 11.5mm,,,,,,,10,,,,,,,,https://shop.marlowropes.com/content/files/datasheets/defence/datasheets%20with%20iso%2014001/maverick%20datasheet%20new%202024.pdf,,,,,,"Bestaande manual_url gedownload en gelezen (HTTP 200, application/pdf): dit is een technisch datasheet (afmetingen/sterkte) zonder levensduur-/afkeursectie (""year""/""life""/""shelf"" komt niet voor in de tekst). Bron voor max_age_mfr_years: Marlow's eigen FAQ-pagina (https://www.marlowropes.com/services/faqs/), letterlijk citaat: ""When stored correctly the shelf life of all Marlow PPE ropes and most other products is 10 years from date of manufacture."" Dit is een merkbrede uitspraak voor ALLE Marlow PSA-touwen (expliciet ""all Marlow PPE ropes""), niet uit een productspecifiek document (geen aparte PDF-bron voor deze uitspraak gevonden, FAQ is een HTML-pagina). max_age_use_years leeg gelaten: de FAQ koppelt de grens alleen aan de fabricagedatum, niet aan de eerste-gebruiksdatum (""Ropes may remain in service until the end of their shelf life subject to being stored in suitable conditions and passing a pre-use inspection"")."
262e45a4-0bcd-42aa-aa36-9081188b15c5,Marlow,ProSafe 11mm,,,,,,,10,,,,,,,,https://shop.marlowropes.com/content/files/datasheets/2026/prosafe%20datasheet%202026.pdf,,,,,,"Bestaande manual_url gedownload en gelezen (HTTP 200, application/pdf): technisch datasheet zonder levensduur-/afkeursectie. Bron voor max_age_mfr_years: Marlow's eigen FAQ-pagina (https://www.marlowropes.com/services/faqs/), letterlijk citaat: ""When stored correctly the shelf life of all Marlow PPE ropes and most other products is 10 years from date of manufacture."" Dit is een merkbrede uitspraak voor ALLE Marlow PSA-touwen (expliciet ""all Marlow PPE ropes""), niet uit een productspecifiek document (geen aparte PDF-bron voor deze uitspraak gevonden, FAQ is een HTML-pagina). max_age_use_years leeg gelaten: de FAQ koppelt de grens alleen aan de fabricagedatum, niet aan de eerste-gebruiksdatum (""Ropes may remain in service until the end of their shelf life subject to being stored in suitable conditions and passing a pre-use inspection"")."
857e4615-a83d-47e5-addd-52cc7871e55a,Marlow,Typhoon 12.2mm,,,,,,,10,,,,,,,,https://shop.marlowropes.com/content/files/datasheets/defence/datasheets%20with%20iso%2014001/typhoon%202024%20.pdf,,,,,,"Bestaande manual_url gedownload en gelezen (HTTP 200, application/pdf): technisch datasheet zonder levensduur-/afkeursectie. Bron voor max_age_mfr_years: Marlow's eigen FAQ-pagina (https://www.marlowropes.com/services/faqs/), letterlijk citaat: ""When stored correctly the shelf life of all Marlow PPE ropes and most other products is 10 years from date of manufacture."" Dit is een merkbrede uitspraak voor ALLE Marlow PSA-touwen (expliciet ""all Marlow PPE ropes""), niet uit een productspecifiek document (geen aparte PDF-bron voor deze uitspraak gevonden, FAQ is een HTML-pagina). max_age_use_years leeg gelaten: de FAQ koppelt de grens alleen aan de fabricagedatum, niet aan de eerste-gebruiksdatum (""Ropes may remain in service until the end of their shelf life subject to being stored in suitable conditions and passing a pre-use inspection"")."
cd0626f1-2a91-4c7d-8be7-2644585b6035,Marlow,Vega 11.7mm,,,,,,,10,,,,,,,,https://www.shopusa.marlowropes.com/content/files/datasheets/arboriculture/2021%20vega%20datasheet%20ma%20da%20001.pdf,,,,,,"Voldoet aan alle Type A-eisen behalve de dynamische valtest (die op Type B-niveau zit); ook ANSI Z133-conform. Marlow classificeert 'm daarom formeel als Type B. Bestaande manual_url gedownload en gelezen (HTTP 200, application/pdf): technisch datasheet zonder levensduur-/afkeursectie. Poging om een uitgebreidere EN1891-instructiehandleiding te vinden op www.marlowropes.com/wp-content/uploads/2022/11/11.7mm-Vega-EN-1891.pdf mislukte (site geeft bot-verificatiepagina i.p.v. PDF, zowel via curl als via fetch-tool). Bron voor max_age_mfr_years: Marlow's eigen FAQ-pagina (https://www.marlowropes.com/services/faqs/), letterlijk citaat: ""When stored correctly the shelf life of all Marlow PPE ropes and most other products is 10 years from date of manufacture."" Dit is een merkbrede uitspraak voor ALLE Marlow PSA-touwen (expliciet ""all Marlow PPE ropes""), niet uit een productspecifiek document (geen aparte PDF-bron voor deze uitspraak gevonden, FAQ is een HTML-pagina). max_age_use_years leeg gelaten: de FAQ koppelt de grens alleen aan de fabricagedatum, niet aan de eerste-gebruiksdatum (""Ropes may remain in service until the end of their shelf life subject to being stored in suitable conditions and passing a pre-use inspection"")."
eeced424-680f-427a-a6b6-34d8fc5dbb97,Marlow,Vesper 11.8mm,,,,,,,10,,,,,,,,https://shop.marlowropes.com/content/files/datasheets/defence/datasheets%20with%20iso%2014001/vesper%20datasheet%202024.pdf,,,,,,"Bestaande manual_url gedownload en gelezen (HTTP 200, application/pdf): technisch datasheet zonder levensduur-/afkeursectie. Bron voor max_age_mfr_years: Marlow's eigen FAQ-pagina (https://www.marlowropes.com/services/faqs/), letterlijk citaat: ""When stored correctly the shelf life of all Marlow PPE ropes and most other products is 10 years from date of manufacture."" Dit is een merkbrede uitspraak voor ALLE Marlow PSA-touwen (expliciet ""all Marlow PPE ropes""), niet uit een productspecifiek document (geen aparte PDF-bron voor deze uitspraak gevonden, FAQ is een HTML-pagina). max_age_use_years leeg gelaten: de FAQ koppelt de grens alleen aan de fabricagedatum, niet aan de eerste-gebruiksdatum (""Ropes may remain in service until the end of their shelf life subject to being stored in suitable conditions and passing a pre-use inspection"")."
0b478dd6-c67c-43a9-8d11-cfb4acd2b95c,Tango,SANITY Prusik Rope,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden. Tango is het eigen merk van //DRAYER (opgericht 2009 door Friedrich Drayer, Glottertal, Duitsland) - drayer.de is dus de fabrikant/producent zelf, geen winkel (bevestigd: 'Tango-Baumpflegeausruestung' onder drayer.de/eigenmarken/tango/). Zowel de Engelse als Duitse productpagina tonen alleen een beschrijvingstab en technische tabel, geen 'documenten'-tab en geen PDF-links (in tegenstelling tot bv. het Drayer Rope Runner-apparaat, dat wel een instructie-PDF op drayer.de/media/pdf/... heeft). Ook de merkpagina drayer.de/en/tango/ en de site breed (geen /downloads, /service e.d.) bevatten niets. tango-tools.com is een niet-gerelateerd/geparkeerd domein. Resellers (wesspur.com, arbogear.com, skyman.cz, fallprotection.cz) bewust niet gebruikt conform afspraak (geen winkels/resellers als handleiding-bron, wesspur expliciet uitgesloten). Advies: rechtstreeks navragen bij Drayer. Geen fabrikants-PDF (datasheet/handleiding) gevonden voor dit Tango SANITY-product op drayer.de: productpagina's (EN: /en/shop/ropes-and-slings/climbing/prusik-ropes/132/tango-sanity-prusik-rope en /en/shop/ropes-and-slings/slings/prusik-slings/572/tango-sanity-prusik-sling, en de Duitse varianten) bevatten geen PDF-link; site-search naar site:drayer.de ""media/pdf"" + Tango/SANITY/prusik levert alleen documenten van andere merken op (bv. Tree Austria Pro, Micro Traxion). Tango is een huismerk van Drayer (fabrikant = winkel, conform CLAUDE.md-uitzondering), dus drayer.de is wel de juiste bron — die bevat het alleen niet voor dit product. Algemene richtlijnen van bergsportverenigingen (DAV/Alpenverein e.d.: doorgaans 10 jaar vanaf eerste gebruik voor textiel-PSA) zijn BEWUST NIET gebruikt: dat is geen Tango/Drayer-eigen uitspraak en zou een verboden extrapolatie tussen merken zijn. manual_url, max_age_use_years en max_age_mfr_years blijven daarom leeg. manual_url is het belangrijkste openstaande punt — graag rechtstreeks bij Drayer/Tango navragen."
185dc32f-143c-46f9-a57b-b84b75b54ef2,Tango,SANITY Prusik Sling 60 cm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden. Tango is het eigen merk van //DRAYER (opgericht 2009 door Friedrich Drayer, Glottertal, Duitsland) - drayer.de is dus de fabrikant/producent zelf, geen winkel (bevestigd: 'Tango-Baumpflegeausruestung' onder drayer.de/eigenmarken/tango/). Zowel de Engelse als Duitse productpagina tonen alleen een beschrijvingstab en technische tabel, geen 'documenten'-tab en geen PDF-links (in tegenstelling tot bv. het Drayer Rope Runner-apparaat, dat wel een instructie-PDF op drayer.de/media/pdf/... heeft). Ook de merkpagina drayer.de/en/tango/ en de site breed (geen /downloads, /service e.d.) bevatten niets. tango-tools.com is een niet-gerelateerd/geparkeerd domein. Resellers (wesspur.com, arbogear.com, skyman.cz, fallprotection.cz) bewust niet gebruikt conform afspraak (geen winkels/resellers als handleiding-bron, wesspur expliciet uitgesloten). Advies: rechtstreeks navragen bij Drayer. Geen fabrikants-PDF (datasheet/handleiding) gevonden voor dit Tango SANITY-product op drayer.de: productpagina's (EN: /en/shop/ropes-and-slings/climbing/prusik-ropes/132/tango-sanity-prusik-rope en /en/shop/ropes-and-slings/slings/prusik-slings/572/tango-sanity-prusik-sling, en de Duitse varianten) bevatten geen PDF-link; site-search naar site:drayer.de ""media/pdf"" + Tango/SANITY/prusik levert alleen documenten van andere merken op (bv. Tree Austria Pro, Micro Traxion). Tango is een huismerk van Drayer (fabrikant = winkel, conform CLAUDE.md-uitzondering), dus drayer.de is wel de juiste bron — die bevat het alleen niet voor dit product. Algemene richtlijnen van bergsportverenigingen (DAV/Alpenverein e.d.: doorgaans 10 jaar vanaf eerste gebruik voor textiel-PSA) zijn BEWUST NIET gebruikt: dat is geen Tango/Drayer-eigen uitspraak en zou een verboden extrapolatie tussen merken zijn. manual_url, max_age_use_years en max_age_mfr_years blijven daarom leeg. manual_url is het belangrijkste openstaande punt — graag rechtstreeks bij Drayer/Tango navragen."
a195a998-83d3-4a03-92b1-f2fb86426138,Tango,SANITY Prusik Sling 70 cm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden. Tango is het eigen merk van //DRAYER (opgericht 2009 door Friedrich Drayer, Glottertal, Duitsland) - drayer.de is dus de fabrikant/producent zelf, geen winkel (bevestigd: 'Tango-Baumpflegeausruestung' onder drayer.de/eigenmarken/tango/). Zowel de Engelse als Duitse productpagina tonen alleen een beschrijvingstab en technische tabel, geen 'documenten'-tab en geen PDF-links (in tegenstelling tot bv. het Drayer Rope Runner-apparaat, dat wel een instructie-PDF op drayer.de/media/pdf/... heeft). Ook de merkpagina drayer.de/en/tango/ en de site breed (geen /downloads, /service e.d.) bevatten niets. tango-tools.com is een niet-gerelateerd/geparkeerd domein. Resellers (wesspur.com, arbogear.com, skyman.cz, fallprotection.cz) bewust niet gebruikt conform afspraak (geen winkels/resellers als handleiding-bron, wesspur expliciet uitgesloten). Advies: rechtstreeks navragen bij Drayer. Geen fabrikants-PDF (datasheet/handleiding) gevonden voor dit Tango SANITY-product op drayer.de: productpagina's (EN: /en/shop/ropes-and-slings/climbing/prusik-ropes/132/tango-sanity-prusik-rope en /en/shop/ropes-and-slings/slings/prusik-slings/572/tango-sanity-prusik-sling, en de Duitse varianten) bevatten geen PDF-link; site-search naar site:drayer.de ""media/pdf"" + Tango/SANITY/prusik levert alleen documenten van andere merken op (bv. Tree Austria Pro, Micro Traxion). Tango is een huismerk van Drayer (fabrikant = winkel, conform CLAUDE.md-uitzondering), dus drayer.de is wel de juiste bron — die bevat het alleen niet voor dit product. Algemene richtlijnen van bergsportverenigingen (DAV/Alpenverein e.d.: doorgaans 10 jaar vanaf eerste gebruik voor textiel-PSA) zijn BEWUST NIET gebruikt: dat is geen Tango/Drayer-eigen uitspraak en zou een verboden extrapolatie tussen merken zijn. manual_url, max_age_use_years en max_age_mfr_years blijven daarom leeg. manual_url is het belangrijkste openstaande punt — graag rechtstreeks bij Drayer/Tango navragen."
749f8edf-e8a4-4bb8-b136-6fc3b7990383,Tango,SANITY Prusik Sling 80 cm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden. Tango is het eigen merk van //DRAYER (opgericht 2009 door Friedrich Drayer, Glottertal, Duitsland) - drayer.de is dus de fabrikant/producent zelf, geen winkel (bevestigd: 'Tango-Baumpflegeausruestung' onder drayer.de/eigenmarken/tango/). Zowel de Engelse als Duitse productpagina tonen alleen een beschrijvingstab en technische tabel, geen 'documenten'-tab en geen PDF-links (in tegenstelling tot bv. het Drayer Rope Runner-apparaat, dat wel een instructie-PDF op drayer.de/media/pdf/... heeft). Ook de merkpagina drayer.de/en/tango/ en de site breed (geen /downloads, /service e.d.) bevatten niets. tango-tools.com is een niet-gerelateerd/geparkeerd domein. Resellers (wesspur.com, arbogear.com, skyman.cz, fallprotection.cz) bewust niet gebruikt conform afspraak (geen winkels/resellers als handleiding-bron, wesspur expliciet uitgesloten). Advies: rechtstreeks navragen bij Drayer. Geen fabrikants-PDF (datasheet/handleiding) gevonden voor dit Tango SANITY-product op drayer.de: productpagina's (EN: /en/shop/ropes-and-slings/climbing/prusik-ropes/132/tango-sanity-prusik-rope en /en/shop/ropes-and-slings/slings/prusik-slings/572/tango-sanity-prusik-sling, en de Duitse varianten) bevatten geen PDF-link; site-search naar site:drayer.de ""media/pdf"" + Tango/SANITY/prusik levert alleen documenten van andere merken op (bv. Tree Austria Pro, Micro Traxion). Tango is een huismerk van Drayer (fabrikant = winkel, conform CLAUDE.md-uitzondering), dus drayer.de is wel de juiste bron — die bevat het alleen niet voor dit product. Algemene richtlijnen van bergsportverenigingen (DAV/Alpenverein e.d.: doorgaans 10 jaar vanaf eerste gebruik voor textiel-PSA) zijn BEWUST NIET gebruikt: dat is geen Tango/Drayer-eigen uitspraak en zou een verboden extrapolatie tussen merken zijn. manual_url, max_age_use_years en max_age_mfr_years blijven daarom leeg. manual_url is het belangrijkste openstaande punt — graag rechtstreeks bij Drayer/Tango navragen."
