id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
9b864ef0-94e1-4e48-bbbb-fdcd46fef0ae,Rock Empire,Ascender,ppe,rope_clamps,,,,10,15,,,,,,,,,,,,,,"Mechanische touwklem/stijgklem (hand-ascender), anatomisch handvat, geveerde borgpal, twee bevestigingsgaten. Gewicht 0,213 kg. Links/rechts uitvoering (oranje/zwart), elk met individueel lasergraveer-serienummer -- mogelijk bruikbaar als serial_number_location-aanwijzing maar exacte locatie niet expliciet beschreven op site. manual_url = gedeelde stijgklem/blokant-handleiding, curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url in producten.csv reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; sectie ""Rope Clamps, Rope Adjustment Devices"" noemt dit model letterlijk ""ASCENDER L, P""). Materialen volgens handleiding: ""Aluminium Alloy, Stainless Steel, Steel, Nylon, Elastomer"". Sectie ""Lifetime and Inspection"", letterlijk: ""Metal and plastic products have a lifetime of 10 + 5 years (5 years of storage according to instructions for use, 10 years from date of first use)."" -> max_age_use_years=10 (vanaf eerste gebruik), max_age_mfr_years=15 (5 opslag + 10 gebruik, vanaf fabricagedatum) -- zelfde interpretatie als eerder toegepast bij KONG ""2+10""-formule (badge kong.it/en/life/). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
1ca23fb6-dc4e-4110-aa74-71bb0a67e486,Rock Empire,Galeos Evo,ppe,helmet,,,,,5,,,,,,,,,,,,,,"Klim-/bergsporthelm met draaiwiel-verstelsysteem, 11 ventilatiegaten, hoofdlamp-clips. Gewicht 272-306 g, maatbereik 55-63 cm (2 maten). EN 12492 (geen aparte EN 397-certificering aangetroffen). manual_url curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), model expliciet genoemd: ""Model: Galeos Evo (SP-C008)"". Sectie ""6. Lifetime"", letterlijk: ""Lifetime = storage time before first use+ actual using time. ... The lifetime of the helmet is 5 years, or when the product as part of a system becomes obsolete for use."" -> dit is een TOTAAL (opslag+gebruik samen) vanaf fabricagedatum van 5 jaar, geen aparte ""vanaf eerste gebruik""-grens -> max_age_mfr_years=5, max_age_use_years leeg gelaten (zelfde patroon als bij Buckingham-zadels: een totaalcijfer vanaf fabricagedatum gaat alleen in het mfr-veld). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
125b9f98-4cce-4e8d-ac06-c0deabbf5481,Rock Empire,Golem,ppe,descenders,,,,999,999,,,,,,,,,,,,,,"Compacte zelfremmende afdaalapparaat voor rope access/professioneel gebruik en reddingswerk. Gewicht 0,55 kg. Diameterbereik verschilt per norm/modus: EN12841 type C (max 250 kg) werkt op touwen van 10/12 mm, EN15151-1 op 9,3-11 mm -- hier het volledige bereik 9,3-12 mm ingevuld, zie notes voor nuance per normmodus. Max. capaciteit EN341: 200 m. manual_url curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; kop ""Descender device, Rope adjustment device"", model ""Golem"" staat op de titelpagina). Materialen: ""Stainless Steel, Plastic PA"". Sectie ""Lifetime and Inspection"", letterlijk: ""Metal and plastic products theoretically have an unlimited lifetime, provided they are used and stored correctly."" -> expliciet onbeperkt verklaard. Let op: dit is een ANDERE clausule dan de ""10 + 5 years""-clausule die in de Rock Empire-handleidingen voor rope clamps/harnassen/lanyards staat voor dezelfde materiaalcombinatie metaal+kunststof -- dus categorie-gebaseerd (descenders vs. rope clamps/harnassen), niet materiaal-gebaseerd, zoals gevraagd. max_age_use_years=999, max_age_mfr_years=999 (UNLIMITED_AGE). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
8af2a726-cdc1-44be-a9e0-6785235de756,Rock Empire,Master Up DRC,ppe,harnesses,,,,10,15,,,,,,,,,,,,,,"Volledig werkharnas met patent D-RING-CONNECT (openbare D-ring als voorste aansluitpunt) en geintegreerde Chest Up borststijgklem met zwenkmechanisme. Gewicht 2,305 kg; taille 70-130 cm, beenlus 54-80 cm. Max. gebruikersgewicht: 150 kg (EN358) resp. 140 kg (EN361/EN813) -- hier 140 kg ingevuld als strengste/algemene waarde, 150 kg voor werkpositionering apart vermeld. Gemaakt in EU. Aparte DRC-instructiekaart ('drc_web.pdf') ook beschikbaar naast algemene harnas-handleiding; beide curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; kop ""Harness Sit / Chest / Full Body / Work Position Belt"" -- generieke harnas-handleiding voor de hele reeks, model ""Master Up DRC"" niet apart bij naam genoemd, gebaseerd op categorie ""harnesses""). Sectie ""Life and inspections"", letterlijk: ""The life of textile products is 10 + 5 years (5 years of storage in compliance with the instructions, 10 years from the first use)."" -> max_age_use_years=10, max_age_mfr_years=15 (zelfde 5+10-formule als bij metaal/kunststof, hier voor textiel/webbing). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
13516b93-79eb-4ba1-951b-80e0600b7aa2,Rock Empire,Sherman,ppe,harnesses,,,,10,15,,,,,,,,,,,,,,"Arborist-zadel/zitharnas, ontwikkeld i.s.m. ervaren klimmers, twee verstelbare touw-bridges (rope bridges) meegeleverd, vervangbare bridges/zijbanden apart verkrijgbaar. Gewicht 1853 g (S-M) / 1947 g (L-XL). Ontworpen en vervaardigd in Europa. manual_url = gedeelde 'instruction_arbo' handleiding voor de arboriculture-lijn, curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), model expliciet genoemd bovenaan het document: ""Sherman"". Sectie ""Life and inspections"", letterlijk: ""The life of textile products is 10 + 5 years (5 years of storage in compliance with the instructions, 10 years from the first use)."" -> max_age_use_years=10, max_age_mfr_years=15. manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
29778a8d-db85-4cb2-9ee7-21329bc6164d,Rock Empire,STAND,ppe,positioning_lanyards,,,,10,15,,,,,,,,,,,,,,"Verstelbare positioneringslijn voor touwgebonden werk (opstijgen, positioneren, hangen), lengtes 100/200/250 cm, gewicht 205-331 g afhankelijk van lengte, val-factor < 1. Karabiner niet inbegrepen. Gemaakt in EU. manual_url curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), model expliciet en herhaaldelijk genoemd: ""STAND"" (o.a. ""STAND V EN 795""). Sectie ""Lifetime and checks"", letterlijk: ""The lifetime of products from metal and plastic is 10 + 5 years (5 years of storage in accordance with the instruction manual, and 10 years from the first time they were used)."" -> max_age_use_years=10, max_age_mfr_years=15 (materiaal roestvrij staal + polyamide/polyester valt in déze STAND-specifieke handleiding expliciet onder de ""metal and plastic""-clausule). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
636e701d-1a57-4d35-af75-c0d7e9c6d92d,Rock Empire,Steel Carabiner O KL-2T,ppe,connectors,,,,,,,,,,,,,,,,,,,"Sluiting: twistlock 2-weg ('twist-lock systeem' met keylock-neus). Gewicht 174 g, opening 17 mm. Gecertificeerd voor zowel sport (EN12275) als industrieel/PBM-gebruik (EN362). manual_url = gedeelde karabiner-handleiding, curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; kop ""Connectors / Verbindungselemente / Karabiner""). Sectie ""Service life and inspections"", letterlijk: ""All-metal product life is limited by functionality, wear, deformation and oxidization (corrosion). Should the authorised person establish that the product is not capable of further safe use, it is their responsibility to recommend discontinuation of its further use although its life time has not elapsed yet."" -> GEEN concreet getal en GEEN ""unlimited""-verklaring (in tegenstelling tot de Golem-descender in dezelfde merklijn, die wel expliciet ""unlimited"" zegt) -- dit is een andere, vagere formulering die slijtage/corrosie noemt zonder cijfer of ""onbeperkt"". Daarom bewust BEIDE velden leeg gelaten (geen gok, niet geëxtrapoleerd vanaf Golem). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
406ad87b-cdd8-40b9-83de-6c9aad905608,Harkie,Cambium Saver 0.9m,ppe,cambium_saver,,,,,,,,,,,,,,,,,,,"Incl. 1 kleine en 1 grote ring, serienummer aanwezig. Handleiding niet gevonden op productpagina. Opnieuw gecontroleerd 2026-09-16: productcode H2331 bevestigd; geen 'Documents'/'Downloads'-tab in de WooCommerce-tabs (alleen Description, Delivery & Returns, FAQs, Reviews). Harkie publiceert wel per-product 'User Instructions'-PDF's voor andere producten (bv. User-Instructions-H2411-HMS.pdf), maar geraden bestandsnamen met dit productcode gaven 404. Vraag aan Jos: Harkie rechtstreeks vragen of er een losse instructie-PDF voor de cambium saver bestaat? GEEN manual_url gevonden. Productcode geverifieerd via de eigen productpagina (harkieglobal.com/product/harkie-cambium-saver-0-9m/): SKU H2331. Harkie Global publiceert geen productspecifieke handleiding hiervoor: de volledige documentbibliotheek van harkieglobal.com is doorzocht via de eigen WordPress REST API (wp-json/wp/v2/media?media_type=application, 16 documenten in totaal, inclusief zoektermen ""cambium""/""H2331"") -- geen van deze documenten gaat over de cambium saver. De productpagina zelf bevat geen downloads-/instructiesectie. manual_url en max_age-velden daarom leeg gelaten -- dit is een geval waarbij eerst om de link aan Jos/Harkie gevraagd moet worden voordat er verder gegokt wordt."
0fe3a81a-b6ca-4ee7-9922-a0b005e57cb4,Harkie,Cambium Saver 1.2m,ppe,cambium_saver,,,,,,,,,,,,,,,,,,,"Zie H2331 (0.9m) voor algemene toelichting. Opnieuw gecontroleerd 2026-09-16: productcode H2332 bevestigd, zelfde resultaat (geen documenten-tab, geraden bestandsnamen gaven 404). GEEN manual_url gevonden. Productcode geverifieerd via de eigen productpagina (harkieglobal.com/product/harkie-cambium-saver-1-2m/): SKU H2332. Zelfde bevinding als bij de 0.9m-versie: volledige documentbibliotheek van harkieglobal.com doorzocht via de eigen WordPress REST API (16 documenten totaal) -- geen productspecifieke handleiding voor de cambium saver aanwezig. manual_url en max_age-velden daarom leeg gelaten -- vraag om de link aan Jos/Harkie voordat verder gegokt wordt."
7f1e36b7-ad2b-4fec-8558-0fa8eb420d6b,Harkie,HMS Karabiner - supersafe 3-weg,ppe,connectors,,,,999,999,,,,,,,,,,,,,,"HMS-vormige (peervormige) karabiner, individueel serienummer. Sluiting expliciet omschreven als 'three-way locking gate' (drievoudige beveiliging) = supersafe 3-weg. Leverbaar in blauw/groen/oranje/paars en als 4-pack, zelfde specificaties. manual_url curl-geverifieerd: 200 application/pdf. Harkie eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), productcode bevestigd in de handleiding zelf: ""Harkie HMS Orange Tree Karabiner (H2411)"", materiaal ""7075 Aluminium"", normen ""EN362:2004/B & EN12275:2013/H"". Sectie ""Obsolescence"", letterlijk: ""The lifetime of the product is unlimited, unless any defect appears."" -> max_age_use_years=999, max_age_mfr_years=999 (UNLIMITED_AGE). manual_url ongewijzigd gelaten (al correct, dus hier leeg)."
