id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
7f80a46c-af08-4ff1-866c-8a53822d76fb,Rock Exotica,Akimbo,,,,,,999,999,,,,,,,,,,,,,,"Manual (akimbo_user_manual.pdf), sectie ""Additional Information / Lifetime"": ""Lifetime: Unlimited, but will often be much less depending on conditions and use; it could even be a single use in some cases."" Zelfde manual vermeldt ook expliciet dat de boven- en onderste cams slijten en de Akimbo bij falen van de functietest uit dienst moet. Fabrikant stelt ""unlimited"" toch expliciet vast voor dit specifieke product (geen extrapolatie vanuit een ander product) -> 999/999 ingevuld, maar dit is een mechanisch frictie-apparaat (geen kale metalen hardware) -- twijfelgeval, graag door Jos laten meebeoordelen."
4b2a70dd-60b9-44e2-8b80-a95011925956,Rock Exotica,Akimbo²,,,,,,999,999,,,,,,,,,,,,,,"Zelfde manual_url als ""Akimbo"" (akimbo_user_manual.pdf) -- er is geen apart Akimbo²-document gevonden op rockexotica.com. Manual, sectie ""Additional Information / Lifetime"": ""Lifetime: Unlimited, but will often be much less depending on conditions and use; it could even be a single use in some cases."" Tekst noemt alleen ""Akimbo"", niet expliciet ""Akimbo²"" -- twijfelgeval: verifieer of dit ook voor de Akimbo² geldt of dat er een eigen manual/tech-notice voor de Akimbo² bestaat die nog niet aan ons bekend is."
bc0f405a-3aca-4b48-8da4-fa40e26f346b,Rock Exotica,AZTEK Pulley (individual),,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: aztek-tech-notice.pdf."
b117da3c-36d4-460a-b016-4614704f829e,Rock Exotica,Hydra Triple Attachment Pulley,,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: hydra-tech-notice.pdf."
27a45353-8f35-4f82-848f-87a54471f433,Rock Exotica,Kootenay Ultra,,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: kootenay-tech-notice.pdf."
437d0353-fef0-402e-959b-7cb5d04fe6ec,Rock Exotica,"Machined Mini Pulley 1.1"" Double",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: machined-pulley-tech-notice.pdf."
1f0f1c38-ebce-4e99-a5fb-701f133bdd5b,Rock Exotica,"Machined Mini Pulley 1.1"" Single",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: machined-pulley-tech-notice.pdf."
8367bc68-96ba-4da4-9555-73d019a5458d,Rock Exotica,"Machined Rescue Pulley 1.5"" Double",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: machined-pulley-tech-notice.pdf."
9569d7ad-679d-446f-b820-1100d734b29a,Rock Exotica,"Machined Rescue Pulley 1.5"" Single",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: machined-pulley-tech-notice.pdf."
d7955846-6223-4818-85ed-a8649297ab22,Rock Exotica,NanoSwivel,,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: swivel-tech-notice.pdf."
09440506-a676-4a91-a5b8-b7fc4364ac5d,Rock Exotica,"Omni-Block 1.1"" Single",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
631defa5-1ecc-40a7-b3b1-23865fd7ba68,Rock Exotica,"Omni-Block 1.5"" Double",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
46c45f6a-a84c-488f-8aae-54a00db3c5eb,Rock Exotica,"Omni-Block 1.5"" Shackle-Top",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
287fabd6-f174-4f8d-bd60-8a55d022cd05,Rock Exotica,"Omni-Block 1.5"" Single",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
0e372d35-05a2-4985-b02d-8133be3c7141,Rock Exotica,"Omni-Block 1.5"" Stainless Sheave",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
ce105569-99dc-486f-86cb-b969df0e421d,Rock Exotica,"Omni-Block 2.0"" Double",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
ab772252-9fb7-4920-87c0-690ce265ef1b,Rock Exotica,"Omni-Block 2.0"" Single",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
2aba8376-e0a1-4775-b9b4-fde1cfde6a15,Rock Exotica,"Omni-Block 2.6"" Single",,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: omni-tech-notice.pdf."
e9b184d6-68f7-4899-b249-27d88dc9d771,Rock Exotica,Orbitor Swivel,,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: swivel-tech-notice.pdf."
83924dda-d8a7-41bc-99d5-c1296f76a087,Rock Exotica,PentaPlate,,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: rig-plate-tech-notice.pdf."
806a3f7e-8566-4301-9814-e10ddff5912b,Rock Exotica,Pirate Auto-Lock Carabiner,,,,,,999,999,,,,,,,,,,,,,,"Manual (Rock Exotica General Instructions, in dit tech-notice/manual meegedrukt): ""Lifetime: Unlimited for metal products, but will often be much less depending on conditions and frequency of use; it could even be a single use in some cases."" Zuiver metalen hardware (geen textiel/kunststof slijtdeel) -> unlimited-vlag (999) op beide leeftijdsvelden; conditie/inspectie blijft bepalend, niet leeftijd. Bron: aluminum-carabiner-tech-notice.pdf."
