id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
cf1d9359-75f6-4699-b5c9-7109099e29ea,Singing Rock,ASC LINK carabiner,,,,,,999,999,,,,,,,,,,,,,,"Karabiner voor het verbinden van zit- en borstharnas t.b.v. integratie van de borstascender, sluiting: supersafe 3-weg ('triple lock'), gate opening 24mm, 115g. Handleiding curl-geverifieerd: 200 application/pdf. Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding: ""made of anodized light alloy"" (karabijnhaak, categorie=connectors)."
a2c47153-ebb3-4a82-a6d6-1e1152d02ee5,Singing Rock,BORA / screw,,,,,,999,999,,,,,,,,,,,,,,"HMS-karabiner, sluiting: screwgate (fabrikant: 'screw lock'), Keylock neus, gate opening 22mm, 63g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad): ""The connectors are made of zinc plated steel; polished or anodized light alloy..."" (karabijnhaak)."
b9d9eea4-2141-4918-a39b-3d9dee597158,Singing Rock,BORA / triple lock,,,,,,999,999,,,,,,,,,,,,,,"HMS-karabiner, sluiting: supersafe 3-weg (fabrikant: 'triple lock' = handmatige 3-staps sluiting), Keylock neus, gate opening 22mm, 68g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad): ""The connectors are made of zinc plated steel; polished or anodized light alloy..."" (karabijnhaak)."
2af128e6-838f-4920-8c9c-55ebd2dd5f6d,Singing Rock,BORA / TWL,,,,,,999,999,,,,,,,,,,,,,,"HMS-karabiner, sluiting: twistlock 2-weg (fabrikant: 'twist lock'), Keylock neus, gate opening 22mm, 68g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad): ""The connectors are made of zinc plated steel; polished or anodized light alloy..."" (karabijnhaak)."
cf207b3e-c084-48c2-a25b-87067e4c7c9b,Singing Rock,HECTOR / screw,,,,,,999,999,,,,,,,,,,,,,,"Grote HMS-karabiner, sluiting: screwgate, Keylock neus, gate opening 26mm, 83g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad, gedeeld met BORA/OXY): ""The connectors are made of zinc plated steel; polished or anodized light alloy...""."
2f84a233-9b15-40b3-96e9-78176dd66eb3,Singing Rock,HECTOR / triple lock,,,,,,999,999,,,,,,,,,,,,,,"Grote HMS-karabiner, sluiting: supersafe 3-weg ('triple lock'), Keylock neus, gate opening 26mm, 89g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad, gedeeld met BORA/OXY): ""The connectors are made of zinc plated steel; polished or anodized light alloy...""."
51c1963a-dba4-4241-a4f1-29f9a455ed43,Singing Rock,OXY / screw,,,,,,999,999,,,,,,,,,,,,,,"Ovale karabiner, sluiting: screwgate, Keylock neus, gate opening 21mm, 74g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad, gedeeld met BORA/HECTOR): ""The connectors are made of zinc plated steel; polished or anodized light alloy...""."
ad13a759-6f33-4058-a770-cb9f7c96266c,Singing Rock,OXY / triple lock,,,,,,999,999,,,,,,,,,,,,,,"Ovale karabiner, sluiting: supersafe 3-weg ('triple lock'), Keylock neus, gate opening 21mm, 81g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad, gedeeld met BORA/HECTOR): ""The connectors are made of zinc plated steel; polished or anodized light alloy...""."
94372cc7-b378-4b88-a4f0-9be09483853e,Singing Rock,OXY / TWL,,,,,,999,999,,,,,,,,,,,,,,"Ovale karabiner, sluiting: twistlock 2-weg, Keylock neus, gate opening 21mm, 81g. Handleiding is het gedeelde 'Connectors' IOU-document voor de BORA/OXY/HECTOR-lichtmetalen-karabijnerfamilie (curl-geverifieerd: 200 application/pdf). Materiaal 'light alloy' (aluminium) en normen EN 12275 + EN 362 bevestigd op individuele productpagina (bora-screw). Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding (CONNECTORS-blad, gedeeld met BORA/HECTOR): ""The connectors are made of zinc plated steel; polished or anodized light alloy...""."
e924aa18-e669-461c-b782-1828af42e38a,Singing Rock,CAM CLEAN,,,,,,999,999,,,,,,,,,,,,,,"Borstascender voor veilig en soepel opstijgen, 125 g. Handleiding curl-geverifieerd: 200 application/pdf. Eigen handleiding (huidige manual_url), sectie LIFETIME: ""The product's lifetime depends on the intensity of use... Without consideration for wear or mechanical damage and provided that all conditions specified in this manual are met, the lifespan is not strictly limited."" Zuiver metalen product (behuizing/frame van geëloxeerd lichtmetaal en/of rvs, geen tekstiel-onderdelen genoemd in eigen handleiding) — geïnterpreteerd als expliciete ""geen leeftijdsgrens""-uitspraak, op beide assen (fabrikant splitst hier niet tussen fabricage- en gebruiksjaren zoals bij tekstiel wel gebeurt). Materiaal bevestigd in eigen handleiding: ""The ascenders are made of anodized light alloy; stainless steel..."" (klemgeleider, categorie=rope_clamps)."
