id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
4424fade-60cb-4403-a7af-da92997d9879,SMC,Apex 1.1 Single w/ Swivel,,,,,,999,999,,,,,,,,,,,,,,"SMC User Instruction Sheet (smcgear.com, download sample_id 66/91, 2 p.): sectie 11 LIFESPAN: ""Under moderate use, with limited exposure to moisture, salt water, solvents, chemical reagents, excessive loads, shock loading and excessive wear, the lifespan of the product is unlimited. However, events such as taking a large dynamic load, dropping, exposure to UV or other events which cause physical damage, can reduce the lifespan of this product dramatically."" -> expliciet ""unlimited"", dus UNLIMITED_AGE (999) voor beide velden. manual_url bevestigd (curl 200, application/pdf), ongewijzigd."
7d8957d4-e89f-48ff-a8d7-0fb3579f7b97,SMC,Apex 1.5 Single w/ Swivel,,,,,,999,999,,,,,,,,,,,,,,"SMC User Instruction Sheet (smcgear.com, download sample_id 66/91, 2 p.): sectie 11 LIFESPAN: ""Under moderate use, with limited exposure to moisture, salt water, solvents, chemical reagents, excessive loads, shock loading and excessive wear, the lifespan of the product is unlimited. However, events such as taking a large dynamic load, dropping, exposure to UV or other events which cause physical damage, can reduce the lifespan of this product dramatically."" -> expliciet ""unlimited"", dus UNLIMITED_AGE (999) voor beide velden. manual_url bevestigd (curl 200, application/pdf), ongewijzigd."
71c39788-83f4-4861-97ff-2918e015b462,SMC,Apex Direct 1.1 Pulley,,,,,,999,999,,,,,,,,,,,,,,"SMC User Instruction Sheet (smcgear.com, download sample_id 66/91, 2 p.): sectie 11 LIFESPAN: ""Under moderate use, with limited exposure to moisture, salt water, solvents, chemical reagents, excessive loads, shock loading and excessive wear, the lifespan of the product is unlimited. However, events such as taking a large dynamic load, dropping, exposure to UV or other events which cause physical damage, can reduce the lifespan of this product dramatically."" -> expliciet ""unlimited"", dus UNLIMITED_AGE (999) voor beide velden. manual_url bevestigd (curl 200, application/pdf), ongewijzigd."
7b6c4d1d-9a61-4b17-bac6-bd80ded044f7,SMC,Apex Direct 1.5,,,,,,999,999,,,,,,,,,,,,,,"SMC vermeldt geen certificeringsnorm op de productpagina zelf (wel op de Apex 1.1/1.5 swivel-varianten). SMC User Instruction Sheet (smcgear.com, download sample_id 66/91, 2 p.): sectie 11 LIFESPAN: ""Under moderate use, with limited exposure to moisture, salt water, solvents, chemical reagents, excessive loads, shock loading and excessive wear, the lifespan of the product is unlimited. However, events such as taking a large dynamic load, dropping, exposure to UV or other events which cause physical damage, can reduce the lifespan of this product dramatically."" -> expliciet ""unlimited"", dus UNLIMITED_AGE (999) voor beide velden. manual_url bevestigd (curl 200, application/pdf), ongewijzigd."
d8583711-1249-4760-a146-047ef31956a5,SMC,Reactor Swivel - Large,,,,,,999,999,,,,,,,,,,,,,,"SMC User Instruction Sheet (smcgear.com, download sample_id 66/91, 2 p.): sectie 11 LIFESPAN: ""Under moderate use, with limited exposure to moisture, salt water, solvents, chemical reagents, excessive loads, shock loading and excessive wear, the lifespan of the product is unlimited. However, events such as taking a large dynamic load, dropping, exposure to UV or other events which cause physical damage, can reduce the lifespan of this product dramatically."" -> expliciet ""unlimited"", dus UNLIMITED_AGE (999) voor beide velden. manual_url bevestigd (curl 200, application/pdf), ongewijzigd."
243dc5b9-1b8c-4f63-8a30-f65dc981a181,SMC,Reactor Swivel - Small,,,,,,999,999,,,,,,,,,,,,,,"SMC User Instruction Sheet (smcgear.com, download sample_id 66/91, 2 p.): sectie 11 LIFESPAN: ""Under moderate use, with limited exposure to moisture, salt water, solvents, chemical reagents, excessive loads, shock loading and excessive wear, the lifespan of the product is unlimited. However, events such as taking a large dynamic load, dropping, exposure to UV or other events which cause physical damage, can reduce the lifespan of this product dramatically."" -> expliciet ""unlimited"", dus UNLIMITED_AGE (999) voor beide velden. manual_url bevestigd (curl 200, application/pdf), ongewijzigd."
8f22520c-98fc-493d-a0c6-4604a36f209b,SMC,CrossOver Dual-lock,,,,,,,,,,,,,,,,,,,,,"SMC User Instruction Sheet voor karabiners (smcgear.com, sample_id 2, 2 p.), sectie LIFESPAN: ""The service life of carabiners is largely dependent on the type of use and the environment used in. Under moderate use, ... carabiners may last many years. However, many events such as cross loading, overloading, dropping, or other events, which cause physical damage, can reduce the lifespan of this carabiner dramatically."" Geen expliciet maximum en geen woord ""unlimited""/""indefinite"" - dit is een vage verwachting (""may last many years""), geen afkeurgrens. Velden dus leeg gelaten, geen gok. manual_url bevestigd (curl 200, application/pdf), ongewijzigd - is SMC's generieke karabiner-instructieblad, niet modelspecifiek maar wel van de fabrikant zelf."
b3b65555-677f-4706-9007-eadbf03ce5f0,SMC,CrossOver Screw-lock,,,,,,,,,,,,,,,,,,,,,"SMC User Instruction Sheet voor karabiners (smcgear.com, sample_id 2, 2 p.), sectie LIFESPAN: ""The service life of carabiners is largely dependent on the type of use and the environment used in. Under moderate use, ... carabiners may last many years. However, many events such as cross loading, overloading, dropping, or other events, which cause physical damage, can reduce the lifespan of this carabiner dramatically."" Geen expliciet maximum en geen woord ""unlimited""/""indefinite"" - dit is een vage verwachting (""may last many years""), geen afkeurgrens. Velden dus leeg gelaten, geen gok. manual_url bevestigd (curl 200, application/pdf), ongewijzigd - is SMC's generieke karabiner-instructieblad, niet modelspecifiek maar wel van de fabrikant zelf."
99b219fb-f145-4bca-9ff5-3c0923ca21cb,SMC,CrossOver Tri-lock,,,,,,,,,,,,,,,,,,,,,"SMC User Instruction Sheet voor karabiners (smcgear.com, sample_id 2, 2 p.), sectie LIFESPAN: ""The service life of carabiners is largely dependent on the type of use and the environment used in. Under moderate use, ... carabiners may last many years. However, many events such as cross loading, overloading, dropping, or other events, which cause physical damage, can reduce the lifespan of this carabiner dramatically."" Geen expliciet maximum en geen woord ""unlimited""/""indefinite"" - dit is een vage verwachting (""may last many years""), geen afkeurgrens. Velden dus leeg gelaten, geen gok. manual_url bevestigd (curl 200, application/pdf), ongewijzigd - is SMC's generieke karabiner-instructieblad, niet modelspecifiek maar wel van de fabrikant zelf."
f868637e-b2c5-44eb-a6e3-d8e8bb31d7f4,SMC,Jake HMS Force Carabiner (screwgate),,,,,,,,,,,,,,,,,,,,,"SMC noemt op de productpagina geen formele EN/NFPA-norm, alleen eigen 3-Sigma testwaarden. SMC User Instruction Sheet voor karabiners (smcgear.com, sample_id 2, 2 p.), sectie LIFESPAN: ""The service life of carabiners is largely dependent on the type of use and the environment used in. Under moderate use, ... carabiners may last many years. However, many events such as cross loading, overloading, dropping, or other events, which cause physical damage, can reduce the lifespan of this carabiner dramatically."" Geen expliciet maximum en geen woord ""unlimited""/""indefinite"" - dit is een vage verwachting (""may last many years""), geen afkeurgrens. Velden dus leeg gelaten, geen gok. manual_url bevestigd (curl 200, application/pdf), ongewijzigd - is SMC's generieke karabiner-instructieblad, niet modelspecifiek maar wel van de fabrikant zelf."
