id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
fcd386b4-21c9-4cfd-a785-7abcab60ae1a,STEIN,ATOL Sewn Prusik Loop 50cm,,,,,,,,,,,,,,,,,,,,,"STEIN Cordage Loop UIM (fletcherstewart.com, jaVCDBPlijPRAsa0l2pU1lMJOqQw6a6v.pdf), letterlijk: ""This product has a maximum recommended shelf life of 5 years if stored correctly (from date of manufacture). It is impossible to quantify a maximum recommended life in use as the damage a cordage is subjected to will depend on the manner and frequency of use."" Dit is een opslagtermijn vóór eerste gebruik, geen concreet leeftijdsgetal vanaf fabricage of vanaf eerste gebruik zoals onze velden vereisen -> leeg gelaten."
99e1a080-6d8c-4f2b-824a-ae06bcf75bf2,STEIN,ATOL Sewn Prusik Loop 65cm,,,,,,,,,,,,,,,,,,,,,"STEIN Cordage Loop UIM (fletcherstewart.com, jaVCDBPlijPRAsa0l2pU1lMJOqQw6a6v.pdf), letterlijk: ""This product has a maximum recommended shelf life of 5 years if stored correctly (from date of manufacture). It is impossible to quantify a maximum recommended life in use as the damage a cordage is subjected to will depend on the manner and frequency of use."" Dit is een opslagtermijn vóór eerste gebruik, geen concreet leeftijdsgetal vanaf fabricage of vanaf eerste gebruik zoals onze velden vereisen -> leeg gelaten."
c40b076f-2c2a-43cb-b78d-cadfbdeac038,STEIN,Arborist Rescue Sling,,,,,,,,,,,,,,,,,,,,,"Manual op productpagina fletcherstewart.com/arborist-rescue-sling.html is de ""STEIN Connectors"" UIM (J6hDiLLZz7UvO1pJwoUADBhwlwvqB4yz.pdf, zelfde inhoud als de in de catalogus gelinkte s7ZpLnGHx...pdf): gaat alleen over de meegeleverde Supersafe ovale karabiners, letterlijk ""if cared for properly in accordance with this manual, life span of metal equipment is indefinite."" Geen tekst over de 25mm polyester band zelf -> geen betrouwbaar leeftijdsgetal voor dit product (sling), velden leeg gelaten."
f356b76d-da65-47e9-9939-f2c2dced3fda,STEIN,COPIOUS A-TEC 65cm / 8mm,,,,,,5,10,,,,,,,,,,,,,,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT. STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
21ce50a3-e7cc-43c9-9c58-4d7e3b3135a9,STEIN,COPIOUS A-TEC 70cm / 8mm,,,,,,5,10,,,,,,,,,,,,,,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT. STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
6daf4450-c353-4fd2-abfd-810ecafbcafe,STEIN,COPIOUS A-TEC 75cm / 8mm,,,,,,5,10,,,,,,,,,,,,,,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT. STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
d4259344-fae9-449b-a56a-0098d7c68dd8,STEIN,COPIOUS A-TEC 85cm / 8mm,,,,,,5,10,,,,,,,,,,,,,,"Gestikt oog (geen gesplitst oog), dubbelgevlochten met 24-draads mantel. Voor DRT en SRT. GTIN 5060660854059. STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
6ccd7f9e-dbf4-473f-b825-6ea7c4e7060c,STEIN,COPIOUS ATOL 70cm / 9mm,,,,,,5,10,,,,,,,,,,,,,,"STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
dfd5e228-cc8e-4abb-886d-a7cf84af0738,STEIN,COPIOUS ATOL 75cm / 9mm,,,,,,5,10,,,,,,,,,,,,,,"STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
52bec5b0-4106-4c1c-be79-17d99a7ac04d,STEIN,COPIOUS P-TEC 75cm / 10mm,,,,,,5,10,,,,,,,,,,,,,,"Geverifieerd met curl: 200 application/pdf. Documentinhoud gecontroleerd via tekstextractie: titel 'COPIOUS - INSTRUCTIONS FOR USE' (STEIN Information Notice to Users). Dit is de daadwerkelijke gebruiksaanwijzing, niet de aparte Declaration of Conformity die op dezelfde productpagina staat (die is bewust NIET gebruikt). STEIN COPIOUS Eye-to-Eye UIM (fletcherstewart.com, cCiwUF0cyYKeUDOdM1jreZMN6aGLA5VL.pdf), letterlijk: ""This product should be retired after 5 years from first use; and 10 years from date of manufacture as indicated on the product."""
