id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
6a88c2a1-9928-4aa1-bc8f-4c4f3cb699bc,Sterling,HMS Carabiner - Autolock,,,,,,10,,,,,,,,,,,,,,,"Handleiding (Sterling_HMS&OH IFU_01312024.pdf, sectie ""CONNECTORS: USE, STORAGE, INSPECTION AND MAINTENANCE"", EN 362): ""Obsolescence: We are required by the Regulation (EU) 2016/425 and amended to give an obsolescence date. It is very difficult to be precise but a conservative estimate for this item of equipment is limited to a lifespan of ten years after first use."" -> max_age_use_years=10 (vanaf eerste gebruik, dus use-jaren, niet mfr-jaren). Dit is de enige leeftijdsclaim in het document; verder alleen algemene slijtage-/inspectiecriteria, geen ander cijfer."
0bcb0874-7902-4ce3-8d99-15e38e8d296c,Sterling,HMS Carabiner - Screwlock,,,,,,10,,,,,,,,,,,,,,,"Handleiding (Sterling_HMS&OH IFU_01312024.pdf, sectie ""CONNECTORS: USE, STORAGE, INSPECTION AND MAINTENANCE"", EN 362): ""Obsolescence: We are required by the Regulation (EU) 2016/425 and amended to give an obsolescence date. It is very difficult to be precise but a conservative estimate for this item of equipment is limited to a lifespan of ten years after first use."" -> max_age_use_years=10 (vanaf eerste gebruik, dus use-jaren, niet mfr-jaren). Dit is de enige leeftijdsclaim in het document; verder alleen algemene slijtage-/inspectiecriteria, geen ander cijfer."
ac9cd06b-428f-492f-bea2-1581c6f421c3,Sterling,OH Carabiner - Autolock,,,,,,10,,,,,,,,,,,,,,,"Handleiding (Sterling_HMS&OH IFU_01312024.pdf, sectie ""CONNECTORS: USE, STORAGE, INSPECTION AND MAINTENANCE"", EN 362): ""Obsolescence: We are required by the Regulation (EU) 2016/425 and amended to give an obsolescence date. It is very difficult to be precise but a conservative estimate for this item of equipment is limited to a lifespan of ten years after first use."" -> max_age_use_years=10 (vanaf eerste gebruik, dus use-jaren, niet mfr-jaren). Dit is de enige leeftijdsclaim in het document; verder alleen algemene slijtage-/inspectiecriteria, geen ander cijfer."
c448226b-75c1-4da7-ab4f-bc9381505fad,Sterling,OH Carabiner - Screwlock,,,,,,10,,,,,,,,,,,,,,,"Handleiding (Sterling_HMS&OH IFU_01312024.pdf, sectie ""CONNECTORS: USE, STORAGE, INSPECTION AND MAINTENANCE"", EN 362): ""Obsolescence: We are required by the Regulation (EU) 2016/425 and amended to give an obsolescence date. It is very difficult to be precise but a conservative estimate for this item of equipment is limited to a lifespan of ten years after first use."" -> max_age_use_years=10 (vanaf eerste gebruik, dus use-jaren, niet mfr-jaren). Dit is de enige leeftijdsclaim in het document; verder alleen algemene slijtage-/inspectiecriteria, geen ander cijfer."
c3d22ce8-ed17-4e8d-8257-9dea9e4a796b,Sterling,SafeD Carabiner - Autolock,,,,,,10,,,,,,,,,,,,,,,"Handleiding (Sterling_SafeD_8x12_01262024.pdf) bevat twee secties die op dit dubbel-gecertificeerde product (EN 362 + NFPA 2500) van toepassing zijn. EN-sectie (""CONNECTORS: USE, STORAGE, INSPECTION AND MAINTENANCE""): ""Obsolescence: We are required by the Regulation (EU) 2016/425 and amended to give an obsolescence date. It is very difficult to be precise but a conservative estimate for this item of equipment is limited to a lifespan of ten years after first use."" -> max_age_use_years=10 ingevuld op basis hiervan. TWIJFELGEVAL: verderop in dezelfde handleiding staat een aparte sectie ""NFPA 2500 (2022 ED) CARABINER INSTRUCTIONS"" die expliciet zegt: ""The service life of equipment used for rescue depends greatly on the type of use and the environment of use. Because these factors vary greatly, a precise service life of the equipment cannot be provided."" Onder NFPA-gebruik geeft Sterling dus zelf geen maximum. Ingevuld op de EU-verplichte 10 jaar (van toepassing zodra het product onder EN 362 wordt gebruikt/gekeurd); graag laten meewegen door Jos of dit voor deze twee rijen gewenst is."
67e88f75-c1e9-4805-80fe-8937d727c0ec,Sterling,SafeD Carabiner - Twistlock,,,,,,10,,,,,,,,,,,,,,,"Handleiding (Sterling_SafeD_8x12_01262024.pdf) bevat twee secties die op dit dubbel-gecertificeerde product (EN 362 + NFPA 2500) van toepassing zijn. EN-sectie (""CONNECTORS: USE, STORAGE, INSPECTION AND MAINTENANCE""): ""Obsolescence: We are required by the Regulation (EU) 2016/425 and amended to give an obsolescence date. It is very difficult to be precise but a conservative estimate for this item of equipment is limited to a lifespan of ten years after first use."" -> max_age_use_years=10 ingevuld op basis hiervan. TWIJFELGEVAL: verderop in dezelfde handleiding staat een aparte sectie ""NFPA 2500 (2022 ED) CARABINER INSTRUCTIONS"" die expliciet zegt: ""The service life of equipment used for rescue depends greatly on the type of use and the environment of use. Because these factors vary greatly, a precise service life of the equipment cannot be provided."" Onder NFPA-gebruik geeft Sterling dus zelf geen maximum. Ingevuld op de EU-verplichte 10 jaar (van toepassing zodra het product onder EN 362 wordt gebruikt/gekeurd); graag laten meewegen door Jos of dit voor deze twee rijen gewenst is."
6a57b7e6-c41a-4d20-8e90-1e89cb30f5fb,Sterling,Steel Carabiner - Autolock,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/steel-carabiner/ gecontroleerd (beide sluitingsvarianten op dezelfde pagina/familie): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen. Geen handleiding/IFU gevonden op sterlingrope.com: productpagina bevat geen PDF-link en sterlingrope.com/downloads heeft geen los IFU-document voor dit product (alleen EU-conformiteitsverklaringen (DoC) voor andere producten en algemene sell sheets/catalogi, geen gebruikshandleiding). Enige gevonden exemplaren van vergelijkbare content staan op reseller-/republicatiesites (bv. allhandsfire.com, firstoutrescue.com, treestuff.com, manuals.plus) - uitgesloten van dit onderzoek. Niet geextrapoleerd vanuit de Sterling HMS/OH/SafeD-carabinerhandleiding (ander product). Standard is NFPA 1983 / ANSI Z359.12 (geen EN-markering); zelfs met handleiding zou de EU-10-jaarsregel uit de EN-documenten niet automatisch gelden. max_age_use_years/max_age_mfr_years leeg gelaten, manual_url leeg gelaten."
294258aa-36c9-4bc3-88e6-2ad4c544bf1c,Sterling,Steel Carabiner - Screwlock,,,,,,,,,,,,,,,,,,,,,"Zelfde familie/pagina als 'Steel Carabiner - Autolock' (sterlingrope.com/steel-carabiner/): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen. Geen handleiding/IFU gevonden op sterlingrope.com: productpagina bevat geen PDF-link en sterlingrope.com/downloads heeft geen los IFU-document voor dit product (alleen EU-conformiteitsverklaringen (DoC) voor andere producten en algemene sell sheets/catalogi, geen gebruikshandleiding). Enige gevonden exemplaren van vergelijkbare content staan op reseller-/republicatiesites (bv. allhandsfire.com, firstoutrescue.com, treestuff.com, manuals.plus) - uitgesloten van dit onderzoek. Niet geextrapoleerd vanuit de Sterling HMS/OH/SafeD-carabinerhandleiding (ander product). Standard is NFPA 1983 / ANSI Z359.12 (geen EN-markering); zelfde kanttekening als Autolock-variant. max_age_use_years/max_age_mfr_years leeg gelaten, manual_url leeg gelaten."
01e9ee13-6c32-452c-9a07-19c98969d454,Sterling,ASD w/ Pin Carabiner - Autolock,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/asd-w-pin-carabiner/ gecontroleerd: geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen. Geen handleiding/IFU gevonden op sterlingrope.com: productpagina bevat geen PDF-link en sterlingrope.com/downloads heeft geen los IFU-document voor dit product (alleen EU-conformiteitsverklaringen (DoC) voor andere producten en algemene sell sheets/catalogi, geen gebruikshandleiding). Enige gevonden exemplaren van vergelijkbare content staan op reseller-/republicatiesites (bv. allhandsfire.com, firstoutrescue.com, treestuff.com, manuals.plus) - uitgesloten van dit onderzoek. Niet geextrapoleerd vanuit de Sterling HMS/OH/SafeD-carabinerhandleiding (ander product). Standard is uitsluitend ANSI Z359.12 (VS), geen EN-markering. max_age_use_years/max_age_mfr_years leeg gelaten, manual_url leeg gelaten."
127be57c-a8b1-4d94-a606-f9cd2bac0d38,Sterling,Screwlink,,,,,,,,,,,,,,,,,,,,,"Productpagina sterlingrope.com/screwlink/ gecontroleerd (los van de '8 mm Steel Delta Screwlink', andere pagina/specs: MBS major 40kN/minor 20kN, CE 0068 EN 362 + EN 12275): geen PDF-link aanwezig. Niet gevonden op sterlingrope.com: productpagina en /downloads bevatten geen losse instructie-PDF voor dit item (alleen marketing/specs-tekst op de pagina zelf, geen downloadbare handleiding). Enkel EU-Declarations-of-Conformity zijn online te vinden voor sommige modellen (bv. HMS/OH/SafeD-karabiners) maar dat zijn conformiteitsverklaringen, geen instructies voor gebruik. Kopieen circuleren bij wederverkopers (bv. treestuff.com, allhandsfire.com) en op een handleiding-republicatiesite (manuals.plus) — die zijn expliciet uitgesloten (regel: geen winkels, geen republicatiesites). Aanbevolen: aan Sterling Rope vragen of er een digitale IFU bestaat (telefoon 1-800-788-ROPE), of de bijgeleverde papieren handleiding inscannen. Geen handleiding/IFU gevonden op sterlingrope.com: productpagina bevat geen PDF-link en sterlingrope.com/downloads heeft geen los IFU-document voor dit product (alleen EU-conformiteitsverklaringen (DoC) voor andere producten en algemene sell sheets/catalogi, geen gebruikshandleiding). Enige gevonden exemplaren van vergelijkbare content staan op reseller-/republicatiesites (bv. allhandsfire.com, firstoutrescue.com, treestuff.com, manuals.plus) - uitgesloten van dit onderzoek. Niet geextrapoleerd vanuit de Sterling HMS/OH/SafeD-carabinerhandleiding (ander product). Wel EN 362/EN 12275-gemarkeerd zoals de carabiners, maar geen eigen handleiding gevonden; daarom niet de 10-jaarsclaim van de carabiner-IFU overgenomen (ander productmodel). max_age_use_years/max_age_mfr_years leeg gelaten, manual_url leeg gelaten."
