id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
4fa83677-f12c-4209-9e40-0777f03a0225,Weaver Leather,Cougar Saddle met Batten Seat,,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Cougar-lijn met batten (lat-)zitting voor extra comfort. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
5950f63e-cdb9-4fb1-aff5-05116fdf733e,Weaver Leather,Cougar Saddle met beenbanden (memory foam pads),,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Zelfde functionele ontwerp als de oudere Cougar, alleen cosmetisch bijgewerkt (logo, kleuraccenten). Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
3532cf65-5809-4f88-8033-a2ffa7cf7a6d,Weaver Leather,Denali Saddle,,,,,,,,,,,,,,,,,,,,,"Positioneringsgordel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
9d26d207-7a2b-4e6a-b250-a35b266f97a3,Weaver Leather,WLC-100 Saddle zonder beenbanden (4 D's),,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Vier D-ringen; geen beenbanden, verstelbare zitband; katoen/nylon webbing. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
747377ba-0cb6-4690-8bed-d1902705dc75,Weaver Leather,WLC-130 Saddle met zwaar gecoat webbing (4 D's),,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Vier D-ringen voor extra stabiliteit; beenbanden van zwaar gecoat webbing. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
82760403-5032-41f0-a4ea-0819c2e5da75,Weaver Leather,WLC-160 Saddle met nylon beenbanden (4 D's),,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Vier D-ringen voor extra stabiliteit; katoenen webbing beenbanden. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
44b25d0b-6daa-42fb-86fa-a7a4aa27ce87,Weaver Leather,WLC-300 Saddle met nylon beenbanden,,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Extra brede (6"") tailleband, gevoerd en bekleed met olie-gelooid leer; twee D's onderaan. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
d8f5f3d4-9016-41f4-bdb7-bec0651dfbab,Weaver Leather,WLC-315 Saddle met zwaar gecoat webbing,,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Extra brede rug; beenbanden van zwaar gecoat webbing (voorgesneden/geponst/heat-sealed). Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
a5c6ed44-2b30-4efb-a654-9cb1e93c08aa,Weaver Leather,"WLC-330 Saddle, één zwevende D, nylon beenbanden",,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Eén zwevende D-ring plus twee D's onderaan de tailleband; voorband verstevigd met neopreen. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
65bd5ee7-7de8-4f2c-a8ab-665df269f842,Weaver Leather,"WLC-360 Saddle, twee zwevende D's, nylon beenbanden",,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Twee zwevende D-ringen (split-tail klimmen) plus twee D's onderaan de tailleband. Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
ce74c522-2e99-4a1e-a132-e798ee808093,Weaver Leather,WLC-390 Saddle met Batten Seat,,,,,,,,,,,,,,,,,,,,,"Positioneringszadel, expliciet NIET voor valbeveiliging (fabrikant vermeldt geen EN/ANSI-normnummer op de pagina of in de handleiding). Extra brede rug met batten-zitting; beenbanden van zwaar gecoat webbing (voorgesneden/geponst/heat-sealed). Handleiding gecontroleerd (saddle-instruction-manual.pdf, first-party op weaverarborist.com/cdn.shopify.com — generieke Weaver-instructies voor de hele saddle-lijn, bevestigd via de productpagina van dit model). Geen kalenderleeftijd/'lifespan'/'service life'/'years'/'retire'/'unlimited' voor het harnas zelf gevonden. Enige tijdsgebonden eisen in de tekst: ""A qualified person must inspect this equipment every 6 months"" en, voor modellen met suspension bridge: ""The suspension bridge should be replaced at the earlier of the first sign of wear or 6 months"" (dat is een keuringsinterval / onderdeelvervanging, geen leeftijdsgrens voor het hele harnas). Daarom max_age_use_years en max_age_mfr_years leeg gelaten — in lijn met het bekende ANSI/OSHA-patroon (geen vaste kalenderleeftijd, wel periodieke keuring). manual_url ongewijzigd gelaten: bestaande link is correct (HTTP 200, application/pdf, fabrikant-eigen bestand, inhoud algemeen over Weaver-saddles)."
