id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
b83c505c-8ed9-45b3-ba85-22180ac5b35c,Cousin,PRUSSIK ARAMADILLO 10 - 70 cm,,,,,,10,15,,,,,,,,,,,,,,"Handleiding gelezen (cousin-group.com/.../Notice-pharmaceutique-Prussik-2025...pdf, curl-geverifieerd HTTP 200 application/pdf). Letterlijk (FR, sectie 'DUREE DE VIE'): ""Durée d'utilisation maximum : 10 ans. C'est une durée d'utilisation potentielle."" En: ""La durée de vie d'un EPI Trestec est limitée à 15 ans, incluant une période de stockage et une période d'utilisation."" (storage max 5 jaar vóór eerste gebruik + gebruik max 10 jaar = totaal max 15 jaar vanaf fabricage). Engelse versie bevestigt: ""LIFE TIME ... The lifetime of an item of Trestec PPE is limited to 15 years"" / ""Maximum usage time 10 years"". Vandaar max_age_use_years=10 (vanaf eerste gebruik) EN max_age_mfr_years=15 (vanaf fabricage, totale grens incl. opslag) - beide expliciet in dezelfde handleiding, geen extrapolatie."
bc1cf9d1-494a-4e85-b5f9-a19925d47c87,Cousin,PRUSSIK ARAMADILLO 10 - 90 cm,,,,,,10,15,,,,,,,,,,,,,,"Zelfde handleiding als de 70cm-variant (identieke manual_url, cousin-group.com, curl-geverifieerd HTTP 200 application/pdf). Zelfde letterlijke tekst: ""Durée d'utilisation maximum : 10 ans"" en ""La durée de vie d'un EPI Trestec est limitée à 15 ans, incluant une période de stockage et une période d'utilisation."" max_age_use_years=10, max_age_mfr_years=15."
a00fc03f-ee44-4667-a24b-3082e435e805,Cousin,RUSH 11,,,,,,10,,,,,,,,,,,,,,,"Handleiding gelezen (cousin-group.com/.../CT-Notice-Statiques-24-WEB-1.pdf, curl-geverifieerd HTTP 200 application/pdf), EN 1891 semi-statisch touw. Letterlijk (FR): ""Durée de vie : 10 ans à partir de la première utilisation (usage normal de 2/3 ans ou intensif de 1 an). Peut être stocké 5 ans dans de bonnes conditions avant la première utilisation."" EN-versie: ""Lifespan: 10 years from the date the product is first used ... Can be stored for 5 years in good conditions before the first use."" Alleen max_age_use_years=10 ingevuld (vanaf eerste gebruik); GEEN gecombineerde fabricage-bovengrens gevonden zoals bij de Cousin Prussik (dat product noemt expliciet ""15 jaar incl. opslag"", dit touw-document doet dat niet) - dus max_age_mfr_years bewust leeg gelaten, niet geëxtrapoleerd tussen de twee Cousin-producten."
44b8e86a-8c46-497d-9dd9-06a6e2219174,Portwest,2 Point Comfort Plus Harness,,,,,,,,,,,,,,,,,,,,,"Volledig lichaamsharnas met ademende rugpad, verlengde D-ring schouderopstelling en twee zij-D-ringen. Notified body: INSPEC International B.V. (NB 2849). manual_url is Portwest's technische datasheet (documents.portwest.com), geen apart 'instructions for use'-document gevonden op portwest.com zelf -- curl-geverifieerd: 200 application/pdf. Max. gebruikersgewicht en breaking strength niet vermeld op datasheet. 3 producten (FP15, FP10, FP52) onderzocht. Bestaande manual_url (documents.portwest.com/datasheet.php) is curl-geverifieerd (HTTP 200, application/pdf) maar bevat alleen product-specificaties (afmetingen, materialen, normen) - GEEN levensduur-sectie. Kon geen actuele officiële 'instructions for use'-PDF met levensduur vinden op portwest.com/documents.portwest.com zelf (site is deels JS-gerenderd, zoekfunctie levert geen directe PDF-link op). Een kopie van Portwest's algemene 'Full Body Harness Instruction for use'-boekje (Rev. 2014/04) staat wel op een reseller-site (toolmaster.shop) - NIET gebruikt als bron/manual_url want geen fabrikant-domein, en bovendien intern tegenstrijdig: op één plek ""The equipment has a service life of three years"" en ""The potential lifetime of this product is up to 3 years from the date of manufacture"", op een andere plek in hetzelfde document ""The Full Body Harness is difficult to give a precise lifetime ... If maintained and cleaned regularly and used correctly the product will give many years of service."" Losse zoekresultaten (niet-fabrikant, retailer-pagina's) noemen daarnaast een ongeverifieerde ""10 year shelf life from manufacturing date"" voor vergelijkbare Portwest-modellen (FP15/FP22), maar deze tekst is niet teruggevonden in een door mij zelf geopende officiële portwest.com-bron. Bij deze tegenstrijdigheid en het ontbreken van een verifieerbare fabrikant-hoofdbron: velden leeg gelaten."
8529dab2-5b56-473d-ad26-99177bf1682b,Portwest,2 Point Plus Harness,,,,,,,,,,,,,,,,,,,,,"Ergonomisch lichtgewicht basisharnas met glijdende dorsale D-ring, twee borst-D-ringen en flat-bar gespen. Notified body: INSPEC International B.V. (NB 2849), certificaatnr. PPE19161792. manual_url = technische datasheet, curl-geverifieerd (200 application/pdf). Max. gebruikersgewicht niet vermeld op datasheet. Zie notities bij FP15 (2 Point Comfort Plus Harness) - zelfde situatie: bestaande manual_url (documents.portwest.com/datasheet.php?style=FP10) is een productspecificatieblad zonder levensduur-informatie, curl-geverifieerd HTTP 200/application/pdf. Geen betrouwbare, eenduidige fabrikantsbron voor een maximale leeftijd gevonden (zie toelichting over tegenstrijdige cijfers in het generieke Portwest-harnasboekje bij FP15). Velden leeg gelaten."
ee06cc2e-3cae-421c-936e-2a6b4d83bbec,Portwest,Double Elasticated Lanyard With Shock Absorber,,,,,,,,,,,,,,,,,,,,,"Dubbele elastische leeflijn met schokdemper, twee scaffold hooks + karabiner, 180 cm lang inclusief connectoren. Max. rated load 100 kg. manual_url curl-geverifieerd (200 application/pdf). Geen 10-jaar-houdbaarheidsvermelding aangetroffen op deze datasheet (i.t.t. FP73/FP22). Bestaande manual_url (documents.portwest.com/datasheet.php?style=FP52) is curl-geverifieerd (HTTP 200, application/pdf) maar is een productspecificatieblad (EN 354/355/362) zonder levensduur-paragraaf. Geen aparte, duidelijke fabrikant-bron voor een lanyard/shock-absorber-specifieke maximale leeftijd gevonden; het generieke Portwest-harnasboekje (zie FP15-notitie) bevat alleen harnas-gerichte en onderling tegenstrijdige cijfers. Velden leeg gelaten."
e2b09c10-4bfd-4fee-9760-9148845194b8,Simarghu,Fire Male Climbing Harness,,,,,,,,,,,,,,,,,,,,,"Arboristenharnas specifiek ontworpen voor mannen, maten S/M en M/L, ergonomisch gevormde rug-/beenkussens. Optionele 'Chest Yoke' (universele maat) transformeert het harnas tot een full-body val-/hangharnas. Materiaal/breeksterkte/max. gebruikersgewicht niet gevonden - leeg gelaten i.p.v. gegokt. BEVESTIGD DOOR JOS (2026-09-14): Simarghu bestaat niet meer als bedrijf - vandaar geen werkende link mogelijk, product_page_url leeggehaald i.p.v. naar een dode site te wijzen. Product blijft in de catalogus staan omdat bestaande exemplaren in het veld nog periodiek gekeurd moeten worden; geen handleiding beschikbaar en die zal ook niet meer verschijnen. 3 Simarghu-producten onderzocht. Officiële website simarghu.com is op 2026-09-21 niet bereikbaar vanuit deze sessie: DNS-lookup geeft ""REFUSED"" / lame delegation op de nameservers van het domein (geen sessie/proxy-blokkade, want DNS over HTTPS (dns.google) bevestigt dezelfde fout) - de site lijkt zelf technisch stuk. Via zoekresultaten wel een kandidaat-link gevonden voor een gecombineerde Fire/Gemini-handleiding: https://www.simarghu.com/documents/manual/98/ - maar deze kon NIET zelf geopend/geverifieerd worden (geen curl-toegang mogelijk, dus geen HTTP 200/application/pdf-check), dus NIET overgenomen als manual_url conform de regel dat elke link zelf geverifieerd moet zijn. Geen enkele leeftijdsclaim kunnen verifiëren. Aanbeveling: over enkele weken opnieuw proberen of simarghu.com weer bereikbaar is, en dan die URL controleren."
991b6320-ca06-42a1-b4a2-17f8373d9c36,Simarghu,Gemini Female Climbing Harness,,,,,,,,,,,,,,,,,,,,,"Arboristenharnas specifiek ontworpen voor vrouwen (branded als 'industry's first' vrouwenharnas voor deze sector), met aparte sub-harnas voor extra ondersteuning en een 'Floating Bridge' voor laterale bewegingsvrijheid. Maten S/M en M/L. Materiaal/breeksterkte/max. gebruikersgewicht niet gevonden - leeg gelaten. BEVESTIGD DOOR JOS (2026-09-14): Simarghu bestaat niet meer als bedrijf - vandaar geen werkende link mogelijk, product_page_url leeggehaald i.p.v. naar een dode site te wijzen. Product blijft in de catalogus staan omdat bestaande exemplaren in het veld nog periodiek gekeurd moeten worden; geen handleiding beschikbaar en die zal ook niet meer verschijnen. Zelfde situatie als Simarghu Fire (zie die notitie): simarghu.com onbereikbaar (DNS REFUSED/lame delegation), kandidaat-handleiding https://www.simarghu.com/documents/manual/98/ (vermoedelijk dezelfde gecombineerde Fire & Gemini-handleiding) niet verifieerbaar. Niets ingevuld."
13fade09-ae74-40cc-8ab1-919a7c0a7cde,Simarghu,IMP SRT Re-Direct,,,,,,,,,,,,,,,,,,,,,"Compact SRT-redirect-apparaat dat aan de harnasbrug bevestigd wordt om de klimlijn in de kroon om te leiden zonder wrijving/scharen; 8oz. Categorie 'harness_accessories' gekozen omdat het functioneel een brug-/redirect-accessoire is (geen wielkatrol, geen klassieke swivel-lager) - twijfel hierover, controleer of 'swivel' of 'pulleys' beter past. BEVESTIGD DOOR JOS (2026-09-14): Simarghu bestaat niet meer als bedrijf - vandaar geen werkende link mogelijk, product_page_url leeggehaald i.p.v. naar een dode site te wijzen. Product blijft in de catalogus staan omdat bestaande exemplaren in het veld nog periodiek gekeurd moeten worden; geen handleiding beschikbaar en die zal ook niet meer verschijnen. Harnas-accessoire (hard geanodiseerd aluminium herleidingsring). simarghu.com onbereikbaar (zie notitie bij Simarghu Fire) - geen aparte productpagina of handleiding kunnen raadplegen. Niets ingevuld."
3c5d0055-dc03-4639-ae4c-2d27636ab2aa,Tendon,Timber EVO 11.5 - Orange/Yellow,,,,,,,,,,,,,,,https://www.lanex.cz/UserFiles/Image/161627000316161486021606320539navody-statika-tendon-7-2020.pdf,,,,,,"Fabrikant achter TENDON = LANEX a.s. (Bolatice, Tsjechie); bevestigd via de EU/ES Declaration of Conformity-documenten op de webshop mytendon.com (LANEX-briefpapier). Geen enkele PDF (van welke soort dan ook) gevonden op deze productpagina zelf. Ter vergelijking: de 11.0mm-variant (Timber EVO 11.0, dus een ANDERE diameter, niet in deze opdracht) heeft wel 'PoS-T-...'-, 'Produktovy list-...'- en 'Technical-data-sheet-...'-bestanden, maar dat zijn resp. Declarations of Conformity, een Tsjechisch productblad en een Engels datasheet -- geen van alle een instructiehandleiding, dus zelfs als diezelfde documentset voor 11.5mm zou bestaan (die dus niet gevonden is), zou die toch niet aan de opdrachtseis voldoen. Ook de generieke downloadpagina (ke-stazeni) en lanex.cz leverden geen IFU op (zie ook de opmerking bij de koord-producten). Conclusie: geen bruikbare manual_url gevonden. EN 1891/CE 1019 statisch touw (type A), fabrikant LANEX a.s. (merk TENDON, Tsjechië). Geen manual_url in catalogus; oude mytendon.com-links uit zoekresultaten bleken dood (site is herbouwd, ""soft"" redirects naar een lege 'Ke stažení'/downloads-pagina i.p.v. 404). Nieuwe, curl-geverifieerde link gevonden op de fabrikantsite lanex.cz (HTTP 200, application/pdf, 3.051.951 bytes): algemene 'Instructions for use - Static ropes'. Leeftijd komt van de fabrikant-productpagina (mytendon.com/products/arboristicke-lano-timber-evo-11-5, zelf geopend en gelezen), letterlijk: ""The maximum storage time of an unused rope is up to 5 years, plus a service life of a maximum of 10 years."" Dit is een harde bovengrens (""maximum""), dus max_age_use_years=10 ingevuld (vanaf eerste gebruik; geen aparte fabricagejaar-grens genoemd, dus max_age_mfr_years leeg). De algemene handleiding zelf geeft daarnaast alleen gebruiksintensiteit-afhankelijke 'tentative'-richtlijnen (oplopend tot 8-10 jaar bij zeer licht gebruik) - dit is nadrukkelijk richtinggevend/geen harde regel, en wordt daarom niet los ingevuld, maar bevestigt wel dezelfde orde van grootte als de bovengrens op de productpagina. LET OP: het cijfer 10 jaar NIET overgenomen in de bronlijst. De bron is geen vaste maximumleeftijd maar een gebruiksintensiteit-tabel (<=1 jaar bij dagelijks intensief gebruik oplopend tot 8-10 jaar bij incidenteel gebruik) - een enkel getal zou hier onterecht suggereren dat 10 jaar altijd veilig is, ook bij intensief gebruik. Velden blijven leeg; de nieuwe manual_url (lanex.cz, verving de dode mytendon.com-link) is wel overgenomen."
