id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
fd6217ac-40db-47c4-909c-500c5dbf3708,Ridgegear,17mm Steel Screwgate Karabiner,,,,,,,,,,,,,,,,,,,,,"Sluiting: screwgate (Ridgegear's eigen datasheet noemt gewoon 'Screwgate', niet 'double action' - eerdere notitie daarover was fout, gecorrigeerd na screenshot van Jos, 2026-09-14). Gewicht 160 g, gate opening 17 mm, external length 107 mm, plating: zinc, MBS 23 kN. manual_url door Jos zelf bevestigd in de browser (screenshot 2026-09-14) - werkt, ridgegear.com blokkeert alleen geautomatiseerde toegang vanuit deze sessie (JS proof-of-work captcha). RGK1-datasheet gedownload en gelezen (via headless Chromium, want ridgegear.com blokkeert curl met JS-proof-of-work 'sgcaptcha'). Geen leeftijds-/afkeurbepaling in de datasheet aangetroffen (alleen specs: EN 362:2004, MBS 23kN, 160g). manual_url ongewijzigd gelaten (bestaande link werkt, is het juiste product, gecontroleerd op content-type application/pdf en inhoud)."
35e6bbea-ece5-492c-b52c-263e33847f65,Ridgegear,56mm Twistlock Scaffold Karabiner,,,,,,,,,,,,,,,https://ridgegear.com/wp-content/uploads/RGK5-56mm-Steel-Double-Action-Twistlock-Scaffold-Karabiner-DS-1.pdf,,,,,,"Grote steiger-karabiner, opening 56 mm, sluiting twistlock 2-weg, voor directe koppeling aan stalen constructies/steigers zonder sling. Geen specifiek datasheet-PDF-bestand teruggevonden -> manual_url leeg gelaten. Exacte productpagina-URL niet vastgesteld, categorie-overzichtspagina gebruikt. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app. Productpagina gevonden: ridgegear.com/product/56mm-steel-twistlock-scaffold-karabiner/ (code RGK5, bevestigt manufacturer_code uit eerdere sessienotitie). Datasheet (RGK5-...-DS-1.pdf) en Declaration of Conformity (RGK5-...-DOC-1.pdf) gedownload en gelezen -- beide bevatten geen leeftijds-/afkeurbepaling, alleen een 'Year of Manufacture'-labelveld in de DOC. manual_url ingevuld met de datasheet-PDF (rechtstreeks van ridgegear.com, geverifieerd op content-type application/pdf en inhoud via headless Chromium -- curl/wget worden door ridgegear.com's 'sgcaptcha' JS-proof-of-work geblokkeerd, ook bij directe wp-content/uploads-links)."
3b44a8fd-85d2-4ba9-a44c-5aa90d3d1b98,Ridgegear,Double Action Twistlock Karabiner 22mm,,,,,,,,,,,,,,,https://ridgegear.com/wp-content/uploads/RGK3-24mm-Steel-Double-Action-Twistlock-Karabiner-DS-1.pdf,,,,,,"Sluiting: twistlock 2-weg ('double action steel twistlock'), opening 22 mm. Geen specifiek datasheet-PDF-bestand teruggevonden via zoekopdracht -> manual_url leeg gelaten. Exacte productpagina-URL niet vastgesteld (site niet doorzoekbaar), categorie-overzichtspagina gebruikt. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app. LET OP naamverschil: productpagina/datasheet noemen dit model 'RGK3, 24mm Steel Twistlock Karabiner' (24mm, niet 22mm) -- dit is het enige stalen 'double action twistlock'-model in het Ridgegear-assortiment en komt overeen met manufacturer_code RGK3 zoals in een eerdere sessienotitie vastgesteld; een apart 22mm STALEN twistlock-model bestaat niet (wel een 22mm ALUMINIUM twistlock, RGK4, wat niet overeenkomt met material=Staal in de catalogus). Jos: graag bevestigen of de catalogusnaam '22mm' aangepast moet worden naar 24mm, of dat dit toch het verkeerde product is. Datasheet en DOC gelezen, geen leeftijds-/afkeurbepaling gevonden. manual_url ingevuld met de datasheet-PDF (geverifieerd via headless Chromium, curl wordt geblokkeerd door sgcaptcha)."
cafbdc5b-b720-4b32-8f33-be212302ba84,Ridgegear,Single Leg Kernmantle Rope Lanyard (Big Guy),,,,,,,10,,,,,,,,,,,,,,"Enkelbenige valstoplijn met schokdemper voor gebruik vanaf een statische positie/vast ankerpunt. Lengte 1,4 m (voor gebruikers tot 140 kg) of 1,8 m (tot 100 kg) -- hier max_user_weight_kg=140 ingevuld voor de 1,4 m-variant; 1,8 m-variant heeft 100 kg. Max. arrestkracht < 6 kN (dit is geen breaking strength, breaking_strength daarom leeg gelaten). manual_url door Jos zelf bevestigd in de browser (screenshot 2026-09-14) - 'Instructions for use of RIDGEGEAR Lanyards', werkt. Lanyard-User-Instructions-All-Languages-Issue-G-2024.pdf (huidige manual_url) gedownload (via headless Chromium i.v.m. sgcaptcha) en volledig gelezen. Letterlijk citaat (sectie ""PERIODIC EXAMINATIONS AND SERVICE""): ""The equipment must be totally replaced after a maximum of 10 years, from the date of manufacture as shown on the product label."" -> max_age_mfr_years=10 (vanaf fabricagejaar, ongeacht gebruik). Geen apart getal voor jaren-vanaf-eerste-gebruik vermeld, dus max_age_use_years leeg gelaten. Generieke instructiehandleiding voor de hele Ridgegear-lanyardlijn (alle talen), niet productspecifiek voor de ""Big Guy"", maar wel expliciet van toepassing op dit lanyardtype (kernmantel-touwlanyard). manual_url ongewijzigd (bestaande link is correct)."
f877b3e1-98f2-4ea6-8ed5-a5472adbb4c3,Ridgegear,Twistlock Karabiner with Captive Pin,,,,,,,,,,,,,,,https://ridgegear.com/wp-content/uploads/RGK2P-17mm-Steel-Double-Action-Twistlock-Karabiner-DS-1.pdf,,,,,,"Sluiting: twistlock 2-weg (double-action twistlock met borgpin/captive pin zodat de connector op zijn plek blijft t.o.v. de leeflijn). Gewicht 87 g, opening 10-17 mm (bronnen wijken af). Geen specifiek datasheet-PDF-bestand met zekerheid teruggevonden -> manual_url leeg gelaten (handleiding niet gevonden/niet te bevestigen). Exacte productpagina-URL niet vastgesteld (site niet doorzoekbaar), daarom categorie-overzichtspagina als product_page_url gebruikt. LET OP (van toepassing op alle Ridgegear-regels): ridgegear.com blokkeert deze sessie volledig met een JavaScript proof-of-work captcha ('sgcaptcha') -- zowel HTML-paginas als losse PDF-bestanden (ook rechtstreekse wp-content/uploads-links) geven bij curl een 202-captcha-pagina terug in plaats van de echte inhoud. manual_url kon daardoor NIET zelf met curl worden geverifieerd op content-type application/pdf, zoals de opdracht vereist -- dit is een toegangsbeperking, geen bevestiging dat de handleiding niet bestaat. De vermelde manual_url-bestandsnamen zijn gevonden via zoekresultaten (Google-snippets/titels van de exacte ridgegear.com/wp-content/uploads/... PDF's) en tonen dus dat het bestand vermoedelijk bestaat, maar Jos moet dit zelf in de browser bevestigen voor gebruik in de app. Productpagina gevonden: ridgegear.com/product/17mm-steel-twistlock-karabiner/ (code RGK2P = '17mm Steel Double Action Twistlock Karabiner Captive Pin'), bevestigt manufacturer_code RGK2P en opening 17mm (binnen eerder genoemde 10-17mm range) uit eerdere sessienotitie. Datasheet en DOC gedownload/gelezen, geen leeftijds-/afkeurbepaling aangetroffen. manual_url ingevuld met de datasheet-PDF (geverifieerd via headless Chromium; curl faalt door sgcaptcha)."
505eaa96-4a67-4828-af1f-1bd99ddbfc6c,Donaghys,Armor-Prus Performance,,,,,,,,,,,,,,,,,,,,,"Prusik-/voetklemkoord voor SRT-arboristen; 25m rollen (8mm fluro geel, 10mm blauw/grijs mottle), op maat langere lengtes leverbaar. Ook als afgewerkte prusiklus met genaaide ogen (8mm=2500kg, 10mm=3800kg). Goedkopere zustervariant Armor-Prus Poly (polyester kern i.p.v. UHMwPE/Kevlar, 2300/3297kg) bestaat ook, hier niet apart opgenomen. manual_url met curl bevestigd als application/pdf (200). Armor_Prus_Range_Fact_Sheet_Jan_2026.pdf (huidige manual_url, al de actuele versie) volledig gelezen -- bevat alleen specs/vezelkarakteristieken, geen leeftijds-/afkeurbepaling. Gecontroleerd of een algemene Donaghys-onderhoudsgids van toepassing is: er bestaat een 'UHMwPE Care and Maintenance'-gids, maar die is expliciet voor Winchline/Mongoose recovery strops (voertuigbergings-/industriele producten) -- andere productcategorie dan deze arborist-prusiklijn, dus NIET toegepast ondanks gedeeld UHMwPE-vezeltype. Geen Armor-Prus-specifieke care guide gevonden op donaghysropes.com.au. manual_url ongewijzigd."
1880e131-4db4-4375-aafa-cfc990373746,Donaghys,Cougar Arbor Access Line,,,,,,,,,,,,,,,,,,,,,"SRT/DdRT klimlijn voor sportklimmen en professionele arboristen; 11.7mm, 2800kg breekkracht, kleurvarianten blauw/fluro-oranje/roze/geel/groen met zwart-grijze vlek (bv. RPRP1119). Ook leverbaar met genaaide nylon-thimble-oog (35/50/60m hanken). Bevat interne jaartal-merkdraad. manual_url = fabrieks-fact sheet, met curl bevestigd als application/pdf (200). Cougar_Arbor_Access_Line_Fact_Sheet_Sep_2024.pdf (huidige manual_url) volledig gelezen -- alleen specs, geen leeftijds-/afkeurbepaling. Geen aparte care-guide voor dit specifieke product gevonden op donaghysropes.com.au. manual_url ongewijzigd."
1700ca2f-8116-4b5e-98ec-56a80ce98040,Donaghys,NRG Climbing Line,,,,,,,,,,,,,,,,,,,,,"12mm klimlijn voor sportklimmen/arboristen (voetklem-/SRT-gebruik), lichtgewicht, 100m en 200m rollen. Geen technische fact sheet, materiaalsoort of breekkracht gevonden op de fabrikantsite -> leeg gelaten, niet verzonnen. handleiding niet gevonden. Opnieuw gecontroleerd 2026-09-16: geen enkel Donaghys-domein (donaghys.com/.com.au, donaghysrope(s).com.au) publiceert een instructie- of gebruiksdocument voor NRG specifiek; alleen algemene splice-instructies en 9 productbrochures zonder klim-/arboristlijn. Geen fabrikant-PDF/handleiding gevonden voor de NRG Climbing Line: niet in de volledige fact-sheets-index van donaghysropes.com.au, niet op de productpagina (safety-and-arbor/products/arbor-ropes/climbing-and-access-line/nrg-climbing-line) en niet op de categoriepagina. manual_url blijft leeg (bevestigd niet gevonden, niet alleen 'niet gezocht'). Geen leeftijdsgegevens in te vullen bij gebrek aan brondocument."
bf07dec1-0ef5-40af-a084-6ed432b29cf3,Donaghys,ResponseXT Access Line,,,,,,,,,,,,,,,https://www.donaghysropes.com.au/file_uploads/fact-sheets/Response_Static_Safety_Lines_Fact_Sheet_Feb_2026.pdf,,,,,,"Response XT is de heat-set nylon-mantel-variant binnen de Response Static Safety Lines familie (naast de polyester-mantel Response LSK); EN1891:2002 Type A gecertificeerd, ISO9001:2015 fabricage, interne jaartal-/normmerkdraad. Fact sheet dekt beide varianten en ook 13mm (4750kg) en 16mm (6900kg) van de LSK-lijn. manual_url met curl bevestigd als application/pdf (200). manual_url bijgewerkt naar de actuelere versie van dezelfde fact sheet (Feb 2026 i.p.v. Oct 2023 -- nieuwe versie verwijst naar EN1891:2021 i.p.v. de ingetrokken EN1891:2002-editie, en dekt zowel Response LSK als Response XT). De sheet zelf bevat geen leeftijds-/afkeurbepaling. WEL gevonden: een aparte 'Response(R) Care and Usage Guidelines' (Response_Care__Usage_Guidelines_Jan_26.pdf) met een expliciete grens -- citaat: 'The combined storage and use time must never exceed 10 years - regardless of storage and use history.' Die gids is echter expliciet getiteld en geschreven voor 'Response(R) LSK Rope 11.0mm/13.0mm' (plaited nylon kern), NIET voor de andere constructie 'Response XT' (heat-set parallel-getwiste nylon kern) die in dit catalogusproduct zit. Omdat het om een andere constructie binnen dezelfde merklijn gaat en niet tussen producten/materialen geextrapoleerd mag worden, is de 10-jaarsgrens NIET overgenomen voor ResponseXT -- max_age-velden blijven leeg. Twijfelgeval voor Jos: mogelijk geldt dezelfde 10-jaarsgrens ook voor XT (zelfde EN1891 Type A-familie, zelfde fabrikant), maar dat is niet expliciet bevestigd voor de XT-constructie; eventueel navragen bij Donaghys."
14b6f12f-503d-4458-88f3-83fa263c03bc,English Braids,Silva Prusik,,,,,,,,,,,,,,,https://www.englishbraids.com/wp-content/uploads/2025/06/EB-Height-Safety.pdf,,,,,,"Prusiklus-/frictieknoopkoord voor arboristen en werken-op-hoogte; anti-kink constructie; blauw/geel, 200m rol. Geen apart technisch-fiche-PDF op de site gevonden (raw HTML van de productpagina bevat geen .pdf-link, alleen een algemene brochurepagina). handleiding niet gevonden. Opnieuw gecontroleerd 2026-09-16: de 'Technical Hub' van englishbraids.com meldt letterlijk 'No technical documents found'; alleen het algemene brochure-document EB-Height-Safety.pdf (marketing) en Declarations of Conformity bestaan, geen instructie. Geen los datasheet-PDF gevonden voor dit specifieke product (in tegenstelling tot Silva-Tex16/Tutus-Static, die wel een eigen PDF hebben); wel een paragraaf met specs voor de 9mm Silva Prusik (EN 564) in de fabrikants-brochure 'EB-Height-Safety.pdf' (via englishbraids.com/resources/technical-hub/brochures/). manual_url hierop ingevuld (categoriebrochure i.p.v. los productblad, want dat laatste bestaat niet op de site). Brochure gelezen: geen leeftijds-/afkeurbepaling; het Silva-Tex16-blad verwijst gebruikers expliciet naar het zelf bepalen van retirement-criteria zonder concreet jaartal -- dus max_age-velden leeg."
