id,brand,name,product_type,category,material,standard,manufacturer_code,barcodes,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
9b864ef0-94e1-4e48-bbbb-fdcd46fef0ae,Rock Empire,Ascender,,,,,,8595570194836;8595570194843,,,,,,,,,,,,,,,,"Mechanische touwklem/stijgklem (hand-ascender), anatomisch handvat, geveerde borgpal, twee bevestigingsgaten. Gewicht 0,213 kg. Links/rechts uitvoering (oranje/zwart), elk met individueel lasergraveer-serienummer -- mogelijk bruikbaar als serial_number_location-aanwijzing maar exacte locatie niet expliciet beschreven op site. manual_url = gedeelde stijgklem/blokant-handleiding, curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url in producten.csv reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; sectie ""Rope Clamps, Rope Adjustment Devices"" noemt dit model letterlijk ""ASCENDER L, P""). Materialen volgens handleiding: ""Aluminium Alloy, Stainless Steel, Steel, Nylon, Elastomer"". Sectie ""Lifetime and Inspection"", letterlijk: ""Metal and plastic products have a lifetime of 10 + 5 years (5 years of storage according to instructions for use, 10 years from date of first use)."" -> max_age_use_years=10 (vanaf eerste gebruik), max_age_mfr_years=15 (5 opslag + 10 gebruik, vanaf fabricagedatum) -- zelfde interpretatie als eerder toegepast bij KONG ""2+10""-formule (badge kong.it/en/life/). manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
1ca23fb6-dc4e-4110-aa74-71bb0a67e486,Rock Empire,Galeos Evo,,,,,,8595570128732;8595570128756,,,,,,,,,,,,,,,,"Klim-/bergsporthelm met draaiwiel-verstelsysteem, 11 ventilatiegaten, hoofdlamp-clips. Gewicht 272-306 g, maatbereik 55-63 cm (2 maten). EN 12492 (geen aparte EN 397-certificering aangetroffen). manual_url curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), model expliciet genoemd: ""Model: Galeos Evo (SP-C008)"". Sectie ""6. Lifetime"", letterlijk: ""Lifetime = storage time before first use+ actual using time. ... The lifetime of the helmet is 5 years, or when the product as part of a system becomes obsolete for use."" -> dit is een TOTAAL (opslag+gebruik samen) vanaf fabricagedatum van 5 jaar, geen aparte ""vanaf eerste gebruik""-grens -> max_age_mfr_years=5, max_age_use_years leeg gelaten (zelfde patroon als bij Buckingham-zadels: een totaalcijfer vanaf fabricagedatum gaat alleen in het mfr-veld). manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
125b9f98-4cce-4e8d-ac06-c0deabbf5481,Rock Empire,Golem,,,,,,8595570196151,,,,,,,,,,,,,,,,"Compacte zelfremmende afdaalapparaat voor rope access/professioneel gebruik en reddingswerk. Gewicht 0,55 kg. Diameterbereik verschilt per norm/modus: EN12841 type C (max 250 kg) werkt op touwen van 10/12 mm, EN15151-1 op 9,3-11 mm -- hier het volledige bereik 9,3-12 mm ingevuld, zie notes voor nuance per normmodus. Max. capaciteit EN341: 200 m. manual_url curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; kop ""Descender device, Rope adjustment device"", model ""Golem"" staat op de titelpagina). Materialen: ""Stainless Steel, Plastic PA"". Sectie ""Lifetime and Inspection"", letterlijk: ""Metal and plastic products theoretically have an unlimited lifetime, provided they are used and stored correctly."" -> expliciet onbeperkt verklaard. Let op: dit is een ANDERE clausule dan de ""10 + 5 years""-clausule die in de Rock Empire-handleidingen voor rope clamps/harnassen/lanyards staat voor dezelfde materiaalcombinatie metaal+kunststof -- dus categorie-gebaseerd (descenders vs. rope clamps/harnassen), niet materiaal-gebaseerd, zoals gevraagd. max_age_use_years=999, max_age_mfr_years=999 (UNLIMITED_AGE). manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
8af2a726-cdc1-44be-a9e0-6785235de756,Rock Empire,Master Up DRC,,,,,,8595570196106,,,,,,,,,,,,,,,,"Volledig werkharnas met patent D-RING-CONNECT (openbare D-ring als voorste aansluitpunt) en geintegreerde Chest Up borststijgklem met zwenkmechanisme. Gewicht 2,305 kg; taille 70-130 cm, beenlus 54-80 cm. Max. gebruikersgewicht: 150 kg (EN358) resp. 140 kg (EN361/EN813) -- hier 140 kg ingevuld als strengste/algemene waarde, 150 kg voor werkpositionering apart vermeld. Gemaakt in EU. Aparte DRC-instructiekaart ('drc_web.pdf') ook beschikbaar naast algemene harnas-handleiding; beide curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; kop ""Harness Sit / Chest / Full Body / Work Position Belt"" -- generieke harnas-handleiding voor de hele reeks, model ""Master Up DRC"" niet apart bij naam genoemd, gebaseerd op categorie ""harnesses""). Sectie ""Life and inspections"", letterlijk: ""The life of textile products is 10 + 5 years (5 years of storage in compliance with the instructions, 10 years from the first use)."" -> max_age_use_years=10, max_age_mfr_years=15 (zelfde 5+10-formule als bij metaal/kunststof, hier voor textiel/webbing). manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
13516b93-79eb-4ba1-951b-80e0600b7aa2,Rock Empire,Sherman,,,,,,8595570195451;8595570195468,,,,,,,,,,,,,,,,"Arborist-zadel/zitharnas, ontwikkeld i.s.m. ervaren klimmers, twee verstelbare touw-bridges (rope bridges) meegeleverd, vervangbare bridges/zijbanden apart verkrijgbaar. Gewicht 1853 g (S-M) / 1947 g (L-XL). Ontworpen en vervaardigd in Europa. manual_url = gedeelde 'instruction_arbo' handleiding voor de arboriculture-lijn, curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), model expliciet genoemd bovenaan het document: ""Sherman"". Sectie ""Life and inspections"", letterlijk: ""The life of textile products is 10 + 5 years (5 years of storage in compliance with the instructions, 10 years from the first use)."" -> max_age_use_years=10, max_age_mfr_years=15. manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
29778a8d-db85-4cb2-9ee7-21329bc6164d,Rock Empire,STAND,,,,,,8595570194669;8595570195147;8595570194782,,,,,,,,,,,,,,,,"Verstelbare positioneringslijn voor touwgebonden werk (opstijgen, positioneren, hangen), lengtes 100/200/250 cm, gewicht 205-331 g afhankelijk van lengte, val-factor < 1. Karabiner niet inbegrepen. Gemaakt in EU. manual_url curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf), model expliciet en herhaaldelijk genoemd: ""STAND"" (o.a. ""STAND V EN 795""). Sectie ""Lifetime and checks"", letterlijk: ""The lifetime of products from metal and plastic is 10 + 5 years (5 years of storage in accordance with the instruction manual, and 10 years from the first time they were used)."" -> max_age_use_years=10, max_age_mfr_years=15 (materiaal roestvrij staal + polyamide/polyester valt in déze STAND-specifieke handleiding expliciet onder de ""metal and plastic""-clausule). manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
636e701d-1a57-4d35-af75-c0d7e9c6d92d,Rock Empire,Steel Carabiner O KL-2T,,,,,,8595570191156;8595570190111,,,,,,,,,,,,,,,,"Sluiting: twistlock 2-weg ('twist-lock systeem' met keylock-neus). Gewicht 174 g, opening 17 mm. Gecertificeerd voor zowel sport (EN12275) als industrieel/PBM-gebruik (EN362). manual_url = gedeelde karabiner-handleiding, curl-geverifieerd (200 application/pdf). Rock Empire eigen handleiding (manual_url reeds aanwezig en zelf geverifieerd met curl: HTTP 200, application/pdf; kop ""Connectors / Verbindungselemente / Karabiner""). Sectie ""Service life and inspections"", letterlijk: ""All-metal product life is limited by functionality, wear, deformation and oxidization (corrosion). Should the authorised person establish that the product is not capable of further safe use, it is their responsibility to recommend discontinuation of its further use although its life time has not elapsed yet."" -> GEEN concreet getal en GEEN ""unlimited""-verklaring (in tegenstelling tot de Golem-descender in dezelfde merklijn, die wel expliciet ""unlimited"" zegt) -- dit is een andere, vagere formulering die slijtage/corrosie noemt zonder cijfer of ""onbeperkt"". Daarom bewust BEIDE velden leeg gelaten (geen gok, niet geëxtrapoleerd vanaf Golem). manual_url ongewijzigd gelaten (al correct, dus hier leeg). Streepjescode(s) gevonden op de eigen productpagina (rockempire.com, meta itemprop=""gtin13""), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere maten/varianten van dit ene productmodel (bronlijst heeft één rij per model, niet per maat)."
a1739df5-94d2-4c85-bdc3-10a8afb569de,Edelweiss,Action 11mm,,,,,,3700288016294;3700288016270,,,,,,,,,,,,,,,,"Snelle-afdaallijn (oorspronkelijk voor speciale eenheden) met aramidemantel die niet smelt bij een oververhit afdaalapparaat; mantelaandeel 30%, 75g/m. Ook bruikbaar voor rope-access-afdaling waar hitte een risico is. Gebruikershandleiding alleen als Google Drive-link, niet verifieerbaar als PDF via curl -> manual_url leeg gelaten. handleiding niet gevonden. Herbevestigd 2026-09-16: alle 6 Edelweiss-touwpagina's linken hetzelfde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E); curl volgt een 303/302 naar accounts.google.com/ServiceLogin (login vereist, text/html), dus niet als PDF te verifiëren. Advies: Edelweiss vragen om een rechtstreeks gehoste PDF, of de Drive-PDF handmatig downloaden en zelf hosten. GEEN manual_url gevonden die aan de curl-eis voldoet (HTTP 200 + application/pdf). Eigen productpagina op www.edelweiss-ropes.com (de echte site achter het merk -- edelweiss-sport.com bestaat niet meer / verwijst niet naar deze producten; het huidige merksite-domein is edelweiss-ropes.com) linkt voor alle 6 touwmodellen naar dezelfde ""User Guide - Rope""-link: https://drive.google.com/file/d/0B5dinboGt--_Y2hpclk4X1JsS0E/view -- dit is een Google Drive-bestand getiteld ""Low Stretch ropes EDW.pdf"" dat bij automatisch ophalen (curl, met en zonder cookies; ook geprobeerd via drive.usercontent.google.com, docs.google.com/uc en het Python-pakket gdown) STEEDS een Google-inlogpagina teruggeeft in plaats van de PDF -- dus niet curl-verifieerbaar en niet bruikbaar als manual_url. TWIJFELGEVAL voor Jos: op de Amerikaanse importeur-site edelweiss-us.com (gedreven door Liberty Mountain, dus een distributeur/reseller-site, NIET het merk zelf) staat in de FAQ-pagina wel een expliciete, technisch geformuleerde levensduurclausule voor ""Rope Lifetime"", letterlijk: ""Lifetime = Time of storage before first use + time in use. The lifetime of the rope in use must never exceed 10 years. The total maximum lifetime (storage before use + lifetime in use) is limited to 15 years."" Deze tekst oogt als een letterlijke (vertaalde) weergave van de originele Edelweiss-notice, maar komt NIET van de fabrikant zelf en kon niet tegen de eigen PDF worden geverifieerd omdat die ontoegankelijk is. Op basis hiervan toch ingevuld: max_age_use_years=10, max_age_mfr_years=15 (5 opslag + 10 gebruik) -- maar dit verdient bevestiging zodra de originele Edelweiss-PDF wel toegankelijk is (bijv. via een Google-account met toegang, of door Edelweiss rechtstreeks om de PDF te vragen). LET OP: cijfers (10/15 jaar) NIET overgenomen in de bronlijst omdat de enige bron een reseller/distributeur is (edelweiss-us.com, Liberty Mountain), niet de fabrikant zelf (edelweiss-ropes.com linkt naar een login-gated Google Drive-bestand, niet controleerbaar). Velden blijven leeg tot de originele Edelweiss-PDF toegankelijk is of Jos anders beslist. Streepjescode(s) gevonden in de variant-JSON op de eigen productpagina (edelweiss-ropes.com, 'gtin'-veld -- de fabrikant zelf, niet de reseller edelweiss-us.com), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere lengtes/kleuren van dit ene productmodel."
09de759b-68a3-47e5-8e9a-eee5c0368268,Edelweiss,Proline 11mm,,,,,,3700288003942;3700288003959;3700288022424;3700288003966,,,,,,,,,,,,,,,,"Dikkere mantel (43.7% mantelaandeel) voor langere levensduur bij intensief professioneel gebruik; 75g/m, 4% rek bij 50/150kg. Ook leverbaar in 10.5mm (niet apart opgenomen). Gebruikershandleiding alleen als Google Drive-link, curl bevestigt geen application/pdf -> manual_url leeg gelaten. handleiding niet gevonden. Herbevestigd 2026-09-16: zelfde gedeelde Drive-bestand als de andere Edelweiss-touwen (id 0B5dinboGt--_Y2hpclk4X1JsS0E), curl volgt een 303/302 naar accounts.google.com/ServiceLogin (login vereist), niet als PDF te verifiëren. GEEN manual_url gevonden die aan de curl-eis voldoet (HTTP 200 + application/pdf). Eigen productpagina op www.edelweiss-ropes.com (de echte site achter het merk -- edelweiss-sport.com bestaat niet meer / verwijst niet naar deze producten; het huidige merksite-domein is edelweiss-ropes.com) linkt voor alle 6 touwmodellen naar dezelfde ""User Guide - Rope""-link: https://drive.google.com/file/d/0B5dinboGt--_Y2hpclk4X1JsS0E/view -- dit is een Google Drive-bestand getiteld ""Low Stretch ropes EDW.pdf"" dat bij automatisch ophalen (curl, met en zonder cookies; ook geprobeerd via drive.usercontent.google.com, docs.google.com/uc en het Python-pakket gdown) STEEDS een Google-inlogpagina teruggeeft in plaats van de PDF -- dus niet curl-verifieerbaar en niet bruikbaar als manual_url. TWIJFELGEVAL voor Jos: op de Amerikaanse importeur-site edelweiss-us.com (gedreven door Liberty Mountain, dus een distributeur/reseller-site, NIET het merk zelf) staat in de FAQ-pagina wel een expliciete, technisch geformuleerde levensduurclausule voor ""Rope Lifetime"", letterlijk: ""Lifetime = Time of storage before first use + time in use. The lifetime of the rope in use must never exceed 10 years. The total maximum lifetime (storage before use + lifetime in use) is limited to 15 years."" Deze tekst oogt als een letterlijke (vertaalde) weergave van de originele Edelweiss-notice, maar komt NIET van de fabrikant zelf en kon niet tegen de eigen PDF worden geverifieerd omdat die ontoegankelijk is. Op basis hiervan toch ingevuld: max_age_use_years=10, max_age_mfr_years=15 (5 opslag + 10 gebruik) -- maar dit verdient bevestiging zodra de originele Edelweiss-PDF wel toegankelijk is (bijv. via een Google-account met toegang, of door Edelweiss rechtstreeks om de PDF te vragen). LET OP: cijfers (10/15 jaar) NIET overgenomen in de bronlijst omdat de enige bron een reseller/distributeur is (edelweiss-us.com, Liberty Mountain), niet de fabrikant zelf (edelweiss-ropes.com linkt naar een login-gated Google Drive-bestand, niet controleerbaar). Velden blijven leeg tot de originele Edelweiss-PDF toegankelijk is of Jos anders beslist. Streepjescode(s) gevonden in de variant-JSON op de eigen productpagina (edelweiss-ropes.com, 'gtin'-veld -- de fabrikant zelf, niet de reseller edelweiss-us.com), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere lengtes/kleuren van dit ene productmodel."
23467b84-b04f-49df-a84e-787fce57d94d,Edelweiss,Promax 10.5mm Unicore,,,,,,3700288013682;3700288027375;3700288027382;3700288013675;3700288027207;3700288027214;3700288022448;3700288013699;3700288027184;3700288027191,,,,,,,,,,,,,,,,"Lichtere Unicore-variant van de Promax-lijn voor rope access; 65g/m, mantelaandeel 44%, 4.8% rek bij 50/150kg. Zelfde Google Drive-probleem als Promax 11mm: gebruikershandleiding niet verifieerbaar als PDF via curl -> manual_url leeg gelaten. handleiding niet gevonden (wel vermeld, niet verifieerbaar). Herbevestigd 2026-09-16: zelfde gedeelde Drive-bestand (id 0B5dinboGt--_Y2hpclk4X1JsS0E), curl volgt een 303/302 naar accounts.google.com/ServiceLogin, niet als PDF te verifiëren. GEEN manual_url gevonden die aan de curl-eis voldoet (HTTP 200 + application/pdf). Eigen productpagina op www.edelweiss-ropes.com (de echte site achter het merk -- edelweiss-sport.com bestaat niet meer / verwijst niet naar deze producten; het huidige merksite-domein is edelweiss-ropes.com) linkt voor alle 6 touwmodellen naar dezelfde ""User Guide - Rope""-link: https://drive.google.com/file/d/0B5dinboGt--_Y2hpclk4X1JsS0E/view -- dit is een Google Drive-bestand getiteld ""Low Stretch ropes EDW.pdf"" dat bij automatisch ophalen (curl, met en zonder cookies; ook geprobeerd via drive.usercontent.google.com, docs.google.com/uc en het Python-pakket gdown) STEEDS een Google-inlogpagina teruggeeft in plaats van de PDF -- dus niet curl-verifieerbaar en niet bruikbaar als manual_url. TWIJFELGEVAL voor Jos: op de Amerikaanse importeur-site edelweiss-us.com (gedreven door Liberty Mountain, dus een distributeur/reseller-site, NIET het merk zelf) staat in de FAQ-pagina wel een expliciete, technisch geformuleerde levensduurclausule voor ""Rope Lifetime"", letterlijk: ""Lifetime = Time of storage before first use + time in use. The lifetime of the rope in use must never exceed 10 years. The total maximum lifetime (storage before use + lifetime in use) is limited to 15 years."" Deze tekst oogt als een letterlijke (vertaalde) weergave van de originele Edelweiss-notice, maar komt NIET van de fabrikant zelf en kon niet tegen de eigen PDF worden geverifieerd omdat die ontoegankelijk is. Op basis hiervan toch ingevuld: max_age_use_years=10, max_age_mfr_years=15 (5 opslag + 10 gebruik) -- maar dit verdient bevestiging zodra de originele Edelweiss-PDF wel toegankelijk is (bijv. via een Google-account met toegang, of door Edelweiss rechtstreeks om de PDF te vragen). LET OP: cijfers (10/15 jaar) NIET overgenomen in de bronlijst omdat de enige bron een reseller/distributeur is (edelweiss-us.com, Liberty Mountain), niet de fabrikant zelf (edelweiss-ropes.com linkt naar een login-gated Google Drive-bestand, niet controleerbaar). Velden blijven leeg tot de originele Edelweiss-PDF toegankelijk is of Jos anders beslist. Streepjescode(s) gevonden in de variant-JSON op de eigen productpagina (edelweiss-ropes.com, 'gtin'-veld -- de fabrikant zelf, niet de reseller edelweiss-us.com), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere lengtes/kleuren van dit ene productmodel."
