id,brand,name,product_type,category,material,standard,manufacturer_code,barcodes,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
8742aa20-473b-4d6b-8303-e6e1b68ecd33,Studson,SHK-1 Full Brim Non-Vented (Class E),,,,,,850029790631;850029790648;850029790655;850029790914;850029790679;850029790662;850029790747;850029790709;850062336018;850062336070;850029790983;850062336094;850062336179;850062336087;850029790990;850029790761;850062336186,,,,,,,,,,,,,,,,"Koroyd-schokabsorptietechnologie; Class E = elektrisch geisoleerd (20.000V getest). Bestaande manual_url (Shopify-CDN van Studson zelf) is curl-geverifieerd (HTTP 200, application/pdf) maar is een 1-pagina marketing-specsheet zonder levensduur-tekst. Levensduurinfo wel gevonden op Studson's eigen productpagina (studson.com/en-us/products/shk-1-full-brim-non-vented, zelf geopend), sectie 'Warranty & Lifespan', letterlijk: ""Manufacturer's warranty: 3 years. Field use lifespan: 3–5 years. Shelf life: Up to 10 years from manufacture date."" Alleen ""Shelf life: Up to 10 years from manufacture date"" is een letterlijke bovengrens (""up to"") vanaf fabricagedatum -> max_age_mfr_years=10. ""Field use lifespan: 3-5 years"" is een spanne/verwachte-levensduur-indicatie, geen expliciet gestelde maximale afkeurleeftijd (geen 'maximum'/'up to'-formulering), dus conform de MAXIMUM-regel NIET overgenomen als max_age_use_years - bewust leeg gelaten. Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (studson.com, 'barcode'-veld), checksum per code gecontroleerd (klopt). Meerdere codes = alle kleur/maat-combinaties van dit ene helmmodel."
30881217-83b2-43b5-af04-fa6a2236508a,Studson,SHK-1 Full Brim Vented (Class C),,,,,,850029790570;850029790587;850029790594;850029790617;850029790600;850029790693;850029790624;850029790730;850062336032;850062336063;850062336100;850062336148;850062336049;850062336025;850029790785;850062336155;850062336162,,,,,,,,,,,,,,,,"Koroyd-schokabsorptietechnologie; Class C = geen elektrische isolatie. Zelfde bron en zelfde tekst als de Non-Vented variant (studson.com/en-us/products/shk-1-full-brim-vented, zelf geopend): ""Manufacturer's warranty: 3 years. Field use lifespan: 3–5 years. Shelf life: Up to 10 years from manufacture date."" max_age_mfr_years=10 (harde bovengrens ""up to X years from manufacture date""); max_age_use_years bewust leeg (""field use lifespan 3-5 years"" is geen expliciete maximum-uitspraak). Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (studson.com, 'barcode'-veld), checksum per code gecontroleerd (klopt). Meerdere codes = alle kleur/maat-combinaties van dit ene helmmodel."
fb386a25-8d84-4cb6-8ff6-4af144adf6d8,KEY-BAK,5 lb. Retractable Tool Tether,,,,,,088056912089,,,,,,,,,,,,,,,,"Geen productspecifieke handleiding/PDF vindbaar op keybak.com. Streepjescode gevonden in de Shopify-productdata (keybak.com, 'barcode'-veld) -- daar staat hij zonder voorloopnul (088056912089 -> 88056912089, klassiek Excel/JS-numeriek-probleem); met voorloopnul teruggezet en checksum gecontroleerd (klopt)."
184d9a6a-0ea1-46a3-8aef-8bddfd14a517,Tendon,Timber Prusik cord 8.0 - Red,,,,,,8590869195518;8590869197123;8590869197130,,,,,,,,,,,,,,,,"Fabrikant achter TENDON = LANEX a.s. (Bolatice, Tsjechie); bevestigd via de EU/ES Declaration of Conformity-documenten op de webshop mytendon.com (LANEX-briefpapier). De enige PDF's die aan deze productpagina hangen ('PoS-T-Timber-8-mm(-A).pdf' resp. 'PoS-T-Timber-10-mm-1.pdf') zijn geopend en gecontroleerd: dit zijn EU/ES Declarations of Conformity van LANEX a.s. ('EU DECLARATION OF CONFORMITY ... TENDON Timber 8 mm, Accessory cord, Sling and Anchor device' resp. voor Timber 10mm Prusik cord), GEEN gebruiksaanwijzing/instructiehandleiding. Ook elders (downloadpagina, lanex.cz) geen los IFU-document gevonden voor deze prusiklus. Conclusie: geen bruikbare manual_url; instructies staan vermoedelijk alleen op het productlabel. Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (mytendon.com, 'barcode'-veld), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere varianten (spoellengte/kleur) van dit ene productmodel."
6138dc9b-1b92-46f6-bfc2-0b73c1d2da63,Tendon,Timber Prusik cord 10 - Yellow,,,,,,8590869195525;8590869197147;8590869197154,,,,,,,,,,,,,,,,"Fabrikant achter TENDON = LANEX a.s. (Bolatice, Tsjechie); bevestigd via de EU/ES Declaration of Conformity-documenten op de webshop mytendon.com (LANEX-briefpapier). De enige PDF's die aan deze productpagina hangen ('PoS-T-Timber-8-mm(-A).pdf' resp. 'PoS-T-Timber-10-mm-1.pdf') zijn geopend en gecontroleerd: dit zijn EU/ES Declarations of Conformity van LANEX a.s. ('EU DECLARATION OF CONFORMITY ... TENDON Timber 8 mm, Accessory cord, Sling and Anchor device' resp. voor Timber 10mm Prusik cord), GEEN gebruiksaanwijzing/instructiehandleiding. Ook elders (downloadpagina, lanex.cz) geen los IFU-document gevonden voor deze prusiklus. Conclusie: geen bruikbare manual_url; instructies staan vermoedelijk alleen op het productlabel. Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (mytendon.com, 'barcode'-veld), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere varianten (spoellengte/kleur) van dit ene productmodel."
3c5d0055-dc03-4639-ae4c-2d27636ab2aa,Tendon,Timber EVO 11.5 - Orange/Yellow,,,,,,8590869692321;8590869712272;8590869692338;8590869685088;8590869692345;8590869692352;8590869692369;8590869692376,,,,,,,,,,,,,,,,"Fabrikant achter TENDON = LANEX a.s. (Bolatice, Tsjechie); bevestigd via de EU/ES Declaration of Conformity-documenten op de webshop mytendon.com (LANEX-briefpapier). Geen enkele PDF (van welke soort dan ook) gevonden op deze productpagina zelf. Ter vergelijking: de 11.0mm-variant (Timber EVO 11.0, dus een ANDERE diameter, niet in deze opdracht) heeft wel 'PoS-T-...'-, 'Produktovy list-...'- en 'Technical-data-sheet-...'-bestanden, maar dat zijn resp. Declarations of Conformity, een Tsjechisch productblad en een Engels datasheet -- geen van alle een instructiehandleiding, dus zelfs als diezelfde documentset voor 11.5mm zou bestaan (die dus niet gevonden is), zou die toch niet aan de opdrachtseis voldoen. Ook de generieke downloadpagina (ke-stazeni) en lanex.cz leverden geen IFU op (zie ook de opmerking bij de koord-producten). Conclusie: geen bruikbare manual_url gevonden. EN 1891/CE 1019 statisch touw (type A), fabrikant LANEX a.s. (merk TENDON, Tsjechië). Geen manual_url in catalogus; oude mytendon.com-links uit zoekresultaten bleken dood (site is herbouwd, ""soft"" redirects naar een lege 'Ke stažení'/downloads-pagina i.p.v. 404). Nieuwe, curl-geverifieerde link gevonden op de fabrikantsite lanex.cz (HTTP 200, application/pdf, 3.051.951 bytes): algemene 'Instructions for use - Static ropes'. Leeftijd komt van de fabrikant-productpagina (mytendon.com/products/arboristicke-lano-timber-evo-11-5, zelf geopend en gelezen), letterlijk: ""The maximum storage time of an unused rope is up to 5 years, plus a service life of a maximum of 10 years."" Dit is een harde bovengrens (""maximum""), dus max_age_use_years=10 ingevuld (vanaf eerste gebruik; geen aparte fabricagejaar-grens genoemd, dus max_age_mfr_years leeg). De algemene handleiding zelf geeft daarnaast alleen gebruiksintensiteit-afhankelijke 'tentative'-richtlijnen (oplopend tot 8-10 jaar bij zeer licht gebruik) - dit is nadrukkelijk richtinggevend/geen harde regel, en wordt daarom niet los ingevuld, maar bevestigt wel dezelfde orde van grootte als de bovengrens op de productpagina. LET OP: het cijfer 10 jaar NIET overgenomen in de bronlijst. De bron is geen vaste maximumleeftijd maar een gebruiksintensiteit-tabel (<=1 jaar bij dagelijks intensief gebruik oplopend tot 8-10 jaar bij incidenteel gebruik) - een enkel getal zou hier onterecht suggereren dat 10 jaar altijd veilig is, ook bij intensief gebruik. Velden blijven leeg; de nieuwe manual_url (lanex.cz, verving de dode mytendon.com-link) is wel overgenomen. Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (mytendon.com, 'barcode'-veld), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere varianten (spoellengte/kleur) van dit ene productmodel."
9bdb4deb-a148-4a32-aa13-b4f110aefea4,Tendon,Timber EVO 12.5 - Orange,,,,,,8590869692451;8590869712265;8590869692468;8590869685156;8590869692475;8590869692482;8590869692529;8590869692536,,,,,,,,,,,,,,,,"Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (mytendon.com, 'barcode'-veld), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere varianten (spoellengte/kleur) van dit ene productmodel."
e2caa5dc-9188-4dd7-ad94-e60452cc6969,Beal,Access Unicore 10.5mm,,,,,,3700288242228;3700288242235;3700288242266;3700288257901;3700288242273;3700288242327;3700288242334;3700288260178;3700288260185;3700288242365;3700288242372,,,,,,,,,,,,,,,,"Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (beal-planet.com, 'barcode'/'gtin'-velden), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere kleuren/lengtes/varianten van dit ene productmodel."
ca2e0bed-d634-4821-9210-a4c9eb25e92a,Beal,Access Unicore 11mm,,,,,,3700288242440;3700288242457;3700288242488;3700288242495;3700288242549;3700288242556;3700288260154;3700288260147;3700288242587;3700288242594,,,,,,,,,,,,,,,,"Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (beal-planet.com, 'barcode'/'gtin'-velden), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere kleuren/lengtes/varianten van dit ene productmodel."
6fa89c2a-4389-4c49-b4b4-ce34323701e9,Beal,Air Smith 3-Matic,,,,,,3700288256676,,,,,,,,,,,,,,,,"Streepjescode(s) gevonden in de Shopify-productdata op de eigen productpagina (beal-planet.com, 'barcode'/'gtin'-velden), checksum per code gecontroleerd (klopt). Meerdere codes = meerdere kleuren/lengtes/varianten van dit ene productmodel."
