id,brand,name,product_type,category,material,standard,manufacturer_code,barcodes,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
47a01354-c34d-49e4-933f-10bb00bfd77c,Eyolf,SnoFlake M Rigging Plate,,,,,,,,10,,,,,,,,,,,,,,"Eyolf RigPlate-manual (eyolf.ca, RigPlate-web-manual-rev8.pdf), letterlijk: ""Lifespan - This is difficult to estimate but we advise not to use more than ten years after the date of manufacture. Assuming you have used the correct storage."" Eén getal vanaf fabricagedatum, geen apart gebruiksgetal genoemd -> max_age_mfr_years=10, max_age_use_years leeg."
f9d90c27-45b1-4be1-ad53-e6324c58321f,Eyolf,SnoFlake S Rigging Plate,,,,,,,,10,,,,,,,,,,,,,,"Eyolf RigPlate-manual (eyolf.ca, RigPlate-web-manual-rev8.pdf), letterlijk: ""Lifespan - This is difficult to estimate but we advise not to use more than ten years after the date of manufacture. Assuming you have used the correct storage."" Eén getal vanaf fabricagedatum, geen apart gebruiksgetal genoemd -> max_age_mfr_years=10, max_age_use_years leeg."
341d3bfb-3c88-4a24-ae7e-0ac615db4705,FTC Tree,Éclipse 3,,,,,,,999,999,,,,,,,,,,,,,,"FTC Tree IFU (ftc-tree.com, module/pixel_product_files, id_file=142), letterlijk hoofdstuk ""LIFESPAN"": ""Unlimited ∞"". Toegepast als 999 (bewust onbeperkt, geen maximum)."
c7b18c57-2cd2-4589-9d90-07ba60fb48fc,FTC Tree,Micro-cylindre 2.1,,,,,,,999,999,,,,,,,,,,,,,,"FTC Tree IFU (ftc-tree.com, module/pixel_product_files, id_file=334), letterlijk hoofdstuk ""LIFESPAN"": ""Unlimited ∞"". Toegepast als 999 (bewust onbeperkt, geen maximum)."
9f547d24-49c1-405e-b782-5bf5075293b1,FTC Tree,Mini-cylindre HR 2.1,,,,,,,999,999,,,,,,,,,,,,,,"FTC Tree IFU (ftc-tree.com, module/pixel_product_files, id_file=335), letterlijk hoofdstuk ""LIFESPAN"": ""Unlimited ∞"". Toegepast als 999 (bewust onbeperkt, geen maximum)."
a2f7c807-113a-4bba-a84c-904af2532584,FTC Tree,Mini-Éclipse 2,,,,,,,999,999,,,,,,,,,,,,,,"FTC Tree IFU (ftc-tree.com, module/pixel_product_files, id_file=149), letterlijk hoofdstuk ""LIFESPAN"": ""Unlimited ∞"". Toegepast als 999 (bewust onbeperkt, geen maximum)."
671b4928-5852-494d-9714-9be8f4bbbd1f,RIGIQ,OMEGA-RQ Rigging Line 12mm - Blue,,,,,,,5,10,,,,,,,,,,,,,,"RIGIQ-handleiding (fletcherstewart.com, gedeeld document voor de Omega-RQ-lijn), letterlijk: ""Retire after 5 years from first use and 10 years from date of manufacture (maximum life-span up to 10 years, subject to conditions of use and storage)."" Zelfde formule als eerder bij de STEIN/Fletcher Stewart-familie toegepast."
b5d5845f-10fa-4d54-b4ea-00314451c77c,RIGIQ,OMEGA-RQ Rigging Line 12mm - Red,,,,,,,5,10,,,,,,,,,,,,,,"RIGIQ-handleiding (fletcherstewart.com, gedeeld document voor de Omega-RQ-lijn), letterlijk: ""Retire after 5 years from first use and 10 years from date of manufacture (maximum life-span up to 10 years, subject to conditions of use and storage)."" Zelfde formule als eerder bij de STEIN/Fletcher Stewart-familie toegepast."
bd495ec0-5824-4709-a607-4fd8db2018e2,RIGIQ,OMEGA-RQ Rigging Line 14mm - Blue,,,,,,,5,10,,,,,,,,,,,,,,"RIGIQ-handleiding (fletcherstewart.com, gedeeld document voor de Omega-RQ-lijn), letterlijk: ""Retire after 5 years from first use and 10 years from date of manufacture (maximum life-span up to 10 years, subject to conditions of use and storage)."" Zelfde formule als eerder bij de STEIN/Fletcher Stewart-familie toegepast."
07e1ec42-7565-441a-944a-07914e6e25b8,RIGIQ,OMEGA-RQ Rigging Line 14mm - Orange,,,,,,,5,10,,,,,,,,,,,,,,"RIGIQ-handleiding (fletcherstewart.com, gedeeld document voor de Omega-RQ-lijn), letterlijk: ""Retire after 5 years from first use and 10 years from date of manufacture (maximum life-span up to 10 years, subject to conditions of use and storage)."" Zelfde formule als eerder bij de STEIN/Fletcher Stewart-familie toegepast."
