id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,inspection_notice_url,notes
6c31278c-727e-4baf-9ebe-60fc8d2a2f4f,ART,BlackBird,ppe,Ascenders & Descenders,Aluminium / Stainless Steel,EN 12841 B/C,BB10,7,,,,150,11.2,13,,,https://climb-art.de/shared-assets/manuals/2025_BED_BB_EU_DRUCK_NEU_NOV.pdf,https://climb-art.de/en/products/blackbird-2-2/,,"FLAG: official manual link 404 on climb-art.de (both known URLs). FLAG: min user weight 60kg has no column. FLAG: active ART safety notice (Oct 2025, bearing pin) exists but no official climb-art.de-hosted PDF found yet.",
71027fa6-aa88-4ef2-b20f-425b54ec0da7,ART,Cocoon 5,ppe,Pulleys,Aluminium,EN 12278,,10,,28 kN,,,,14,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Cocoon-5.pdf,https://climb-art.de/en/products/cocoon-5/,,,
cae082d9-dcb5-4eaf-90a9-c4dc7d542bc8,ART,DoubleSnapper 3,no_ppe,Anchor Devices,Aluminium,,,,,,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-DoubleSnapper-3.pdf,https://climb-art.de/en/products/doublesnapper-3/,,,
bc50893e-4b0f-4230-a183-89afdb943fd7,ART,Link 2,no_ppe,Friction Savers,Aluminium,,,,,,,,,,,,,https://climb-art.de/en/products/link-2/,,,
11396194-ed66-4c17-9be7-2f982d17f75d,ART,LockJack 2 Sport,ppe,Ascenders & Descenders,Aluminium / Textile,EN 358,,7,,23 kN,,100,11,13,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-LockJack-2-Sport.pdf,https://climb-art.de/en/products/lockjack-2/,,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
a4c6e287-0cf2-4aea-8b22-c50a2e76e139,ART,LockJack Dyneema sling,ppe,Ascenders & Descenders,Dyneema,,,5,,,,,,,,,,https://climb-art.de/en/replacement-parts/,,,
74bac492-8f28-4035-917b-55cfd6e3e95a,ART,Positioner 2 Basic,ppe,Work Positioning Devices,Aluminium,EN 567,,7,,23 kN,,100,11,13,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Positioner-2.pdf,https://climb-art.de/en/products/positioner-2/,,,
addc8520-1c22-4632-a147-2c0742956c46,ART,Positioner 2 Swivel,ppe,Work Positioning Devices,Aluminium,EN 567,,7,,23 kN,,100,11,13,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-Positioner-2.pdf,https://climb-art.de/en/products/positioner-2/,,,
0a5e55ac-7bff-4f7c-a256-6a48f7f85751,ART,RopeGuide 2010 Cocoon 150cm,ppe,Friction Savers,"Aluminium, Polyester/Dyneema rope",EN 795 B,,10,,24 kN,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
ca5949cc-3fde-4cb9-bf64-ca1c84d5a843,ART,RopeGuide 2010 Cocoon 300cm,ppe,Friction Savers,"Aluminium, Polyester/Dyneema rope",EN 795 B,,10,,24 kN,,,,,,,https://climb-art.de/wp-content/uploads/2020/10/Manual-RopeGuide-2010.pdf,https://climb-art.de/en/products/ropeguide-2010/,,Textile parts must be replaced after 5 years to achieve maximum service life of metal parts,
